Studio.App.StudioPluginHost.CantLoadMetadata,,,Unable to load metadata for installed plugins. Installed plugins will not be loaded.,Unable to load metadata for installed plugins. Installed plugins will not be loaded.,تعذَّر تحميل البيانات الوصفية للمكونات الإضافية المثبتة. لن يتم تحميل المكونات الإضافية المثبتة.,Metadaten für installierte Plugins können nicht geladen werden. Installierte Plugins werden nicht geladen.,No se pueden cargar los metadatos de los plugins instalados. Los plugins instalados no se cargarán.,Impossible de charger les metadata pour les plugins installés. Les plugins installés ne chargeront pas.,इंस्टॉल हुए प्लग-इन के लिए मेटाडेटा लोड नहीं हो सका. इंस्टॉल हुए प्लग-इन लोड नहीं होंगे.,Tidak dapat me-load metadata untuk plugin yang diinstal. Plugin yang diinstal tidak akan di-load.,Impossibile caricare i metadati per i plugin installati. I plugin installati non saranno caricati.,インストール済みのプラグイン用のメタデータを読み込めませんでした。インストール済みのプラグインは読み込まれません。,설치된 플러그인의 메타데이터를 불러올 수 없습니다. 설치된 플러그인을 불러오지 못했습니다.,Nie można wczytać metadanych zainstalowanych dodatków plug-in. Zainstalowane dodatki plug-in nie zostaną wczytane.,Não foi possível carregar metadados para os plugins instalados. Os plugins instalados não serão carregados.,Невозможно загрузить метаданные для установленных плагинов. Установленные плагины не будут загружены.,ไม่สามารถโหลดข้อมูลอภิพันธุ์สำหรับปลั๊กอินที่ติดตั้งได้ ปลั๊กอินติดตั้งจะไม่ถูกโหลด,Kurulu eklentiler için meta veri yükleme işlemi başarısız. Kurulu eklentiler yüklenmeyecek.,Không thể tải siêu dữ liệu cho các plugin đã cài đặt. Các plugin đã cài đặt sẽ không được tải.,无法加载已安装插件的元数据，已安装的插件将不会加载。,无法加载已安装插件的元数据，已安装的插件将不会加载。,無法載入已安裝外掛程式的元資料，已安裝的外掛程式將不會載入。
Studio.App.StudioPluginHost.CantParseSettings,,,Unable to parse settings file for plugin,Unable to parse settings file for plugin,تعذَّر تحليل ملف الإعدادات للمكون الإضافي,Einstellungsdatei für Plugin kann nicht analysiert werden,No se puede redistribuir el archivo de configuración para el plugin,Impossible de parser les fichiers de réglages pour ce plugin,प्लग-इन के लिए सेटिंग फ़ाइल पार्स नहीं हो सकती,Tidak dapat melakukan parsing terhadap file pengaturan untuk plugin,Impossibile analizzare i file impostazioni per il plugin,プラグインの設定ファイルを構文解析できませんでした,플러그인 설정 파일을 구문 분석할 수 없습니다,Nie można przetworzyć pliku ustawień dodatku plug-in,Não foi possível redistribuir o arquivo de configuração para o plugin,Невозможно обработать файл настроек для плагина,ไม่สามารถแยกไฟล์การตั้งค่าของปลั๊กอินได้,Eklentinin ayarlar dosyası ayrıştırılamadı,Không thể phân tích tệp cài đặt cho plugin,无法分析插件的设置文件,无法分析插件的设置文件,無法分析外掛程式設定檔案
Studio.App.StudioPluginHost.CantRemovePluginFiles,,,Unable to remove all of the plugin files in directory %1. Please clean this location manually,Unable to remove all of the plugin files in directory %1. Please clean this location manually,تعذّر إزالة جميع ملفات المكون الإضافي في الدليل %1. يُرجى مسح محتويات هذا الموقع يدويًا,Alle Plugin-Dateien im Verzeichnis %1 können nicht entfernt werden. Bitte reinige diesen Ort manuell,No se pueden eliminar todos los archivos de los plugins en el directorio %1. Limpia la ubicación manualmente.,Impossible de retirer tous les fichiers plugin dans le répertoire %1. Merci de le faire manuellement,डायरेक्ट्री %1 में सभी प्लग-इन फ़ाइलों को हटाया नहीं जा सकता. इस लोकेशन को मैनुअल रूप से खाली करें,Tidak dapat menghapus semua file plugin di direktori %1. Hapus lokasi ini secara manual,Impossibile rimuovere tutti i file plugin nella directory %1. Libera manualmente questo luogo,%1ディレクトリのプラグインファイルのすべてを削除できませんでした。このロケーションは手動でクリーンアップしてください。,디렉토리 %1의 플러그인 파일을 모두 제거할 수 없습니다. 수동으로 이 위치를 정리하세요.,Nie można usunąć wszystkich plików dodatków plug-in w katalogu %1. Wyczyść tę lokalizację ręcznie.,Não foi possível remover todos os arquivos do plugin na pasta %1. Apague os arquivos manualmente,"Невозможно удалить все файлы плагинов из каталога %1. Пожалуйста, очистите каталог самостоятельно.",ไม่สามารถลบไฟล์ทั้งหมดของปลั๊กอินในไดเรดเทอรี %1 ได้ โปรดลบตำแหน่งนี้ด้วยตนเอง,%1 dizinindeki tüm eklenti dosyaları kaldırılamadı. Lütfen konumu elle temizle,Không thể bỏ tất cả các tệp plugin trong thư mục %1. Vui lòng dọn dẹp vị trí này theo cách thủ công,无法在目录 %1 中移除所有插件文件。请手动清理此位置,无法在目录 %1 中移除所有插件文件。请手动清理此位置,無法移除目錄 %1 裡的所有外掛程式檔案。請手動清理此位置
Studio.App.StudioPluginHost.CantSetEnabledDisabled,,,Unable to set enabled/disabled state for plugin: %1,Unable to set enabled/disabled state for plugin: %1,تعذَّر تعيين حالة التمكين/التعطيل للمكون الإضافي: %1,Der Aktivierungs-/Deaktivierungsstatus für das Plugin kann nicht festgelegt werden: %1,No se puede establecer la activación o desactivación para el plugin: %1,Impossible déclencher l'activation pour le plugin : %1,इस प्लग-इन के लिए चालू/बंद पोज़ीशन सेट नहीं की जा सकती : %1,Tidak dapat mengatur status aktif/nonaktif untuk plugin: %1,Impossibile impostare stato di attivazione/disattivazione per plugin: %1,プラグインの有効化/無効化状況を設定できませんでした: %1,플러그인의 활성화/비활성화 여부를 설정할 수 없음: %1,Nie można ustawić stanu włączono/wyłączono dla dodatku plug-in: %1,Não foi possível ativar/desativar um estado para o plugin: %1,Невозможно установить состояние включения/выключения для плагина: %1,ไม่สามารถกำหนดสถานะปิดใช้งาน/ปิดใช้งานของปลั๊กอิน: %1,%1 eklentisinin etkin/devre dışı durumu ayarlanamıyor,Không thể đặt trạng thái bật/tắt cho plugin: %1,无法为此插件设置启用 / 停用状态：%1,无法为此插件设置启用 / 停用状态：%1,無法為此外掛程式設定啟用 / 停用狀態：%1
Studio.App.StudioPluginHost.ErrorParsingAssetId,,,Error parsing plugin asset id for plugin: %1,Error parsing plugin asset id for plugin: %1,حدث خطأ في تحليل مُعرِّف الأصل للمكون الإضافي: %1,Fehler beim Analysieren der Plugin-Objekt-ID für das Plugin: %1,Error al redistribuir el ID del recurso del plugin para el plugin: %1,Erreur lors de l'analyse pour le plugin : %1,इस प्लग-इन के लिए प्लग-इन ऐसेट id पार्स करने में गड़बड़ी : %1,Eror saat melakukan parsing id aset plugin untuk plugin: %1,Errore di analisi dell'id risorsa del plugin per il plugin: %1,プラグインのプラグインアセットID構文解析エラー: %1,플러그인 애셋 ID 구문 분석 오류: %1,Błąd podczas przetwarzania identyfikatora zasobu następującego dodatku plug-in: %1,Erro ao redistribuir a ID do ativo do plugin para o plugin: %1,Ошибка при обработке идентификатора ресурсов плагина для плагина: %1,เกิดข้อผิดะลาดในการแยก ID ทรัพยากรของปลั๊กอิน: %1,Eklenti varlık kimliği ayrıştırılırken hata: %1,Lỗi phân tích tài sản plugin cho plugin: %1,分析插件素材 ID 时出错：%1,分析插件素材 ID 时出错：%1,分析以下外掛程式的素材 ID 時發生錯誤：%1
Studio.App.StudioPluginHost.ErrorWhileTryingToOpenPluginFile,,,Error while trying to open plugin file: %1,Error while trying to open plugin file: %1,حدث خطأ أثناء محاولة فتح ملف المكون الإضافي: %1,Fehler beim Öffnen der Plugin-Datei: %1,Error al intentar abrir el archivo del plugin: %1,Erreur lors de l'ouverture du fichier plugin : %1,यह प्लग-इन फ़ाइल खोलने की कोशिश में गड़बड़ी : %1,Eror saat mencoba membuka file plugin: %1,Errore nell'apertura del file plugin: %1,プラグインファイルを開くときにエラーが発生: %1,플러그인 파일을 여는 데 오류가 발생함: %1,Błąd podczas próby otwarcia pliku dodatku plug-in: %1,Erro ao abrir o arquivo do plugin: %1,Ошибка при попытке открыть файл плагина: %1,เกิดข้อผิดพลาดในขณะที่พยายามเปิดไฟล์ปลั๊กอิน: %1,%1 eklenti dosyası açılmaya çalışırken hata,Lỗi khi cố gắng mở tệp plugin: %1,打开插件文件时发生错误：%1,打开插件文件时发生错误：%1,開啟此外掛程式發生錯誤：%1
Studio.App.StudioPluginHost.FinishedInstallingPlugin,,,Finished installing plugin.,Finished installing plugin.,تم الانتهاء من تثبيت المكون الإضافي.,Plugin wurde erfolgreich installiert.,Instalación del plugin completada.,Fin de l'installation du plugin.,प्लग-इन इंस्टॉलेशन का काम पूरा हो गया.,Selesai menginstal plugin.,Installazione del plugin terminata.,プラグインのインストールを終了しました。,플러그인 설치 완료,Ukończono instalowanie dodatku plug-in.,Instalação do plugin concluída.,Завершена установка плагина.,การติดตั้งปลั๊กอินเสร็จสิ้นแล้ว,Eklenti kurulumu tamamlandı.,Đã hoàn thành cài đặt plugin.,插件已安装完成。,插件已安装完成。,外掛程式已安裝完畢。
Studio.App.StudioPluginHost.PluginMetadataFileIsCorrupted,,,Plugin metadata file is corrupted. Version information for your plugins may have been lost.,Plugin metadata file is corrupted. Version information for your plugins may have been lost.,ملف البيانات الوصفية للمكون الإضافي تالف. قد تكون معلومات الإصدار الخاصة بالمكونات الإضافية قد فقدت.,Die Plugin-Metadatendatei ist beschädigt. Versionsinformationen für deine Plugins sind möglicherweise verloren gegangen.,El archivo de metadatos del plugin está dañado. Es posible que la información de la versión para tus plugins se haya perdido.,Le fichier metadata est corrompu. Les infos à propos de la version de tes plugins ont peut-être été perdues.,प्लग-इन मेटाडेटा फ़ाइल करप्ट है. हो सकता है कि आपके प्लग-इन के लिए वर्जन की जानकारी खो गई हो.,File metadata plugin rusak. Informasi versi untuk plugin mungkin telah hilang.,File di metadati plugin danneggiato. Le informazioni sulla versione per i tuoi plugin potrebbero essere andate perse.,プラグインのメタデータが破損しています。お使いのプラグインのバージョン情報が消失しているかもしれません。,플러그인 메타데이터 파일이 손상되었습니다. 플러그인의 버전 정보가 유실되었을 수 있습니다.,Plik metadanych dodatku plug-in jest uszkodzony. Mogło dojść do utraty informacji o wersji dodatków plug-in.,O arquivo de metadados do plugin está corrompido. As informações da versão dos seus plugins pode ter sido perdida.,Файл метаданных плагинов поврежден. Информация о версиях ваших плагинов может быть утеряна.,ไฟล์ข้อมูลอภิพันธุ์ชำรุดเสียหาย ข้อมูลเวอร์ชันของปลั๊กอินของคุณอาจสูญหาย,Eklenti meta veri dosyası bozuk. Eklentilerinin sürüm bilgileri kaybolmuş olabilir.,Tệp siêu dữ liệu plugin bị hỏng. Thông tin phiên bản cho plugin của bạn có thể đã bị mất.,插件元数据文件已损坏。你插件的版本信息可能已丢失。,插件元数据文件已损坏。你插件的版本信息可能已丢失。,外掛程式元資料檔案已損壞，外掛程式的版本資訊可能已遺失。
Studio.App.StudioPluginHost.UnableToCreatePluginFile,,,Unable to create plugin file.,Unable to create plugin file.,تعذَّر إنشاء ملف المكون الإضافي.,Plugin-Datei konnte nicht erstellt werden.,No se puede crear el archivo del plugin.,Impossible de créer un fichier plugin.,प्लग-इन फ़ाइल क्रिएट नहीं हो सकी.,Tidak dapat membuat file plugin.,Impossibile creare file plugin.,プラグインファイルを作成できません。,플러그인 파일을 만들 수 없습니다.,Nie można utworzyć pliku dodatku plug-in.,Não foi possível criar o arquivo do plugin.,Невозможно создать файл плагина.,ไม่สามารถสร้างไฟล์ปลั๊กอินได้,Eklenti dosyası oluşturulamadı.,Không thể tạo tệp plugin.,无法创建插件文件。,无法创建插件文件。,無法建立外掛程式檔案。
Studio.App.StudioPluginHost.UnableToWritePluginMetadata,,,Unable to write plugin metadata. Version information for your plugins may be lost.,Unable to write plugin metadata. Version information for your plugins may be lost.,تعذّر كتابة البيانات الوصفية للمكون الإضافي. قد تُفقد معلومات الإصدار الخاصة بالمكونات الإضافية.,Plugin-Metadaten können nicht geschrieben werden. Versionsinformationen für deine Plugins können verloren gehen.,No se pueden escribir los metadatos del plugin. Es posible que la información de la versión para tus plugins se haya perdido.,Impossible d'écrire les metadata du plugin. Les infos à propos de la version de tes plugins ont peut-être été perdues.,प्लग-इन मेटाडेटा नहीं लिखा जा सका. हो सकता है कि आपके प्लग-इन के लिए वर्जन की जानकारी खो गई हो.,Tidak dapat menulis metadata plugin. Informasi versi untuk plugin mungkin hilang.,Impossibile scrivere metadati plugin. Le informazioni sulla versione per i tuoi plugin potrebbero andare perse.,プラグインのメタデータに書き込めません。お使いのプラグインのバージョン情報が失われるかもしれません。,플러그인 메타데이터를 작성할 수 없습니다. 플러그인 버전 정보가 유실되었을 수 있습니다.,Nie można zapisać metadanych dodatku plug-in. Może dojść do utraty informacji o wersji dodatków plug-in.,Não foi possível escrever metadados do plugin. A informação da versão do seu plugin pode ter sido perdida.,Невозможно записать метаданные плагинов. Информация о версиях ваших плагинов может быть утеряна.,ไม่สามารถเขียนปลั๊กอินข้อมูลอภิพันธุ์ได้ ข้อมูลเวอร์ชันของปลั๊กอินของคุณอาจสูญหาย,Eklenti meta verisi yazılamadı. Eklentilerinin sürüm bilgileri kaybolmuş olabilir.,Không thể ghi siêu dữ liệu plugin. Thông tin phiên bản cho plugin của bạn có thể bị mất.,无法写入插件元数据。你插件的版本信息可能已丢失。,无法写入插件元数据。你插件的版本信息可能已丢失。,無法寫入外掛程式元資料，外掛程式的版本資訊可能已遺失。
Studio.App.StudioSerializerHelper.ErrorSavingFile2,,,Error saving file '%1' - %2,Error saving file '%1' - %2,حدث خطأ في حفظ الملف '%1' - %2,"Fehler beim Speichern der Datei ""%1"" – %2",Error al guardar el archivo '%1' de %2,Erreur lors de la sauvegarde du fichier '%1' - %2,फ़ाइल '%1' - %2 सेव करने में गड़बड़ी,Eror menyimpan file '%1' - %2,"Errore salvataggio del file ""%1"" - %2",「%1」ファイルの保存エラー - %2,'%1' 파일 저장에 오류가 발생함 - %2,Błąd podczas zapisywania pliku „%1” – %2,Erro ao salvar o arquivo '%1' - '%2',Ошибка при сохранении файла '%1' - %2,เกิดข้อผิดพลาดในการบันทึกไฟล์ '%1' - %2,"Dosya kaydedilemedi: ""%1"" - %2","Lỗi khi lưu tệp ""%1"" - %2",保存文件 “%1” - %2 时出错,保存文件 “%1” - %2 时出错,儲存文件「%1」時發生錯誤 - %2 
Studio.App.StudioUtilities.LogInRequired,,,Log in required,Log in required,تسجيل الدخول مطلوب,Anmeldung erforderlich,Se requiere iniciar sesión,Connexion requise,लॉग-इन करना ज़रूरी है,Perlu log in,Accesso richiesto,ログインが必要です,로그인이 필요합니다,Wymagane jest zalogowanie się,É necessário entrar na conta,Требуется авторизация,จำเป็นต้องลงชื่อเข้าใช้,Giriş gerekli,Yêu cầu đăng nhập,需要登录,需要登录,需要登入
Studio.App.StudioUtilities.YouMustLogInToPerformThisAction,,,You must log in to perform this action!,You must log in to perform this action!,يجب عليك تسجيل الدخول لتنفيذ هذا الإجراء!,"Du musst dich anmelden, um diese Aktion durchzuführen!",Debes iniciar sesión para realizar esta acción.,Tu dois être connecté-e pour effectuer cette action !,यह ऐक्शन पूरा करने के लिए आपको लॉग-इन करना होगा!,Kamu harus log in untuk melakukan tindakan ini!,Devi effettuare l'accesso per eseguire questa azione!,この操作を実行するにはログインが必要です！,이 작업을 수행하려면 반드시 로그인을 해야 합니다!,"Aby wykonać tę akcję, zaloguj się!",Você deve entrar para executar esta ação!,Для выполнения этого действия необходимо войти в систему!,คุณต้องลงชื่อเข้าใช้เพื่อการดำเนินการนี้!,Bu eylemi gerçekleştirmek için giriş yapmış olman gerekir!,Bạn phải đăng nhập để thực hiện hành động này!,你必须登录才能执行此动作！,你必须登录才能执行此动作！,你必須登入才可以執行此動作！
Studio.App.TeamCreateConnectionDialog.YouHaveLostConnectionToTheServer,,,You have lost connection to the server. Trying to reconnect...<br><br>Recent copy of the place has been saved. <a href='openautosave://file'>Click here</a> to open the saved place.,You have lost connection to the server. Trying to reconnect...<br><br>Recent copy of the place has been saved. <a href='openautosave://file'>Click here</a> to open the saved place.,لقد فقدت الاتصال بالخادم. جارٍ محاولة إعادة الاتصال...<br><br>تم حفظ نسخة حديثة من المكان. <a href='openautosave://file'>اضغط هنا</a> لفتح المكان المحفوظ.,"Die Verbindung zum Server wurde verloren. Es wird versucht, die Verbindung wiederherzustellen ... <br><br>Die letzte Kopie des Ortes wurde gespeichert. <a href='openautosave://file'>Klicke hier</a>, um den gespeicherten Ort zu öffnen.",Se perdió la conexión al servidor. Intentando reconectar...<br><br>Se guardó una copia reciente del lugar.<a href='openautosave://file'>Haz clic aquí</a> para abrir el lugar guardado.,La connexion au serveur a été perdue. Essaie de te reconnecter ... <br> <br> Une copie récente du lieu a été enregistrée. <a href='openautosave://file'> Clique ici </a> pour ouvrir le lieu enregistré.,आपने सर्वर से कनेक्शन खो दिया है. फिर से कनेक्ट करने की कोशिश की जा रही है...<br><br>प्लेस की रीसेंट कॉपी सेव कर ली गई है. सेव किया गया प्लेस खोलने के लिए <a href='openautosave://file'>यहाँ क्लिक करें</a>.,Koneksi ke server hilang. Mencoba menghubungkan kembali...<br><br>Salinan tempat terbaru telah disimpan. <a href='openautosave://file'>Klik di sini</a> untuk membuka tempat yang disimpan.,Connessione al server interrotta. Nuovo tentativo di connessione...<br><br>La copia recente della località è stata salvata. <a href='openautosave://file'>Clicca qui</a> per aprire la località salvata.,サーバーへの接続が切断されました。再接続しています...<br><br>プレースの最近のコピーが保存されました。 保存済みのプレースを開くには<a href='openautosave://file'>ここをクリック</a> 。,서버와의 연결이 끊겨 다시 연결을 시도 중입니다...<br><br>플레이스의 최신 복사본이 저장되었습니다. 저장된 플레이스를 열려면 <a href='openautosave://file'>여기를 클릭</a>하세요.,"Utracono połączenie z serwerem. Próba ponownego połączenia...<br><br>Najnowsza kopia miejsca została zapisana. <a href='openautosave://file'>Kliknij tutaj</a>, aby otworzyć zapisane miejsce.",Você perdeu sua conexão com o servidor. Tentando reconectar...<br><br>Uma cópia recente do local foi salva. <a href='openautosave://file'>Clique aqui</a> para abrir o local salvo.,Потеряно соединение с сервером. Попытка повторного подключения... <br><br>Сохранена недавняя копия этого места. <a href='openautosave://file'>Щелкните здесь</a> для открытия сохраненного места.,คุณได้สูญเสียการเชื่อมต่อกับเซิร์ฟเวอร์ กำลังพยายามเชื่อมต่ออีกครั้ง...<br><br>บันทึกสำเนาล่าสุดของสถานที่แล้ว <a href='openautosave://file'>คลิกที่นี่</a> เพื่อเปิดสถานที่ที่บันทึกไว้,Sunucuyla bağlantın kesildi. Yeniden bağlanmaya çalışılıyor...<br><br>Mekânın son kopyası kaydedildi. Kaydedilen mekânı açmak için <a href='openautosave://file'>buraya tıkla</a>.,Bạn đã mất kết nối với máy chủ. Đang cố gắng kết nối lại...<br><br>Bản sao gần đây của địa điểm đã được lưu. <a href='openautosave://file'>Nhấp vào đây</a> để mở địa điểm đã lưu.,你已失去与服务器的连接。正在尝试重新连接...<br><br>已保存最近版本的场景。<a href='openautosave://file'>点击这里</a>打开已保存的场景。,你已失去与服务器的连接。正在尝试重新连接...<br><br>已保存最近版本的场景。<a href='openautosave://file'>点击这里</a>打开已保存的场景。,你已失去與伺服器的連線。正在嘗試重新連線……<br><br>已儲存當前版本的地點<a href='openautosave://file'>按下此處</a>開啟儲存的地點。
Studio.App.TeamCreate.ConfirmDisable,,,Are you sure you want to turn Team Create off?,Are you sure you want to turn Team Create off?,"هل أنت متأكد من أنك تريد إيقاف أداة ""إنشاء فريق""؟",Möchtest du Team Create wirklich deaktivieren?,¿Seguro que quieres desactivar Creación en equipo?,Es-tu sûr-e de vouloir désactiver Création en équipe ?,क्या आपको वाकई टीम क्रिएट बंद करना है?,Yakin ingin menonaktifkan Kreasi Bersama?,Vuoi davvero disattivare la Creazione di squadra?,チーム制作機能をオフにしますか？,팀 제작을 정말 비활성화할까요?,Czy na pewno chcesz wyłączyć tworzenie zespołowe?,Tem certeza de que deseja desativar a Criação em equipe?,Отключить совместную разработку?,คุณแน่ใจหรือไม่ว่าคุณต้องการปิดการสร้างร่วมกับเพื่อน?,Takım Çalışması özelliğini kapatmak istediğinden emin misin?,Bạn có chắc chắn muốn tắt Team Create không?,确定要关闭组队创作？,确定要关闭组队创作？,確定關閉團隊創作？
Studio.App.TeamCreate.ConfirmLossyDisable,,,"Turning off team create may result in loss of work.
Are you sure ?","Turning off team create may result in loss of work.
Are you sure ?","قد يتسبب إيقاف أداة ""إنشاء فريق"" في فقدان العمل.
هل أنت متأكد؟","Durch das Deaktivieren von Team Create gehen möglicherweise Daten verloren.
Bist du sicher?","Si desactivas Creación en equipo podrás perder tu trabajo.
¿Seguro que quieres continuar?","La désactivation de Création en équipe peut entraîner la perte de données.
Confirmer ?","टीम क्रिएट बंद करने से किया गया काम खत्म हो सकता है.
क्या आपको वाकई ऐसा करना है?","Menonaktifkan kreasi bersama dapat menyebabkan hilangnya karya.
Apakah kamu yakin?","Disattivare la Creazione di squadra potrebbe comportare la perdita di lavoro.
Confermi?","チーム制作機能をオフにするとデータが失われるかもしれません。
それでも実行しますか？","팀 제작을 끄면 작업이 유실될 수 있습니다.
진행할까요 ?","Wyłączenie tworzenia zespołowego może spowodować utratę zmian.
Na pewno?","Desativar a Criação em equipe pode resultar em perda do trabalho.
Tem certeza?","Отключение совместной разработки может привести к потере результатов работы.
Продолжить?","การปิดการสร้างร่วมกับเพื่อนอาจส่งผลให้เกิดการสูญเสียในงาน
คุณแน่ใจหรือไม่ ?","Takım çalışması özelliğinin kapatılması çalışma kaybına sebep olabilir.
Emin misin?","Việc tắt Team Create có thể làm mất tác vụ.
Bạn có chắc không?","关闭组队创作可能会导致工作进度丢失。
确定吗？","关闭组队创作可能会导致工作进度丢失。
确定吗？","關閉團隊創作可能會導致進度遺失。
確定嗎？"
Studio.App.TeamCreate.LoadingGame,,,Loading game,Loading game,جارٍ تحميل اللعبة,Spiel wird geladen,Cargando juego,Chargement du jeu,गेम लोड हो रहा है,Loading game,Caricamento gioco,ゲームを読み込み中,게임을 불러오는 중,Wczytywanie gry,Carregando jogo,Загрузка игры,กำลังโหลดเกม,Oyun yükleniyor,Đang tải trò chơi,正在加载游戏,正在加载游戏,正在載入遊戲
Studio.App.TeamCreate.SaveFailedConfirmation,,,"Save failed. Turning off team create may result in loss of work.
Are you sure?","Save failed. Turning off team create may result in loss of work.
Are you sure?","فشل الحفظ. قد يتسبب إيقاف أداة ""إنشاء فريق"" في فقدان العمل.
هل أنت متأكد؟","Speichern fehlgeschlagen. Durch das Deaktivieren von Team Create gehen möglicherweise Daten verloren.
Bist du sicher?","Error al guardar. Si desactivas Creación en equipo podrás perder tu trabajo.
¿Quieres continuar?","Sauvegarde échouée. La désactivation de Création en équipe peut entraîner la perte de données.
Confirmer ?","सेव नहीं हुआ. टीम क्रिएट बंद करने से किया गया काम खत्म हो सकता है.
क्या आपको वाकई ऐसा करना है?","Gagal menyimpan. Menonaktifkan kreasi bersama dapat menyebabkan hilangnya karya.
Apakah kamu yakin?","Salvataggio non riuscito. Disattivare la Creazione di squadra potrebbe comportare la perdita di lavoro.
Confermi?","保存できませんでした。チーム制作機能をオフにするとデータが失われるかもしれません。
それでも実行しますか？","저장 실패. 팀 제작을 끄면 작업이 유실될 수 있습니다.
진행할까요?","Nie udało się zapisać. Wyłączenie tworzenia zespołowego może spowodować utratę zmian.
Na pewno?","Falha no salvamento. Desativar a Criação em equipe poderá resultar em perda de trabalho.
Tem certeza?","Невозможно сохранить. Отключение совместной разработки может привести к потере сделанного.
Продолжить?","บันทึกไม่สำเร็จ การปิดการสร้างร่วมกับเพื่อนอาจส่งผลให้เกิดการสูญเสียของงาน
คุณแน่ใจหรือไม่?","Kayıt başarısız. Takım çalışması özelliğinin kapatılması çalışma kaybına sebep olabilir.
Emin misin?","Không lưu được. Việc tắt Team Create có thể làm mất tác vụ.
Bạn có chắc không?","无法保存。关闭组队创作可能会导致工作进度丢失。
确定吗？","无法保存。关闭组队创作可能会导致工作进度丢失。
确定吗？","儲存失敗。關閉團隊創作可能會導致進度遺失。
確定嗎？"
Studio.App.TeamCreate.SaveOnDisableLog,,,Sent message to save game before Team Create turns off.,Sent message to save game before Team Create turns off.,"تم إرسال رسالة لحفظ اللعبة قبل إيقاف أداة ""إنشاء فريق"".","Nachricht zum Speichern des Spiels gesendet, bevor Team Create ausgeschaltet wird.",Se ha enviado un mensaje para guardar el juego antes de que se desactive Creación en equipo.,Message de sauvegarde envoyé avant la désactivation de Création en équipe.,टीम क्रिएट बंद होने से पहले गेम को सेव करने के लिए मैसेज भेजा गया.,Pesan untuk menyimpan game sebelum Kreasi Bersama mati telah terkirim.,Messaggio inviato per salvare la partita prima che la Creazione di squadra si disattivi.,チーム制作機能がオフになる前にゲームを保存するメッセージを送信済み。,팀 제작을 비활성화하기 전에 게임 저장 메시지를 전송했습니다.,Wysłano wiadomość z przypomnieniem o zapisaniu gry przed wyłączeniem tworzenia zespołowego.,Mensagem enviada para salvar o jogo antes de desativar a Criação em equipe.,Отправлено сообщение для сохранения игры до отключения режима совместной разработки.,ส่งข้อความเพื่อบันทึกเกมก่อนที่การสร้างร่วมกับเพื่อนจะปิด,Takım Çalışması kapatılmadan önce oyunun kaydedilmesi için mesaj gönder.,Đã gửi thông báo để lưu trò chơi trước khi Team Create tắt.,已在关闭组队创作前发送保存游戏信息。,已在关闭组队创作前发送保存游戏信息。,已在關閉團隊創作前傳送儲存遊戲訊息。
