Key,Source,de-de,en-us,es-es,fr-fr,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.GameSettings.Places.NumberError,Please enter a number betwen {minRange:int} and {maxRange:int}., ,Please enter a number betwen {minRange:int} and {maxRange:int}.,Ingresa un número entre {minRange:int} y {maxRange:int}.,Entre un nombre entre {minRange:int} et {maxRange:int}.,{minRange:int} と {maxRange:int}の間の数字を入力してください。,{minRange:int}에서 {maxRange:int} 사이의 숫자를 입력하세요.,Insira um número entre {minRange:int} e {maxRange:int}., ,请输入 {minRange:int} 到 {maxRange:int} 之间的一个数字。,请输入 {minRange:int} 到 {maxRange:int} 之间的一个数字。,請輸入 {minRange:int} 到 {maxRange:int} 之間的數字。
Studio.GameSettings.Monetization.DEPRECATED_VIPServersHint,Paid Access must not be enabled and the game must be public to enable VIP Servers., ,Paid Access must not be enabled and the game must be public to enable VIP Servers.,"Para habilitar los servidores VIP, no debe activarse el acceso de pago y el juego debe ser público.",L'Accès Payant ne doit pas être activé et le jeu doit être public pour activer les serveurs VIP.,VIPサーバーを有効化するには、有料アクセスが有効化されておらず、ゲームが公開されていることが必須です。,VIP 서버를 활성화하려면 유료 액세스를 비활성화하고 게임을 공개해야 합니다.,Acesso pago deve estar desabilitado e o jogo deve ser público para permitir servidores VIP., ,启用 VIP 服务器前，需要禁用付费访问并将游戏设为公开。,启用 VIP 服务器前，需要禁用付费访问并将游戏设为公开。,若要啟用 VIP 伺服器，必須先停用付費通行，並將遊戲設為公開。
Studio.GameSettings.Monetization.VIPServersHint,Paid Access must not be enabled and the game must be public to enable VIP Servers., ,Paid Access must not be enabled and the game must be public to enable VIP Servers.,No se debe activar el Acceso de pago y el juego debe ser público para habilitar los Servidores VIP.,L'accès payant ne doit pas être activé et le jeu doit être public pour activer les serveurs VIP.,VIPサーバーを有効化するには、有料アクセスが有効化されておらず、ゲームが公開されていることが必須です。,VIP 서버를 활성화하려면 유료 액세스를 비활성화하고 게임을 공개해야 합니다.,Acesso pago não deve ser habilitado e o jogo deve ser público para permitir servidores VIP., ,启用 VIP 服务器前，需要禁用付费访问并将游戏设为公开。,启用 VIP 服务器前，需要禁用付费访问并将游戏设为公开。,若要啟用 VIP 伺服器，必須先停用付費通行，並將遊戲設為公開。
Studio.GameSettings.General.GenreAdventure,Adventure,Abenteuer,Adventure,Aventura,Aventure,アドベンチャー,어드벤처,Aventura,Приключения,冒险,冒险,冒險
Studio.GameSettings.General.GenreWestern,Western,Western,Western,Western,Western,ウエスタン,서부극,Faroeste,Вестерн,西部,西部,西部
Studio.GameSettings.Monetization.BadgeImage,Badge Image, ,Badge Image,Imagen del emblema,Image badge,バッジ画像,배지 이미지,Imagem do emblema, ,徽章图片,徽章图片,徽章圖像
Studio.GameSettings.General.GenreBuilding,Building,Bausimulatoren,Building,Construcción,Construction,建築,건설,Construção,Постройки,建筑,建筑,建築
Studio.GameSettings.General.PublishIsRequiredHyperlink,Publishing the game to Roblox, ,Publishing the game to Roblox,Es necesario publicar el juego en Roblox,Publication du jeu sur Roblox,ゲームをRobloxで公開,Roblox에 게임 게시,Publicando o jogo na Roblox,Публикация игры в Roblox,正在将游戏发布到 Roblox,正在将游戏发布到 Roblox,遊戲發布到 Roblox
Studio.GameSettings.General.PublishingHintLink,Publishing the game to Roblox, ,Publishing the game to Roblox,Es necesario publicar el juego en Roblox,Publier le jeu sur Roblox,ゲームをRobloxで公開,Roblox에 게임 게시,Publicando o jogo na Roblox,Публикация игры в Roblox,正在将游戏发布到 Roblox,正在将游戏发布到 Roblox,遊戲發布到 Roblox
Studio.GameSettings.General.GenreComedy,Comedy,Lustige Spiele,Comedy,Comedia,Humour,コメディ,코미디,Comédia,Комедия,喜剧,喜剧,喜劇
Studio.GameSettings.Monetization.NoBadges,Not seeing badges? Refresh to update, ,Not seeing badges? Refresh to update,¿No ves los emblemas? Vuelve a cargar para actualizar,Tu ne vois pas les badges ? Rafraîchir pour mettre à jour,バッジが見えない場合。リフレッシュしてアップデートしてください,배지가 보이지 않나요? 새로고침하여 업데이트하세요,Não está vendo os emblemas? Recarregue para atualizar, ,徽章没有显示？请尝试刷新页面,徽章没有显示？请尝试刷新页面,看不到徽章？重新整理即可更新
Studio.GameSettings.General.GenreTownAndCity,Town and City,Stadt,Town and City,Pueblo y ciudad,Villes,都市開発,마을 및 도시,Urbano,Симулятор города,城市建设,城市建设,市鎮
Studio.GameSettings.Errors.ErrorPriceBelowMin,Price must be greater than {1}., ,Price must be greater than {1}.,El precio debe ser superior a {1}.,Le prix doit être supérieur à {1}.,{1} 以上のサイズであることが必須です。,가격은 {1}보다 높아야 합니다.,O preço deve ser maior que {1}., ,价格必须大于 {1}。,价格必须大于 {1}。,價格應高於 {1}。
Studio.GameSettings.General.DeviceComputer,Computer,PC,Computer,Computadora,Ordinateur,パソコン,컴퓨터,Computador,Компьютер,计算机,计算机,電腦
Studio.GameSettings.General.DevicePhone,Phone,Handy,Phone,Teléfono,Téléphone,電話,휴대폰,Telefone,Телефон,手机,手机,手機
Studio.GameSettings.General.DeviceTablet,Tablet,Tablet,Tablet,Tablet,Tablette,タブレット,태블릿,Tablet,Планшет,平板,平板,平板電腦
Studio.GameSettings.General.DevSubsDiscontinueHeader,Would you like to discontinue this subscription?,Möchtest du dieses Abonnement beenden?,Would you like to discontinue this subscription?,¿Quieres suspender esta suscripción?,Veux-tu suspendre cet abonnement ?,サブスクリプション契約を解約しますか。,구독을 해지하시겠어요?,Gostaria de suspender esta assinatura?,Вы действительно хотите прекратить эту подписку?,确定要取消此订阅吗?,确定要取消此订阅吗?,確定取消此訂閱？
Studio.GameSettings.General.DeviceConsole,Console,Konsole,Console,Consola,Console,コンソール,콘솔,Console,Консоль,游戏主机,游戏主机,遊戲機
Studio.GameSettings.General.HttpDesc,Allow game server to issue requests to remote servers.,Das Senden von Anfragen des Spielservers an Remote-Server zulassen.,Allow game server to issue requests to remote servers.,Permitir que el servidor del juego realice peticiones a servidores remotos.,Autoriser le serveur de jeu à envoyer des requêtes vers des serveurs distants,ゲームサーバーが遠隔サーバーに要求することを許可する。,게임 서버가 원격 서버로 요청을 발행할 수 있도록 허용합니다.,Permitir que o servidor do jogo envie solicitações a servidores remotos.,Разрешить игровому серверу отправлять запросы к удаленным серверам.,允许游戏服务器对远程服务器发出请求。,允许游戏服务器对远程服务器发出请求。,允許遊戲伺服器對遠端伺服器發出請求。
Studio.GameSettings.Places.MaximumTitle,Maximum, ,Maximum,Máximo,Maximum,最大,최대,Máximo, ,最大人数,最大人数,最大化
Studio.GameSettings.General.ThumbnailPrompt,Add Thumbnails,Miniaturansichten hinzufügen,Add Thumbnails,Añadir miniaturas,Ajouter vignettes,サムネイルを追加,섬네일 추가,Adicionar miniatura,Добавить эскизы,添加缩略图,添加缩略图,新增縮圖
Studio.GameSettings.General.ImageDialogBody,Select a compatible image.,Wähle ein kompatibles Bild aus.,Select a compatible image.,Selecciona una imagen compatible.,Sélectionner une image compatible.,互換性のある画像を選択してください,호환 가능한 이미지를 선택하세요.,Selecione uma imagem compatível.,Выберите совместимое изображение.,选择一张兼容的图片。,选择一张兼容的图片。,選擇一張相容的圖像。
Studio.GameSettings.General.SingleImageDialogBody,Select a compatible image.,Wähle ein kompatibles Bild aus.,Select a compatible image.,Selecciona una imagen compatible.,Sélectionner une image compatible.,互換性のある画像を選択してください。,호환 가능한 이미지를 선택하세요.,Selecione uma imagem compatível.,Выберите совместимое изображение.,选择一张兼容的图片。,选择一张兼容的图片。,選擇一張相容的圖像。
Studio.GameSettings.General.StudioApiServicesDesc,Enables Studio access to game services such as Data Stores,Aktiviert den Zugriff auf Spieldienste wie Datenspeicher für Studio,Enables Studio access to game services such as Data Stores,"Activa el acceso de Studio a los servicios del juego, tales como los almacenes de datos.","Permet à Studio d'accéder à des services de jeu, comme les magasins de données",Data StoresなどのゲームサービスへStudioのアクセスを有効化,Studio에서 Data Stores와 같은 게임 서비스로 접근할 수 있습니다,"Permitir o acesso do Studio a serviços de jogo, como por exemplo, armazenamento de dados","Обеспечивает доступ к игровым сервисам, например к хранилищам данных",允许 Studio 访问数据存储等游戏服务,允许 Studio 访问数据存储等游戏服务,允許 Studio 使用諸如資料存放區等遊戲服務
Studio.GameSettings.General.ContentDialogBody,Do you agree that your game is controller compatible and contains NONE of the following?,"Bestätigst du, dass dein Spiel Controller-kompatibel ist und KEINE der folgenden Inhalte enthält?",Do you agree that your game is controller compatible and contains NONE of the following?,¿Estás de acuerdo con que tu juego sea compatible con el mando y no contenga NINGUNO de los siguientes?,Acceptes-tu que ton jeu soit compatible avec une manette et qu'il ne contienne AUCUN des éléments suivants ?,あなたのゲームは、コントローラーと互換性があり、以下のどれも含まれていないことに同意しますか。,"게임이 컨트롤러와 호환되도록 지원하며, 다음과 같은 콘텐츠가 포함되어 있지 않아야 합니다. 동의하시나요?",Você concorda que seu jogo é compatível com controles e que não contém NENHUM dos seguintes?,"Подтверждаете ли вы, что ваша игра совместима с контроллером и не содержит следующих элементов?",你同意让游戏兼容控制器，并确认游戏不包含以下内容吗?,你同意让游戏兼容控制器，并确认游戏不包含以下内容吗?,你同意讓遊戲支援控制器，並且確認遊戲沒有包含以下內容嗎？
Studio.GameSettings.General.ContentDialogItem1,Blood or Gore,Blutrünstige Szenen,Blood or Gore,Sangre o derramamientos de sangre,Sang et horreur,流血または残虐,피 또는 잔인한 장면,Sangue ou vísceras,Кровь и увечья,血腥,血腥,血腥
Studio.GameSettings.General.PresetRthro,Rthro,Rthro,Rthro,Rthro,Rthro,Rthro,Rthro,Rthro,Артро,Rthro,Rthro,Rthro
Studio.GameSettings.General.ContentDialogItem2,Intense Violence,Heftige Gewaltdarstellungen,Intense Violence,Violencia intensa,Violence intense,強烈な暴力,심각한 폭력,Violência intensa,Насилие,激烈暴力,激烈暴力,激烈暴力
Studio.GameSettings.Monetization.PaidAccessHintLuobu,The game must be public to enable Paid Access., ,The game must be public to enable Paid Access.,El juego debe ser público para activar Acceso de pago.,Le jeu doit être public pour permettre l'accès payant.,有料アクセスを有効化するにはゲームが公開されていることが必須です。,유료 액세스를 사용하려면 게임을 공개해야 합니다.,Este jogo dever ser público para permitir Acesso pago., ,需要将游戏设为公开才能启用付费访问。,需要将游戏设为公开才能启用付费访问。,若要啟用付費通行，請將遊戲設為公開。
Studio.GameSettings.General.ContentDialogItem3,Strong Language (Swearing),Kraftausdrücke (Flüche),Strong Language (Swearing),Lenguaje violento (insultos),Langage ordurier (jurons),過激な表現（暴言）,심한 말(욕설),Linguagem inapropriada (palavrões),Грубые выражения,粗暴语言 (脏话),粗暴语言 (脏话),強烈語言 (髒話)
Studio.GameSettings.General.UnitsMetersPerSecondSquared1,({1} meters/second^2), ,({1} meters/second^2),({1} metros/segundo^2),({1} mètre/seconde^2),({1} メートル/秒^2),({1}미터/초^2),({1} metros/segundo^2), ,（{1} 米/秒 ^ 2）,（{1} 米/秒 ^ 2）,（{1} 公尺每平方秒）
Studio.GameSettings.General.ContentDialogItem4,Robux Gambling,Robux-Glücksspiel,Robux Gambling,Apuestas con Robux,Jeu d'argent avec Robux,Robuxギャンブル,Robux 도박,Apostas de Robux,Азартные игры,以 Robux 进行赌博,以 Robux 进行赌博,以 Robux 進行的賭博
Studio.GameSettings.General.ErrorDescModerated,The description didn't go through our moderation. Please revise it and try again.,Die Beschreibung wurde von unserer Moderation nicht zugelassen. Bitte ändere ihn und versuche es erneut.,The description didn't go through our moderation. Please revise it and try again.,Se ha moderado la descripción. Modifícala e inténtalo de nuevo.,Cette description n'a pas été approuvée par notre modération. Changez-la et réessayez.,この名前は規制対象のため承認されませんでした。修正してから、もう一度お試しください。,설명이 검열을 통과하지 못했어요. 수정한 후 다시 시도하세요.,A descrição não foi aprovada pela moderação. Revise-a e tente novamente.,"Описание не прошло модерацию. Пожалуйста, измените его и попробуйте еще раз.",此描述没有通过审核。请修改后再试一次。,此描述没有通过审核。请修改后再试一次。,此說明沒有通過審核。請修改後再試一次。
Studio.GameSettings.General.ContentDialogItem5,Drug Reference or Use,Hinweise auf Drogen oder Drogenkonsum,Drug Reference or Use,Referencias a drogas o a su uso,Référence à la drogue ou utilisation de drogue,薬物に関する表現や使用,마약 관련 또는 사용,Menção ou uso de drogas,Упоминание или употребление наркотиков,提及或使用毒品,提及或使用毒品,提及或使用藥物
Studio.GameSettings.General.PreviewDialogBody,Studio doesn't currently support video playing,Studio unterstützt das Abspielen von Videos derzeit nicht,Studio doesn't currently support video playing,Studio actualmente no es compatible con la reproducción de videos,Studio ne prend pas en charge la lecture des vidéos,Studioは現在、ビデオ再生には対応していません。,Studio는 현재 비디오 재생을 지원하지 않습니다,"No momento, o Studio não suporta exibição de vídeos",В настоящее время воспроизведение видео не поддерживается,Studio 当前不支持视频播放,Studio 当前不支持视频播放,Studio 目前並不支援播放影片
Studio.GameSettings.General.PreviewDialogLink,Go to YouTube and play the video,Video auf YouTube ansehen,Go to YouTube and play the video,Ve a YouTube y reproduce el video,Aller sur YouTube pour lire la vidéo,YouTubeに移動してビデオを再生,YouTube로 이동해 비디오 재생,Visite o YouTube para reproduzir o vídeo,Для воспроизведения видео перейдите на YouTube,前往 YouTube 并播放视频,前往 YouTube 并播放视频,前往 YouTube 播放影片
Studio.GameSettings.AccessPermissions.OwnerDescription,Owner of the game, ,Owner of the game,Propietario del juego,Propriétaire,ゲームの所有者,게임 소유자,Proprietário do jogo, ,游戏的所有者,游戏的所有者,遊戲主人
Studio.GameSettings.Permissions.OwnerDescription,Owner of the game, ,Owner of the game,Propietario del juego,Propriétaire,ゲームの所有者,게임 소유자,Proprietário do jogo, ,游戏的所有者,游戏的所有者,遊戲主人
Studio.GameSettings.General.PartLeftLeg,Left Leg,Linkes Bein,Left Leg,Pierna izquierda,Jambe gauche,左足,왼 다리,Perna esquerda,Левая нога,左腿,左腿,左腿
Studio.GameSettings.General.CancelDialogHeader,Discard Changes,Änderungen verwerfen,Discard Changes,Descartar cambios,Annuler les modifications,変更を破棄,변경 사항 제거,Descartar alterações,Отменить изменения,放弃更改,放弃更改,捨棄變更
Studio.GameSettings.General.MultiImageDialogBody,The following file(s) exceed {maxThumbnailSize:int} MB:,Die folgenden Datei(en) überschreiten {maxThumbnailSize:int} MB:,The following file(s) exceed {maxThumbnailSize:int} MB:,Los siguientes archivos superan el límite de {maxThumbnailSize:int} MB:,Les fichiers suivants dépassent la limite de {maxThumbnailSize:int} MB:,以下のファイルは {maxThumbnailSize:int} MBを超えています:,다음 파일이 {maxThumbnailSize:int} MB를 초과합니다:,Os seguintes arquivos excedem {maxThumbnailSize:int} MB:,Следующие файлы превышают {maxThumbnailSize:int} МБ:,下列文件超过 {maxThumbnailSize:int} MB:,下列文件超过 {maxThumbnailSize:int} MB:,下列檔案超過 {maxThumbnailSize:int} MB：
Studio.GameSettings.General.CancelDialogBody,Would you like to discard all changes?,Möchtest du alle Änderungen verwerfen?,Would you like to discard all changes?,¿Quieres descartar todos los cambios?,Voulez-vous annuler toutes les modifications ?,すべての変更を破棄しますか。,모든 변경 사항을 제거할까요?,Deseja descartar todas as alterações?,Вы действительно хотите отменить все изменения?,你要放弃所有更改吗?,你要放弃所有更改吗?,確定捨棄所有變更？
Studio.GameSettings.General.DevSubsDuration6Months,6 months, ,6 months,6 meses,6 mois,6ヶ月,6개월,6 meses, ,6 个月,6 个月,6 個月
Studio.GameSettings.General.PrivateDialogHeader,Make Private,Als privat festlegen,Make Private,Hacer privado,Rendre privé,プライベート設定にする,비공개 설정,Tornar privado,Закрытая игра,设为私人,设为私人,設為私人
Studio.GameSettings.General.DevSubsDiscontinueTitle,Discontinue Subscription,Abonnement beenden,Discontinue Subscription,Suspender suscripción,Suspendre l'abonnement,サブスクリプションを解約,구독 해지,Suspender assinatura,Прекратить подписку,取消订阅,取消订阅,取消訂閱
Studio.GameSettings.General.PrivateDialogPrompt,Are you sure you want to make this game private?,"Bist du sicher, dass du im Privat-Modus spielen willst?",Are you sure you want to make this game private?,¿Estás seguro de que quieres hacer privado este juego?,Es-tu sûr de vouloir rendre ce jeu privé ?,このゲームをプライベート設定にしますか。,이 게임을 비공개로 설정할까요?,Tem certeza de que quer tornar este jogo privado?,Вы действительно хотите сделать эту игру закрытой?,确定要将此游戏设为私人吗?,确定要将此游戏设为私人吗?,確定將此遊戲設為私人？
Studio.GameSettings.AccessPermissions.CollaboratorSearchbarNoResultsText,There were no results, ,There were no results,No hay resultados,Il n'y a pas de résultats,結果がありませんでした,결과가 없습니다,Não há resultados,Результатов нет,没有结果,没有结果,沒有結果
Studio.GameSettings.Permissions.CollaboratorSearchbarNoResultsText,There were no results, ,There were no results,No hay resultados,Il n'y a pas de résultats,結果がありませんでした,결과가 없습니다,Não há resultados, ,没有结果,没有结果,沒有結果
Studio.GameSettings.General.PrivateDialogBody,Making this game private will shut down any running games.,"Wenn du dieses Spiel als privat festlegst, werden alle derzeit ausgeführten Spiele beendet.",Making this game private will shut down any running games.,Cambiar este juego a privado cerrará cualquier juego en ejecución.,"Si ce jeu devient privé, toutes les parties en cours prendront fin.",このゲームをプライベート設定にすると、現在実行中のゲームがシャットダウンします。,이 게임을 비공개로 설정하면 실행 중인 게임이 종료됩니다.,Tornar este jogo privado desativará qualquer jogo em execução.,"Если сделать эту игру закрытой, все запущенные игры завершат работу.",将此游戏设为私人将会关闭所有进行中的游戏。,将此游戏设为私人将会关闭所有进行中的游戏。,將此遊戲設為私人將會關閉所有進行中的遊戲。
Studio.GameSettings.General.PartRightArm,Right Arm,Rechter Arm,Right Arm,Brazo derecho,Bras droit,右腕,오른팔,Braço direito,Правая рука,右臂,右臂,右臂
Studio.GameSettings.General.AvatarDialogHeader,Warning,Warnung,Warning,Advertencia,Avertissement,警告,경고,Aviso,Предупреждение,警告,警告,警告
Studio.GameSettings.OptInLocations.Rejected,Rejected. Please check your email., ,Rejected. Please check your email.,Rechazado. Verifica tu correo electrónico.,Rejeté. Vérifie tes e-mails.,却下されました。メールをチェックしてください。,거부되었습니다. 이메일을 확인하세요.,Rejeitado. Verifique seu e-mail., ,已拒绝。请检查电子邮件。,已拒绝。请检查电子邮件。,遭拒，請查看電子郵件。
Studio.GameSettings.General.AvatarDialogPrompt,Would you like to proceed?,Möchtest du fortfahren?,Would you like to proceed?,¿Quieres continuar?,Continuer ?,続行しますか。,진행할까요?,Deseja continuar?,Продолжить?,你要继续吗?,你要继续吗?,你是否要繼續？
Studio.GameSettings.Monetization.Subscriptions,Subscriptions: {numOfSubscriptions:int}, ,Subscriptions: {numOfSubscriptions:int},Suscripciones: {numOfSubscriptions:int},Abonnement : {numOfSubscriptions:int},サブスクリプション: {numOfSubscriptions:int},구독 수: {numOfSubscriptions:int},Assinaturas: {numOfSubscriptions:int}, ,订阅数：{numOfSubscriptions:int},订阅数：{numOfSubscriptions:int},訂閱數：{numOfSubscriptions:int}
Studio.GameSettings.AccessPermissions.EditLabel,Edit,Bearbeiten,Edit,Editar,Modifier,編集,편집,Editar,Изменить,编辑,编辑,編輯
Studio.GameSettings.General.ButtonEdit,Edit, ,Edit,Editar,Modifier,編集,편집,Editar, ,编辑,编辑,編輯
Studio.GameSettings.Permissions.EditLabel,Edit, ,Edit,Editar,Modifier,編集,편집,Editar, ,编辑,编辑,編輯
Studio.GameSettings.General.AvatarDialogBody,Changing the game's Avatar Type to this setting will shut down any running games.,"Wenn du die Avatar-Art des Spiels auf diese Einstellung änderst, werden alle derzeit ausgeführten Spiele beendet.",Changing the game's Avatar Type to this setting will shut down any running games.,Cambiar el tipo de avatar del juego a esta configuración cerrará cualquier juego en ejecución.,"Si vous remplacez le type d'avatar par ce paramètre, les parties en cours prendront fin.",ゲームのアバタータイプをこの設定に変更すると、実行中のゲームが終了します。,게임의 아바타 유형을 이 설정으로 변경하면 실행 중인 게임이 종료됩니다.,Alterar o tipo de avatar do jogo para esta configuração desativará qualquer jogo em execução.,При изменение типа аватара все запущенные игры завершат работу.,更改游戏的虚拟形象类型将会关闭所有运行中的游戏。,更改游戏的虚拟形象类型将会关闭所有运行中的游戏。,變更遊戲的虛擬人偶類型將會關閉所有進行中的遊戲。
Studio.GameSettings.General.DeleteDialogHeader,Delete Thumbnail,Miniaturansicht löschen,Delete Thumbnail,Eliminar miniatura,Supprimer vignette,サムネイルを削除,섬네일 삭제,Excluir miniatura,Удалить эскиз,删除缩略图,删除缩略图,刪除縮圖
Studio.GameSettings.General.DeleteDialogBody,Would you like to delete this thumbnail?,Möchtest du diese Miniaturansicht löschen?,Would you like to delete this thumbnail?,¿Quieres eliminar esta miniatura?,Supprimer cette vignette ?,このサムネイルを削除しますか。,이 섬네일을 삭제할까요?,Deseja excluir esta miniatura?,Вы действительно хотите удалить этот эскиз?,你要删除此缩略图吗?,你要删除此缩略图吗?,你是否要刪除此縮圖？
Studio.GameSettings.General.ImageDialogHeader,No Image Loaded,Kein Bild geladen,No Image Loaded,No hay imagen cargada,Aucune image chargée,読み込んだ画像がありません,불러온 이미지 없음,Nenhuma imagem carregada,Изображение не загружено,未加载图片,未加载图片,未載入圖像
Studio.GameSettings.General.SingleImageDialogHeader,No Image Loaded,Kein Bild hochgeladen,No Image Loaded,No hay imagen cargada,Aucune image chargée,読み込んだ画像がありません,불러온 이미지 없음,Nenhuma imagem carregada,Изображение не загружено,未加载图片,未加载图片,未載入圖像
Studio.GameSettings.General.UnitsMetersPerSecondSquared,({number} meters/second^2), ,({number} meters/second^2),({number} metros/segundo^2),({number} mètre/seconde ^2),({number} メートル/秒^2),({number}미터/초^2),({number} metros/segundo^2),({number} м/сек^2),（{number} 米/秒^2）,（{number} 米/秒^2）,（{number} 米每平方秒）
Studio.GameSettings.AccessPermissions.EditDescription,Can play and edit this game,Dieses Spiel kann gespielt und bearbeitet werden,Can play and edit this game,Puede jugar a este juego y editarlo,Possible de jouer et de modifier ce jeu,このゲームをプレイして編集できます,이 게임을 플레이하거나 편집할 수 있음,Pode jogar e editar este jogo,Вы можете играть и редактировать эту игру,可以玩此游戏，或对其进行编辑,可以玩此游戏，或对其进行编辑,可遊玩與編輯此遊戲
Studio.GameSettings.Permissions.EditDescription,Can play and edit this game, ,Can play and edit this game,Puede jugar a este juego y editarlo,Possible de jouer et de modifier ce jeu,このゲームをプレイして編集できます,이 게임을 플레이하고 편집할 수 있습니다,Pode jogar e editar este jogo, ,可以玩此游戏，或对其进行编辑,可以玩此游戏，或对其进行编辑,可遊玩與編輯此遊戲
Studio.GameSettings.General.ErrorsOnSaveHeader,Saving Errors,Fehler beim Speichern,Saving Errors,Guardando errores,Erreurs d'enregistrement,保存エラー,저장 오류,Erros ao salvar,Сохранение ошибок,保存错误,保存错误,儲存錯誤
Studio.GameSettings.General.ErrorsOnSaveBody,Could not save game settings.,Spieleinstellungen konnten nicht gespeichert werden.,Could not save game settings.,No se ha podido guardar la configuración del juego.,Impossible d'enregistrer les paramètres du jeu.,ゲーム設定を保存できませんでした。,게임 설정을 저장하지 못했습니다.,Não foi possível salvar as configurações do jogo.,Не удалось сохранить настройки игры.,无法保存游戏设置。,无法保存游戏设置。,無法儲存遊戲設定。
Studio.GameSettings.General.ErrorNameModerated,The name didn't go through our moderation. Please revise it and try again.,Der Name wurde von unserer Moderation nicht zugelassen. Bitte ändere ihn und versuche es erneut.,The name didn't go through our moderation. Please revise it and try again.,Se ha moderado el nombre. Modifícalo e inténtalo de nuevo.,Ce nom n'a pas été approuvé par notre modération. Changez-le et réessayez.,この名前は規制対象のため承認されませんでした。修正してから、もう一度お試しください。,이름이 검열을 통과하지 못했어요. 수정한 후 다시 시도하세요.,O nome não foi aprovado pela moderação. Revise-o e tente novamente.,"Имя не прошло модерацию. Пожалуйста, измените его и попробуйте еще раз.",此名称没有通过审核。请修改后再试一次。,此名称没有通过审核。请修改后再试一次。,此名稱沒有通過審核。請修改後再試一次。
Studio.GameSettings.General.ErrorImageLimit,"You're uploading too much, please wait and try again later.",Du lädst zu viel hoch. Bitte warte und versuche es später erneut.,"You're uploading too much, please wait and try again later.",Estás cargando demasiadas imágenes. Espera un momento e inténtalo de nuevo más tarde.,Nombre de transferts trop élevé. Attendez un peu et réessayez plus tard.,アップロード量が多すぎます。後でもう一度お試しください。,업로드가 너무 많습니다. 나중에 다시 시도하세요.,"Você está enviando muitos arquivos, aguarde e tente novamente mais tarde.","Слишком много данных для загрузки. Пожалуйста, повторите попытку позже.",你已上传过多文件。请稍候重试。,你已上传过多文件。请稍候重试。,你的上傳次數過多，請稍作等待後再試。
Studio.GameSettings.Monetization.ProductName,Product Name, ,Product Name,Nombre del producto,Nom du produit,製品名,제품 이름,Nome do produto, ,产品名称,产品名称,產品名稱
Studio.GameSettings.General.ErrorImageNotRecognized,File uploaded does not match known image format. Try converting to png.,Die hochgeladene Datei entspricht keinem bekannten Bildformat. Bitte konvertiere sie ins PNG-Format.,File uploaded does not match known image format. Try converting to png.,El archivo cargado no coincide con un formato de imagen conocido. Intenta convertirlo a png.,Le fichier transféré ne correspond à aucun format d'image connu. Essayez de le convertir en png.,アップロードされたファイルは既存の画像形式と一致しません。pngに変換してみてください。,업로드된 파일이 알려진 이미지 형식과 일치하지 않습니다. PNG로 변환하세요.,O arquivo enviado não corresponde a um formato de imagem conhecido. Tente convertê-lo para PNG.,Загруженный файл не соответствует принятому формату изображения. Попробуйте конвертировать его в PNG.,上传的文件与已知图片格式不匹配。请将其转换为 png 格式。,上传的文件与已知图片格式不匹配。请将其转换为 png 格式。,上傳的檔案並不符合已知圖像格式。請嘗試將檔案轉成 PNG 檔。
Studio.GameSettings.General.ErrorNoDevices,You must select at least one playable device.,Du musst mindestens ein spielfähiges Gerät auswählen.,You must select at least one playable device.,Debes seleccionar por lo menos un dispositivo compatible.,Vous devez sélectionner au moins un appareil utilisable.,プレイ可能なデバイスを少なくとも一種類、選択する必要があります。,플레이 가능한 기기를 최소 1개 선택해야 합니다.,Você deve selecionar ao menos um dispositivo jogável.,Выберите устройство для воспроизведения.,你必须选择至少一种可玩设备。,你必须选择至少一种可玩设备。,你至少必須選擇一種可玩裝置。
Studio.GameSettings.General.TitleAvatarType,Avatar Type,Avatar-Art,Avatar Type,Tipo de avatar,Type d'avatar,アバタータイプ,아바타 유형,Tipo de avatar,Тип аватара,虚拟形象类型,虚拟形象类型,虛擬人偶類型
Studio.GameSettings.General.TitleAnimation,Animation,Animation,Animation,Animación,Animation,アニメーション,애니메이션,Animação,Анимация,动画,动画,動畫
Studio.GameSettings.General.TitleCollision,Collision,Kollision,Collision,Colisión,Collision,衝突,충돌,Colisão,Столкновение,碰撞,碰撞,碰撞
Studio.GameSettings.General.TitleScale,Scale,Größenverhältnis,Scale,Escalado,Échelle,スケール,크기 조정,Dimensionar,Масштаб,调整,调整,比例
Studio.GameSettings.General.TitleBodyParts,Body Parts,Körperteile,Body Parts,Partes del cuerpo,Parties du corps,体のパーツ,신체 부위,Partes do corpo,Части тела,身体部件,身体部件,身體零件
Studio.GameSettings.General.AutoTextCaptureTitle,Automatic Text Capture, ,Automatic Text Capture,Captura automática del texto,Capture automatique du texte,自動テキスト抽出,자동 텍스트 캡처,Captura automática de texto, ,自动文本抓取,自动文本抓取,自動文字擷取
Studio.GameSettings.General.ErrorDevSubInvalidPrice,Must be a valid positive integer, ,Must be a valid positive integer,Debe ser un número positivo válido,Doit être un nombre entier positif valide,正の整数であることが必須です,유효한 양수 정수여야 합니다,Deve ser uma integral positiva válida,Должно быть положительным целым числом,必须是有效的正整数,必须是有效的正整数,必須為有效正整數
Studio.GameSettings.General.TitleClothing,Clothing,Kleidung,Clothing,Ropa,Vêtements,服装,복장,Roupas,Одежда,服装,服装,服裝
