Studio.App.DraggerModeSettings.DragMode,The title for the setting that toggles current dragging mode of the select action (it toggles between Geometric and Physical),Drag Mode,Drag Mode
Studio.App.DumpQtitanVisualHierarchyToLog,,Dump Visual Qtitan Hierarchy To Log,Dump Visual Qtitan Hierarchy To Log
Studio.App.EntityProperties.NetworkFailedOperation,,"Operation failed. Please check your network connection and try again. If the error persists, contact Customer Support","Operation failed. Please check your network connection and try again. If the error persists, contact Customer Support"
Studio.App.Error.Publishing.Dependancies,,Error publishing asset dependancies,Error publishing asset dependancies
Studio.App.ExceptionPopup.Title,Appears when an exception paused execution in the debugger,Exception Hit,Exception Hit
Studio.App.ExplorerFilterPicker.Properties,,Properties,Properties
Studio.App.ExplorerFilterPicker.Reference,The header for the syntax guide wiki article--reference as in a source of information.,Reference,Reference
Studio.App.ExplorerFilterPicker.SyntaxGuide,,Syntax Guide,Syntax Guide
Studio.App.FBXMeshImporter.ContainsRiggingData,Warning message that displays if a user tries to import a 3D mesh that contains animation data.,Animation data detected! Studio does not support animation data. You may experience issues if the mesh is dependent on the initial position of the animation data.,Animation data detected! Studio does not support animation data. You may experience issues if the mesh is dependent on the initial position of the animation data.
Studio.App.FBXMeshImporter.MeshHasNoVertices,Error message that displays if a user tries to import a 3D mesh that has no vertices.,Your mesh has no vertices! Please check the validity of your mesh and try again.,Your mesh has no vertices! Please check the validity of your mesh and try again.
Studio.App.FBXMeshImporter.MeshHasTooManyTriangles2,"Error message that displays if a user tries to import a 3D mesh that has too many faces (aka triangles). First argument is the max limit of triangles, second argument is the amount of triangles that were in the uploaded mesh.",Your mesh has too many triangles! Limit is %1. Your mesh has %2.,Your mesh has too many triangles! Limit is %1. Your mesh has %2.
Studio.App.FBXMeshImporter.MultipleMeshes,"Warning message that appears if a user tries to import a 3D mesh file that contains multiple meshes. Studio reacts to this by joining the meshes together, but this could mess up the textures of the mesh.","Multiple meshes detected! The meshes were joined together, and textures may now be incorrect.","Multiple meshes detected! The meshes were joined together, and textures may now be incorrect."
Studio.App.FBXMeshImporter.MultipleTextures,"Warning message that appears if a user tries to import a 3D mesh that contains multiple textures. Studio only allows one of these textures, but this may result in the texture not looking correct.",Multiple textures detected! We only allow one texture per MeshPart which may now result in the mesh texture not looking correct.,Multiple textures detected! We only allow one texture per MeshPart which may now result in the mesh texture not looking correct.
Studio.App.FBXMeshImporter.UnexpectedFileType,Error message that appears if the user tries to import a 3D FBX mesh that is not properly formatted.,Your file does not seem to contain a FBX mesh! Make sure the file extension is correct.,Your file does not seem to contain a FBX mesh! Make sure the file extension is correct.
Studio.App.FileSyncService.CanOnlyAddFolderOrScript,,Can only add Folder or Script.,Can only add Folder or Script.
Studio.App.FileSyncService.CanOnlyAddSupportedClass,,"Can only add Folder, Script, LocalScript, ModuleScript or StringValue.","Can only add Folder, Script, LocalScript, ModuleScript or StringValue."
Studio.App.FileSyncService.CanOnlyParentToFolder,,Can only parent to Folder.,Can only parent to Folder.
Studio.App.FileSyncService.FileNameIsInvalid,,File name is invalid.,File name is invalid.
Studio.App.FileSyncService.Info,,Info,Info
Studio.App.FileSyncService.InstanceAlreadyExists,,Instance already exists.,Instance already exists.
Studio.App.FileSyncService.UnknownError,,Unknown Error.,Unknown Error.
Studio.App.FindDialog.FindCount2,,%1 of %2,%1 of %2
Studio.App.FindDialog.LineNumber1,,Line number (1-%1):,Line number (1-%1):
Studio.App.FindReplaceController.AreYouSureYouWantToReplaceAll,,"Are you sure you want to replace all? 
This action cannot be undone.","Are you sure you want to replace all? 
This action cannot be undone."
Studio.App.FindReplaceController.FindAllReplaceAll,,Find All / Replace All,Find All / Replace All
Studio.App.FindReplaceController.FindReplaceWindow,,Find/Replace Window,Find/Replace Window
Studio.App.FindReplaceOpenAndLockScriptsDialog.LockingScriptsElps,,Locking Scripts...,Locking Scripts...
Studio.App.FindReplaceOpenLockedScriptsDialog.Editor,,Editor,Editor
Studio.App.FindReplaceOpenLockedScriptsDialog.Script,,Script,Script
Studio.App.FindReplaceOpenLockedScriptsDialog.StringCouldNotBeReplacedInAllScripts,,String could not be replaced in all scripts.,String could not be replaced in all scripts.
Studio.App.FindReplaceOpenLockedScriptsDialog.UnableToReplaceAll,,"Unable to replace all while one or more Scripts are being blocked by other users. 
Try again when all scripts are unlocked.","Unable to replace all while one or more Scripts are being blocked by other users. 
Try again when all scripts are unlocked."
Studio.App.FindReplaceOpenLockedScriptsDialog.UnableToReplaceWhileScriptsBlocked,,"Unable to replace while one or more Scripts are being blocked by other users. 
Try again when all scripts are unlocked.","Unable to replace while one or more Scripts are being blocked by other users. 
Try again when all scripts are unlocked."
Studio.App.FindReplaceWindow.AllScripts,,All Scripts,All Scripts
Studio.App.FindReplaceWindow.NoResults,,No Results Found,No Results Found
Studio.App.FindReplaceWindow.OneResultOneFile,,1 result in 1 file,1 result in 1 file
Studio.App.FindReplaceWindow.ResultsOneFile1,,%1 results in 1 file,%1 results in 1 file
Studio.App.FindReplaceWindow.ResultsPerFile2,,%1 results in %2 files,%1 results in %2 files
Studio.App.FindReplaceWindow.WhereToLook,,Where to look,Where to look
Studio.App.FlagEditor.OfferRestart,,You must restart Studio for fast flag changes to take effect.,You must restart Studio for fast flag changes to take effect.
Studio.App.FlagEditor.OfferRestartTitle,,Overrides Saved,Overrides Saved
Studio.App.Foobar.Footest,,FooBarFooBarTest,FooBarFooBarTest
Studio.App.ForceResetLayoutSettingsBody,,"An unexpected problem has occurred with the docking layout. The current layout will be reset and Studio must be restarted.
We are investigating this issue further and apologize for the inconvenience.","An unexpected problem has occurred with the docking layout. The current layout will be reset and Studio must be restarted.
We are investigating this issue further and apologize for the inconvenience."
Studio.App.ForceResetLayoutSettingsTitle,,Dock Layout Error,Dock Layout Error
Studio.App.GUAC.FailedToFetch,,Web request to load GUAC policies failed. The backend UniversalAppConfiguration service may be down.,Web request to load GUAC policies failed. The backend UniversalAppConfiguration service may be down.
Studio.App.GUAC.UserFriendlyFailedToFetch,Show user some error message in the case of no internet during startup.,No internet connection. Check your network and try opening Studio again.,No internet connection. Check your network and try opening Studio again.
Studio.App.GUAC.UserFriendlyFailedToFetch1,main,Failed to load settings with %s. Please restart Studio or contact support if the problem persists.,Failed to load settings with %s. Please restart Studio or contact support if the problem persists.
Studio.App.GameGridViewWithHeader.Owner,,Owner:,Owner:
Studio.App.GameGridViewWithHeader.Refresh,,Refresh,Refresh
Studio.App.GameGridViewWithHeader.Sort,,Sort:,Sort:
Studio.App.GameWidget.Draft,,Draft,Draft
Studio.App.GameWidget.ExperienceAgeRestricted,Title for column inicating if place is restricted to 17+ aged users.,Ages 17+,Ages 17+
Studio.App.GameWidget.LocalFile,,Local File,Local File
Studio.App.GameWidget.Private,,Private,Private
Studio.App.GameWidget.Public,,Public,Public
Studio.App.GameWidget.TemplateHasInstruction,,This template contains instructions about how to get started in Studio,This template contains instructions about how to get started in Studio
Studio.App.GeneralCmd.HELP,,Command Help,Command Help
Studio.App.GeneralCmd.HELPTooltip,,List all commands with optional filtering,List all commands with optional filtering
Studio.App.GeneralCmd.REPEAT,,Repeat Command,Repeat Command
Studio.App.GeneralCmd.REPEATTooltip,,Repeat a command in the command history some number of times,Repeat a command in the command history some number of times
Studio.App.GenericResourceController.RemovingGameAsset,,Removing game asset(s),Removing game asset(s)
Studio.App.GoToLineDialog.LineNumber,,Line number:,Line number:
Studio.App.GradientEditor.Time,,Time,Time
Studio.App.Help.OpenDeveloperForumUrl,Launches Developer Forum URL,Developer Forum,Developer Forum
Studio.App.Help.OpenDocumentationUrl,Launches documentation DevHub URL,Documentation,Documentation
Studio.App.Help.OpenTutorialsUrl,Launches tutorials DevHub URL,Tutorials,Tutorials
Studio.App.Help.StartStudioTour,Starts the Studio Tour,Studio Tour,Studio Tour
Studio.App.IDEGameSettingsLinkDefinition.GameSettingsNotAvailable,,Game Settings not available,Game Settings not available
Studio.App.IDEGameSettingsLinkDefinition.OpenGameSettings,,Open Game Settings,Open Game Settings
Studio.App.IDEPermissionsResolutionLinkDefinition.AssetInfo3,,"Name: %1
AssetId: %2
Type: %3","Name: %1
AssetId: %2
Type: %3"
Studio.App.IDEPermissionsResolutionLinkDefinition.ExperienceSuccessMessage1,Message that's output after user sucessfully grants their experience permission to use asset,Successfully granted the experience permission to use asset %1,Successfully granted the experience permission to use asset %1
Studio.App.IDEPermissionsResolutionLinkDefinition.FailureMessage1,Message that's output after user fails to grant their universe permission to use asset,Failed to grant Universe permission to use asset %1,Failed to grant Universe permission to use asset %1
Studio.App.IDEPermissionsResolutionLinkDefinition.LoadingElps,,Loading...,Loading...
Studio.App.IDEPermissionsResolutionLinkDefinition.OpenPermissionsResolution,,Open Permissions Resolution,Open Permissions Resolution
Studio.App.IDEPermissionsResolutionLinkDefinition.PermissionsResolutionNotAvailable,,Permissions Resolution not available,Permissions Resolution not available
Studio.App.IDEPermissionsResolutionLinkDefinition.SuccessMessage1,Message that's output after user sucessfully grants their universe permission to use asset,Successfully granted Universe permission to use asset %1,Successfully granted Universe permission to use asset %1
Studio.App.IDEScriptLinkDefinition.MalformedLink,,Malformed link,Malformed link
Studio.App.IDEScriptLinkDefinition.SourceNotAvailable,,Source not available,Source not available
Studio.App.ImagePickerWidget.AddImageElps,,Add Image...,Add Image...
Studio.App.ImageResourceController.ImagesReferencedByName,,"Images are referenced by name, so any references to this image will fail to load. Are you sure you want to remove it?","Images are referenced by name, so any references to this image will fail to load. Are you sure you want to remove it?"
Studio.App.InsertObject.MultipleSelectionError,,InsertObject: Cannot do insert object when there are multiple selections. Please make sure you select a valid target object.,InsertObject: Cannot do insert object when there are multiple selections. Please make sure you select a valid target object.
Studio.App.InsertObject.SearchObject1,,Search object %1,Search object %1
Studio.App.InsertObjectUtils.CannotBeChildOf,,%s cannot be a child of %s,%s cannot be a child of %s
Studio.App.InsertObjectWidget.EmptyFrequentlyUsedList,,Objects are not usually inserted under this parent.,Objects are not usually inserted under this parent.
Studio.App.InsertObjectWidget.ExpandTooltip,,Toggle expanded view,Toggle expanded view
Studio.App.InsertObjectWidget.FavoritesCategory,,Frequently Used,Frequently Used
Studio.App.InsertObjectWidget.NoResultsFound,,No Results Found,No Results Found
Studio.App.InsertObjectWidget.SeeAllButton,,See All,See All
Studio.App.InsertObjectWidget.SelectInsertedObject,,Select object after insert,Select object after insert
Studio.App.InsertObjectWidget.ShowRecommendedOnly,,Show only recommended objects,Show only recommended objects
Studio.App.InsertObjectWidget.UnpreferredObjectTooltip,,This object does not make sense under the currently selected parent.,This object does not make sense under the currently selected parent.
Studio.App.InsertServiceAction.DEPRECATEDHideService,,Hide Service in Explorer,Hide Service in Explorer
Studio.App.InsertServiceAction.DEPRECATEDShowServicesElps,,Show Services...,Show Services...
Studio.App.InsertServiceAction.HideService,,Hide Service in Explorer,Hide Service in Explorer
Studio.App.InsertServiceAction.ShowServicesElps,,Show Services...,Show Services...
Studio.App.InsertServiceDialog.Done,,Done,Done
Studio.App.InsertServiceDialog.InsertService,,Insert Service,Insert Service
Studio.App.InstanceSelectionEditor.ClearValue,,Clear Value,Clear Value
Studio.App.InstanceSelectionEditor.SelectValue,,Select Value,Select Value
Studio.App.LinkedSourceMigrator.Description,,"LinkedSources are being deprecated, do you want to convert them?","LinkedSources are being deprecated, do you want to convert them?"
Studio.App.LinkedSourceMigrator.Details,,These LinkedSource scripts will be converted to embedded scripts:,These LinkedSource scripts will be converted to embedded scripts:
Studio.App.LinkedSourceMigrator.FailedDescription,,"These LinkedSources failed to load and have not been migrated, please try again later:","These LinkedSources failed to load and have not been migrated, please try again later:"
Studio.App.LinkedSourceMigrator.MigrateButton,,Convert,Convert
Studio.App.LinkedSourceMigrator.Title,,LinkedSource Migrator,LinkedSource Migrator
Studio.App.LocalizationPlugin.CSVEmpty,,LocalizationTable:EncodeCSV returned empty string,LocalizationTable:EncodeCSV returned empty string
Studio.App.LocalizationPlugin.CouldNotFindLocalizationService,,Could not find LocalizationService,Could not find LocalizationService
Studio.App.LocalizationPlugin.CouldntOpenFile1,,Couldn't open file %1,Couldn't open file %1
Studio.App.LocalizationPlugin.ErrorReading1Csv2,,Error reading %1.csv: %2,Error reading %1.csv: %2
Studio.App.LocalizationPlugin.ErrorWritingToFile1,,Error writing to file %1,Error writing to file %1
Studio.App.LocalizationPlugin.NoFileSelected,,No file selected,No file selected
Studio.App.LockedScriptsCommitProgressDialog.CommittingStatus,,Applying edits...,Applying edits...
Studio.App.LockedScriptsCommitProgressDialog.FailedStatus,,Failed,Failed
Studio.App.LockedScriptsCommitProgressDialog.Label,,Applying edits from the following scripts,Applying edits from the following scripts
Studio.App.LockedScriptsCommitProgressDialog.ScriptNameColumn,,Script Name,Script Name
Studio.App.LockedScriptsCommitProgressDialog.ScriptStatusColumn,,Status,Status
Studio.App.LockedScriptsCommitProgressDialog.Title,,Apply Edits Progress,Apply Edits Progress
Studio.App.LockedScriptsVersionHistory.ApplyEditsRejectedTitle,,Script Apply Edits Failure,Script Apply Edits Failure
Studio.App.LockedScriptsVersionHistory.ApplyingEditsBatchNotification1,,Applying edits from %1 scripts...,Applying edits from %1 scripts...
Studio.App.LockedScriptsVersionHistory.ApplyingEditsBatchNotification2,,Applying edits from %1 and %2 more scripts...,Applying edits from %1 and %2 more scripts...
Studio.App.LockedScriptsVersionHistory.ApplyingEditsNotification1,,Applying edits from %1...,Applying edits from %1...
Studio.App.LockedScriptsVersionHistory.ApplyingEditsOnPlaceClose,,Applying script changes. Studio will close automatically when complete,Applying script changes. Studio will close automatically when complete
Studio.App.LockedScriptsVersionHistory.AutoGeneratedCommitFmt1,,Applied edits to %1 script(s),Applied edits to %1 script(s)
Studio.App.LockedScriptsVersionHistory.CommitRejected,,"Some of the scripts cannot be saved.
Please check their status.","Some of the scripts cannot be saved.
Please check their status."
Studio.App.LockedScriptsVersionHistory.CommitRejectedInProgress,,"Server rejected apply edits.
Someone else is saving changes.","Server rejected apply edits.
Someone else is saving changes."
Studio.App.LockedScriptsVersionHistory.CommitRejectedInternalError,,"Server rejected apply edits due to internal error.
Please try again later","Server rejected apply edits due to internal error.
Please try again later"
Studio.App.LoginPage.LoadingStudioElps,,Loading Studio...,Loading Studio...
Studio.App.LoginPage.LoggingInElps,,Logging in...,Logging in...
Studio.App.LoginPage.LoggingOutElps,,Logging out...,Logging out...
Studio.App.LoginPage.StartCreatingOwnGames,,Start creating your own experiences!,Start creating your own experiences!
Studio.App.LoginPage.StudioVersion1,,Roblox Studio Version %1,Roblox Studio Version %1
Studio.App.LoginPageDocumentPanel.LoginPage,,Login Page,Login Page
Studio.App.MLCodeAssistanceController.EmptyCodeSuggestionReceived,,Empty code suggestion received.,Empty code suggestion received.
Studio.App.MLCodeAssistanceController.InsufficientLinesPrompt,,"Code Assist can save you time!
Start by writing some code to set the context, and you will get suggestions when you stop typing.","Code Assist can save you time!
Start by writing some code to set the context, and you will get suggestions when you stop typing."
Studio.App.MLCodeAssistanceController.InsufficientLinesPromptShortcutFmt1,,You can also use %1 at any time to request a suggestion.,You can also use %1 at any time to request a suggestion.
Studio.App.MLCodeAssistanceController.NoCodeSuggestionReceived,,No code suggestion received.,No code suggestion received.
Studio.App.ManageEmulationDeviceDialog.CloneDevice,,Clone Device,Clone Device
Studio.App.ManageEmulationDeviceDialog.EmulationDeviceManager,,Emulation Device Manager,Emulation Device Manager
Studio.App.ManageEmulationDeviceDialog.NewDevicePrefix,,newDevice,newDevice
Studio.App.MeshImportOptionsDialog.ApplyAll,,Apply All,Apply All
Studio.App.MeshImportOptionsDialog.FileCount2,,%1 of %2 files,%1 of %2 files
Studio.App.MeshImportOptionsDialog.ImportFileAsSingleMesh,,Import file as single mesh,Import file as single mesh
Studio.App.MeshImportOptionsDialog.MeshImportOptions,,Mesh Import Options,Mesh Import Options
Studio.App.MeshImportOptionsDialog.NoFilesAvailable,,No files available,No files available
Studio.App.MeshImportOptionsDialog.RescaleIfTooLarge,,Rescale if too large,Rescale if too large
Studio.App.MeshImportOptionsDialog.ReverseInwardPointingMeshNormals,,Reverse inward-pointing mesh normals,Reverse inward-pointing mesh normals
Studio.App.MeshPartLOD.FidelityWarning1,MeshPart renderFidelity property selector,Failed to change renderFidelity for asset id %1,Failed to change renderFidelity for asset id %1
Studio.App.MeshPartLOD.Info1,MeshPart renderFidelity property selector,Finished simplifying %1 mesh parts,Finished simplifying %1 mesh parts
Studio.App.MeshPartLOD.NotEnoughFacesInfo1,MeshPart renderFidelity property selector,Asset id %1 has too few triangles for renderFidelity to be set to Automatic or Performance,Asset id %1 has too few triangles for renderFidelity to be set to Automatic or Performance
Studio.App.MeshPartLOD.RenderFidelityWarning1,MeshPart renderFidelity property selector,Failed to change renderFidelity for asset id %1,Failed to change renderFidelity for asset id %1
Studio.App.MeshPartLOD.Warning1,MeshPart renderFidelity property selector,Mesh Publish failure for asset id %1,Mesh Publish failure for asset id %1
Studio.App.MeshPartLODNotification.Dismiss,MeshPart renderFidelity property selector,Do not show again,Do not show again
Studio.App.MeshPartLODNotification.Message,MeshPart renderFidelity property selector,RenderFidelity was set to Automatic or Performance. This may require the asset to go through moderation and create a new assetId.,RenderFidelity was set to Automatic or Performance. This may require the asset to go through moderation and create a new assetId.
Studio.App.MeshResourceController.MeshReferencedByName,,"Meshes are referenced by name, so any references to this mesh will fail to load. Are you sure you want to remove it?","Meshes are referenced by name, so any references to this mesh will fail to load. Are you sure you want to remove it?"
Studio.App.MeshSplitterDialog.Checked12,,Checked (%1/%2),Checked (%1/%2)
Studio.App.MeshSplitterDialog.FilesCantBeImported,,The following files cannot be imported.,The following files cannot be imported.
Studio.App.MeshSplitterDialog.ImportRemainingFiles,,Import Remaining Files,Import Remaining Files
Studio.App.MeshSplitterDialog.MeshSplittingCheck,,Mesh Splitting Check,Mesh Splitting Check
Studio.App.MeshSplitterDialog.WillBeSplitWarning,,"If a mesh contains multiple assets, it will be split into separate assets.","If a mesh contains multiple assets, it will be split into separate assets."
Studio.App.MeshSplitterImpl.ContainsMoreMeshes,,The mesh file contained more than %1 meshes.,The mesh file contained more than %1 meshes.
Studio.App.MoveGridSettings.MoveGridSize,"The title of the setting for the size (in studs) of the grid that the move action will snap to. Default is 4, but can be fractional (1.2) as well",Move Grid Size,Move Grid Size
Studio.App.MyGamesPage.GamesInvitedToEdit,,"Games that you have
been invited to edit","Games that you have
been invited to edit"
Studio.App.MyGamesPage.GroupGames,,Group Games,Group Games
Studio.App.MyGamesPage.SharedWithMe,,Shared With Me,Shared With Me
Studio.App.MyWatchTreeWidget.DeleteAll,,Delete All,Delete All
Studio.App.MyWatchTreeWidget.DeleteWatch,,Delete Watch,Delete Watch
Studio.App.OSVersionWarning.LearnMore,Appears on a popup that warns users they are using an OS version that will soon no longer be supported. Links to a page with more information.,Learn More,Learn More
Studio.App.OSVersionWarning.MacOS1010,,Beginning in November 2020 we will be discontinuing support for MacOS 10.10. Please upgrade to MacOS 10.11+ to continue to use Roblox Studio.,Beginning in November 2020 we will be discontinuing support for MacOS 10.10. Please upgrade to MacOS 10.11+ to continue to use Roblox Studio.
Studio.App.OSVersionWarning.MacOS109,,Beginning in November 2019 we will be discontinuing support for MacOS 10.9. Please upgrade to MacOS 10.10+ to continue to use Roblox Studio.,Beginning in November 2019 we will be discontinuing support for MacOS 10.9. Please upgrade to MacOS 10.10+ to continue to use Roblox Studio.
Studio.App.ObjectBrowserManager.FailedToOpenObjectBrowser,,"Failed to open Object Browser. Please restart your application and try again. If you continue to encounter this error, please contact customer service.","Failed to open Object Browser. Please restart your application and try again. If you continue to encounter this error, please contact customer service."
Studio.App.OnPublishDialog.BasicSettings,,Basic Settings,Basic Settings
Studio.App.OnPublishDialog.Description,,Description:,Description:
Studio.App.OnPublishDialog.Genre,,Genre:,Genre:
Studio.App.OnPublishDialog.Name,,Name:,Name:
Studio.App.OnPublishDialog.Privacy,,Privacy:,Privacy:
Studio.App.OnPublishDialog.Title,,Publish,Publish
Studio.App.OpenIDEDocErr.CancelledByUser,,User cancels place open.,User cancels place open.
Studio.App.OpenIDEDocErr.CloudEditConnectCancelledByUser,,User cancelled cloud edit connection.,User cancelled cloud edit connection.
Studio.App.OpenIDEDocErr.CloudEditConnectCancelledByUser.Concise,,The connection was cancelled. ,The connection was cancelled. 
Studio.App.OpenIDEDocErr.HTTPCallFailed,,"User unable to open the place. Please check that you are connected to the internet and try again. If you continue to encounter this error, please contact customer service.","User unable to open the place. Please check that you are connected to the internet and try again. If you continue to encounter this error, please contact customer service."
Studio.App.OpenIDEDocErr.HTTPCallFailed.Concise,,Please check that you are connected to the internet and try again. ,Please check that you are connected to the internet and try again. 
Studio.App.OpenIDEDocErr.Others,,"Unable to open the place. Please restart your application and try again. If you continue to encounter this error, please contact customer service.","Unable to open the place. Please restart your application and try again. If you continue to encounter this error, please contact customer service."
Studio.App.OpenIDEDocErr.Others.Concise,,Please restart your application and try again. ,Please restart your application and try again. 
Studio.App.Package.NoChanges,Shows when there are no changes between two package versions,The package has no changes.,The package has no changes.
Studio.App.Package.ShowPackagesDiff1,,Compare %1 Package Versions,Compare %1 Package Versions
Studio.App.Package.Version.Current1,,Version %1 (Current),Version %1 (Current)
Studio.App.Package.Version.Latest1,,Version %1 (Latest),Version %1 (Latest)
Studio.App.Package.Version.Local,,Local Copy,Local Copy
Studio.App.Package.Version1,,Version %1,Version %1
Studio.App.Package.VersionCurrent,,Current,Current
Studio.App.PackageContextMenu.MassUpdatePackage,,Update All,Update All
Studio.App.PackageContextMenu.PackageDetails,,Package Details,Package Details
Studio.App.PackageContextMenu.ShowPackagesDiff,,Compare Package Versions,Compare Package Versions
Studio.App.PackageResourceController.ManagePackage,,Manage Package,Manage Package
Studio.App.PackageResourceController.PackageDetails,,Package Details,Package Details
Studio.App.PackageResourceController.PackageInsertError1,,Game Explorer Package insert error: %1,Game Explorer Package insert error: %1
Studio.App.Parts.Surface,Parts menu,Surface,Surface
Studio.App.Parts.SurfaceTooltip,tooltip,"Pick a surface type, and click on part surfaces to apply","Pick a surface type, and click on part surfaces to apply"
Studio.App.Physics.AeroMeshPleaseWait,Waiting for aerodynamic mesh generation to complete,Please Wait,Please Wait
Studio.App.Physics.ProcessingAeroMeshes,Shown during aerodynamic mesh generation,Processing aerodynamic meshes,Processing aerodynamic meshes
Studio.App.PlaceAnnotations.AddAnnotation,"Enables/disables the comment cursor, allowing the user to place comments in the 3D workspace.",Toggle comment cursor,Toggle comment cursor
Studio.App.PlaceAnnotations.AddAnnotation2,Enables/disables a mouse cursor that allows users to place comments.,Toggle comment cursor,Toggle comment cursor
Studio.App.PlaceAnnotations.AddAnnotationTooltip,Tooltip description for the Add Annotation button.,Toggle the comment cursor to leave comments in the 3D viewport.,Toggle the comment cursor to leave comments in the 3D viewport.
Studio.App.PlaceAnnotations.Toggle,Opens the Place Comments feature.,Comments,Comments
Studio.App.PlaceAnnotations.Toggle2,Toggles visibility of a panel displaying Comments.,Toggle Comments panel,Toggle Comments panel
Studio.App.PlaceAnnotations.ToggleTooltip,Toggle the comment panel to display comment threads.,Toggle the comment panel to display comment threads.,Toggle the comment panel to display comment threads.
Studio.App.PlaceAnnotations.Window,Toggles the Comments window.,Comments,Comments
Studio.App.PlaceResourceController.AddingPlace,,Adding Place...,Adding Place...
Studio.App.PlaceResourceController.CantRemoveStartPlace,,You cannot remove the start place from a game.,You cannot remove the start place from a game.
Studio.App.PlaceResourceController.ErrorWhileAddingPlace,,Error while adding place. See Output window for details.,Error while adding place. See Output window for details.
Studio.App.PlaceResourceController.ThisFunctionalityHasBeenDisabled,,This functionality has been disabled. You can update your start place by doing File > Publish to Roblox As... and selecting the start place.,This functionality has been disabled. You can update your start place by doing File > Publish to Roblox As... and selecting the start place.
Studio.App.PlaceSessionTaskRegister.CreatingDataModel,This message is shown in a dialog while the place is opening,Creating data model...,Creating data model...
Studio.App.PlaceSessionTaskRegister.InitializingPlugins,status message displayed while loading plugins is displayed in a dialog while a place is opening,Initializing plugins...,Initializing plugins...
Studio.App.PlaceSessionTaskRegister.LoadingDataModel,This message is shown in a dialog while the place is opening,Loading data model...,Loading data model...
Studio.App.PlaceSessionTaskRegister.OpenPlaceCancelled,This message is shown in a dialog when the place opening is cancelled,Returning to start page...,Returning to start page...
Studio.App.PlaceSessionTaskRegister.OpenPlaceSuccess,This message is shown in a dialog when the place is opened successfully,Opening Roblox Studio...,Opening Roblox Studio...
Studio.App.PlaceVersionHistory.BetaFeatureDescription,,Enable developers to revert versions in Roblox Studio and provide downloadable history of all versions of a place.,Enable developers to revert versions in Roblox Studio and provide downloadable history of all versions of a place.
Studio.App.PlaceVersionHistory.BetaFeatureTitle,,Place Version History in Studio,Place Version History in Studio
Studio.App.PlaceVersionHistoryDialog.Empty,,No Place Versions found,No Place Versions found
Studio.App.PlaceVersionHistoryDialog.HelpLink,,More information,More information
Studio.App.PlaceVersionHistoryDialog.PublishedColumnTitle,,Published,Published
Studio.App.PlaceVersionHistoryDialog.Tip,,Select a place version to download and open it,Select a place version to download and open it
Studio.App.PlaceVersionHistoryDialog.Title1,Title of dialog to view history for a place. Example: MyPlaceName - Version History,%1 - Version History,%1 - Version History
Studio.App.PlaceVersionHistoryDialog.ViewHistory,,View History,View History
Studio.App.PlaceWebFactory.ErrorGettingMetadataForPlace,,Error getting metadata for related place,Error getting metadata for related place
Studio.App.PlaceWebFactory.UnableToGetPlaceIdFromPlaceMetadata,,Unable to get place id from place metadata,Unable to get place id from place metadata
Studio.App.PlayModifiedScriptController.AlwaysSave,,Always Save,Always Save
Studio.App.PlayModifiedScriptController.FailToApplyChange,,Fail to apply change from play test for %1 because: %2,Fail to apply change from play test for %1 because: %2
Studio.App.PlayModifiedScriptController.FailToFindInstance,,Fail to find script instance to apply,Fail to find script instance to apply
Studio.App.PlayModifiedScriptController.KeepTheseChanges,,You've made script changes while playing.  Would you like to keep these changes?,You've made script changes while playing.  Would you like to keep these changes?
Studio.App.PluginLoader.CloudLoadFailedFmt1,error fetching installed plugins from cloud,Failed to load installed plugins from cloud: %1,Failed to load installed plugins from cloud: %1
Studio.App.PluginLoader.CloudLoadPermissionsFailedFmt1,error fetching plugin permissions from cloud,Failed to load plugin permissions from cloud: %1,Failed to load plugin permissions from cloud: %1
Studio.App.PluginLoader.CloudWriteFailedFmt1,error writing installed plugins to cloud,Failed to write installed plugins to cloud: %1,Failed to write installed plugins to cloud: %1
Studio.App.PluginLoader.CloudWritePermissionsFailedFmt1,error writing plugin permissions to cloud,Failed to write plugin permissions to cloud: %1,Failed to write plugin permissions to cloud: %1
Studio.App.PluginLoader.DownloadFailedFmt1,error downloading plugin,Failed to download plugin: %1,Failed to download plugin: %1
Studio.App.PluginLoader.RefreshingPluginElps,,Refreshing plugin...,Refreshing plugin...
Studio.App.PluginLoader.RefreshingPluginsElps,,Refreshing plugins...,Refreshing plugins...
Studio.App.PluginLoadingDmTaskRegister.LoadingPlugins,status message displayed while loading plugins is displayed in a dialog while a place is opening,Loading plugins...,Loading plugins...
Studio.App.PluginPermissionsDialog.Allow,,Allow,Allow
Studio.App.PluginPermissionsDialog.Deny,,Deny,Deny
Studio.App.PluginPermissionsDialog.HttpDomainPermission,,Allow plugin %1 to access %2?,Allow plugin %1 to access %2?
Studio.App.PluginPermissionsDialog.ScriptInjectionPermission,,Do you want to allow Plugin %1 to manage scripts in your game?,Do you want to allow Plugin %1 to manage scripts in your game?
Studio.App.PluginPermissionsDialog.ScriptInjectionWarning,,"Plugin %1 is attempting to insert or modify scripts in your game. Click Allow to permit all future attempts, or Deny to block. You can edit these settings in Plugin Management.","Plugin %1 is attempting to insert or modify scripts in your game. Click Allow to permit all future attempts, or Deny to block. You can edit these settings in Plugin Management."
