Key,Context,Example,Source,de,en-us,es,es-es,fr,id,it,ja,ko,pt,pt-br,ru,th-th,zh-cn,zh-tw,zh-cjv,pl,vi,tr,ar
InGame.EmotesMenu.EmotesDisabled,,,Emotes are disabled in this experience.,Emotes sind in dieser Experience deaktiviert.,Emotes are disabled in this experience.,Los emotes no están activados para esta experiencia.,Los emotes no están activados para esta experiencia.,Les émoticônes sont désactivées dans cette expérience.,Emote dinonaktifkan di pengalaman virtual ini.,Le emote sono disabilitate in questa esperienza.,このバーチャル空間ではリアクションが無効化されています。,이 체험에서는 감정 표현을 이용할 수 없습니다.,Os emotes estão desabilitados nesta experiência.,Os emotes estão desabilitados nesta experiência.,Выражение эмоций отключено в этом плейсе.,ไม่สามารถใช้ท่าทางได้ในประสบการณ์นี้,此作品已停用动作。,此體驗已停用動作。,此作品已停用动作。,Emotki są wyłączone w tym projekcie.,Biểu Cảm đã bị vô hiệu hóa trong trải nghiệm này.,Bu deneyimde ifadeler devre dışı bırakıldı.,Emotes معطلة في هذه التجربة.
FriendPlayerPrompt.Title.UnfriendPlayer,,,Remove Connection?,Connection entfernen?,Remove Connection?,¿Cancelar amistad?,¿Cancelar amistad?,Ne plus être ami?,Hapus Koneksi?,Vuoi rimuovere il collegamento?,友達解除しますか？,인맥에서 삭제?,Remover amigo?,Remover amigo?,Удалить из друзей?,ต้องการลบคนรู้จักใช่ไหม?,解除好友关系？,是否移除聯絡對象？,解除好友关系？,Usunąć znajomego?,Xóa Người quen?,Etkileşim Ağından Kaldır?,هل ترغب في إزالة جهة التواصل؟
InGame.PlayerList.Players,,,People,Personen,People,Personas,Personas,Participants,Pengguna,Persone,人,회원,Pessoas,Pessoas,Люди,ผู้ใช้,用户,帳號,用户,Osoby,Mọi Người,Kişiler,الأشخاص
InGame.Presence.Label.InGame,,,In Experience,In Experience,In Experience,En la experiencia,En la experiencia,En expérience,Dalam Pengalaman Virtual,Nell'esperienza,バーチャル空間内,체험 이용 중,Em uma experiência,Em uma experiência,В плейсе,ในประสบการณ์,体验中,體驗中,体验中,W projekcie,Trong Trải Nghiệm,Deneyimde,في التجربة
PurchasePromptScript.ERROR_MSG.PURCHASE_DISABLED,,,In-experience purchases are temporarily disabled,In-Experience-Käufe sind derzeit deaktiviert,In-experience purchases are temporarily disabled,Las compras dentro de la experiencia están desactivadas temporalmente,Las compras dentro de la experiencia están desactivadas temporalmente,Les achats en cours d'expérience sont temporairement désactivés,Pembelian dalam pengalaman virtual untuk sementara dinonaktifkan,Gli acquisti in-experience sono temporaneamente disabilitati,バーチャル空間内の購入は一時的に無効になっています。,일시적으로 체험 내 구매를 이용할 수 없습니다,As compras na experiência estão temporariamente desabilitadas,As compras na experiência estão temporariamente desabilitadas,Внутриигровые покупки временно недоступны,การซื้อในประสบการณ์ถูกปิดใช้งานชั่วคราว,作品内购买功能暂时停用,體驗中購買暫時停用,作品内购买功能暂时停用,Zakupy w projekcie zostały tymczasowo wyłączone,Mua hàng trong trải nghiệm tạm thời bị vô hiệu hóa,Deneyim içi satın alımlar geçici olarak devre dışı,عمليات الشراء داخل التجربة معطلة مؤقتًا
GameChat_ChatCommandsTeller_TeamCommand,,,/team <message> or /t <message> : send a team chat to people on your team.,/team <Nachricht> oder /t <Nachricht> : Sendet eine Teamnachricht an Mitglieder deines Teams.,/team <message> or /t <message> : send a team chat to people on your team.,/team <message> o /t <message>: enviar un mensaje de chat a los miembros de tu equipo.,/team <message> o /t <message>: enviar un mensaje de chat a los miembros de tu equipo.,/team <message> ou /t <message> : envoyer un message aux personnes de ton équipe.,/team <message> atau /t <message> : kirim chat tim ke anggota tim kamu.,/team <message> or /t <message> : invia un messaggio chat a tutti i giocatori della tua squadra.,/team <メッセージ> または /t <メッセージ> : 自分のチームメンバーにチームチャットを送る。,/team <메시지> 또는 /t <메시지> : 팀 내 회원에게 팀 채팅 전송.,/team <message> ou /t <message> : enviar um chat de equipe aos membros da sua equipe.,/team <message> ou /t <message> : enviar um chat de equipe aos membros da sua equipe.,/team <message> или /t <message> : отправить групповое сообщение команде.,/team <ข้อความ> หรือ /t <ข้อความ> : ส่งแชททีมไปยังคนในทีมของคุณ,/team <message> 或 /t <message> : 向你的队友发送聊天信息。,/team <訊息> 或 /t <訊息> : 傳送訊息給隊伍中的使用者。,/team <message> 或 /t <message> : 向你的队友发送聊天信息。,"/team <wiadomość> lub /t <wiadomość>: wysłanie wiadomość na czacie zespołu do osób, z którymi jesteś w zespole.",/team <message> hoặc /t <message> : gửi cuộc trò chuyện nhóm đến thành viên nhóm của bạn.,/team <message> veya /t <message>: takımındaki kişilere takım sohbeti gönder.,/team <message> أو /t <message> : لإرسال دردشة فريق لأشخاص معك في الفريق.
GameChat_ChatServiceRunner_SystemChannelWelcomeMessage,,,This channel is for system and experience notifications.,Dieser Kanal ist für System- und Experience-Benachrichtigungen.,This channel is for system and experience notifications.,Este canal es para notificaciones del sistema y de la experiencia.,Este canal es para notificaciones del sistema y de la experiencia.,Ce canal est destiné aux notifications de système et d'expérience.,Channel ini untuk notifikasi sistem dan pengalaman virtual.,Questo canale è per le notifiche dell'esperienza e del sistema.,このチャンネルはシステムとバーチャル空間の通知のためのものです。,이 채널은 시스템 및 체험 알림용입니다.,Este canal é destinado às notificações do sistema e de experiências.,Este canal é destinado às notificações do sistema e de experiências.,Этот канал предназначен для системных и игровых уведомлений.,แชนเนลนี้เป็นแชนเนลสำหรับการแจ้งเตือนของระบบและประสบการณ์,此频道用于发送系统及作品通知。,此頻道為系統及體驗通知專用。,此频道用于发送系统及作品通知。,Ten kanał jest przeznaczony dla powiadomień systemowych i dotyczących projektu.,Kênh này cung cấp các thông báo của hệ thống và trải nghiệm.,"Bu kanal, sistem ve deneyim bildirimleri içindir.",هذه القناة مخصصة لإشعارات النظام والتجربة.
GameChat_GetVersion_Message,,,This experience is running chat version [{RBX_NUMBER}.{RBX_NUMBER}].,Die Chatversion dieser Experience ist [{RBX_NUMBER}.{RBX_NUMBER}].,This experience is running chat version [{RBX_NUMBER}.{RBX_NUMBER}].,Esta experiencia utiliza la versión del chat [{RBX_NUMBER} {RBX_NUMBER}].,Esta experiencia utiliza la versión del chat [{RBX_NUMBER} {RBX_NUMBER}].,Cette expérience utilise la version de chat [{RBX_NUMBER} {RBX_NUMBER}].,Pengalaman virtual ini menjalankan versi chat. [{RBX_NUMBER}.{RBX_NUMBER}].,Questa esperienza usa la versione [{RBX_NUMBER}.{RBX_NUMBER}] della chat.,このバーチャル空間はチャットバージョン [{RBX_NUMBER}.{RBX_NUMBER}] を実行しています。,이 체험은 채팅 버전 [{RBX_NUMBER}.{RBX_NUMBER}](을)를 실행합니다.,Esta experiência está rodando a versão de chat [{RBX_NUMBER}.{RBX_NUMBER}].,Esta experiência está rodando a versão de chat [{RBX_NUMBER}.{RBX_NUMBER}].,Этот плейс поддерживает чат версии [{RBX_NUMBER}.{RBX_NUMBER}].,ประสบการณ์นี้ใช้แชทในเวอร์ชัน [{RBX_NUMBER}.{RBX_NUMBER}],此作品正在运行聊天版本 [{RBX_NUMBER}.{RBX_NUMBER}]。,此體驗正在使用聊天室版本 [{RBX_NUMBER}.{RBX_NUMBER}]。,此作品正在运行聊天版本 [{RBX_NUMBER}.{RBX_NUMBER}]。,Ten projekt obsługuje czat w wersji [{RBX_NUMBER}.{RBX_NUMBER}].,Trải nghiệm này đang chạy phiên bản [{RBX_NUMBER}.{RBX_NUMBER}] của cuộc trò chuyện.,"Bu deneyim, [{RBX_NUMBER}.{RBX_NUMBER}] sohbet sürümünü çalıştırıyor.",تشغيل إصدار الدردشة في التجربة [{RBX_NUMBER}.{RBX_NUMBER}].
GameChat_PrivateMessaging_CannotChat,,,You are not able to chat with this person.,Du kannst mit dieser Person nicht chatten.,You are not able to chat with this person.,No puedes chatear con esta persona.,No puedes chatear con esta persona.,Tu ne peux pas discuter avec cette personne.,Kamu tidak dapat chat dengan pengguna ini.,Non puoi chattare con questo giocatore.,この人とはチャットできません。,이 사람과 채팅할 수 없습니다.,Você não pode participar de chat com esta pessoa.,Você não pode participar de chat com esta pessoa.,Ты не можешь общаться в чате с этим пользователем.,คุณไม่สามารถแชทกับผู้ใช้นี้ได้,你无法与此用户聊天。,您無法與此使用者聊天。,你无法与此用户聊天。,Nie możesz rozmawiać na czacie z tą osobą.,Bạn không trò chuyện được với người này.,Bu kişiyle sohbet edemezsin.,لن تتمكن من الدردشة مع هذا الشخص.
GameChat_FriendChatNotifier_JoinMessage,,,Your connection {RBX_NAME} has joined the experience.,Deine Connection {RBX_NAME} ist der Experience beigetreten.,Your connection {RBX_NAME} has joined the experience.,Tu conexión {RBX_NAME} se unió a la experiencia.,Tu conexión {RBX_NAME} se unió a la experiencia.,Ta connexion {RBX_NAME} a rejoint l’expérience.,Koneksimu {RBX_NAME} telah bergabung ke pengalaman virtual ini.,Il tuo contatto {RBX_NAME} si è unito all'esperienza.,あなたがつながっている {RBX_NAME} がバーチャル空間に参加しました。,내 인맥인 {RBX_NAME} 님이 체험에 입장했어요.,Sua conexão {RBX_NAME} juntou-se à experiência.,Sua conexão {RBX_NAME} juntou-se à experiência.,Твой контакт {RBX_NAME} присоединяется к плейсу.,คนรู้จักของคุณที่ใช้ชื่อ {RBX_NAME} เข้าร่วมประสบการณ์แล้ว,你的朋友“{RBX_NAME}”已加入体验。,你的聯絡對象 {RBX_NAME} 已加入體驗。,你的朋友“{RBX_NAME}”已加入体验。,Twój znajomy ({RBX_NAME}) dołączył do projektu.,Người quen của bạn là {RBX_NAME} đã tham gia trải nghiệm.,Etkileşim ağında bulunan {RBX_NAME} deneyime katıldı.,انضمت جهة تواصلك {RBX_NAME} إلى التجربة.
Authentication.Login.WeChat.AntiAddictionText,,,"Boycott bad experiences, refuse pirated experiences. Be aware of self-defense and being deceived. Visiting experiences is good for your brain, but too much experience visit can harm your health. Manage your time well and enjoy a healthy lifestyle.","Boykottiere schlechte Experiences und lehne Raubkopien ab. Sei dir über Selbstverteidigung und Täuschungsversuche im Klaren. Der Besuch von Experiences ist gut für dein Gehirn, aber zu viel des Guten kann deine Gesundheit beeinträchtigen. Teile dir deine Zeit gut ein und führe einen gesunden Lebensstil.","Boycott bad experiences, refuse pirated experiences. Be aware of self-defense and being deceived. Visiting experiences is good for your brain, but too much experience visit can harm your health. Manage your time well and enjoy a healthy lifestyle.","Boicotea experiencias con contenido inapropiado y di no a la piratería. Protégete y no dejes que te engañen. Visitar experiencias es bueno, pero visitarlas por demasiado tiempo puede perjudicar tu salud. Gestiona bien tu tiempo libre para poder vivir una vida saludable.","Boicotea experiencias con contenido inapropiado y di no a la piratería. Protégete y no dejes que te engañen. Visitar experiencias es bueno, pero visitarlas por demasiado tiempo puede perjudicar tu salud. Gestiona bien tu tiempo libre para poder vivir una vida saludable.","Boycotte les mauvaises expériences, refuse les expériences pirates. Sois conscient de te défendre et d'être déçu. Visiter des expériences est bon pour ton cerveau, mais trop de visites d'expériences peut nuire à ta santé. Gère bien ton temps et adopte un mode de vie sain.","Boikot pengalaman virtual yang tidak baik, tolak pengalaman virtual bajakan. Pahami cara membela diri dan jangan sampai tertipu. Menghabiskan waktu di pengalaman virtual baik untuk otak, tetapi terlalu banyak dapat mengganggu kesehatan. Atur waktumu dengan baik dan nikmati gaya hidup sehat.","Boicotta le brutte esperienze, rifiuta le esperienze piratate. Sii consapevole dell'autodifesa e dell'essere ingannati. Le esperienze di visita fanno bene al cervello, ma troppe visite di esperienza possono danneggiare la tua salute. Gestisci bene il tuo tempo e goditi uno stile di vita sano.",不適切なバーチャル空間には参加しないように心掛け、海賊版は拒否しましょう。自衛意識を高め、騙されないようにしましょう。バーチャル空間を訪問することは脳の働きを高めてくれますが、度がすぎると健康を害する恐れがあります。時間管理をきちんと行い、健康的なライフスタイルをお楽しみください。,"건전하지 않은 체험과 저작권 문제가 있는 체험은 방문하지 마시고, 사기 행위에 연루되지 않도록 스스로를 보호하세요. 이곳에서의 체험은 두뇌 발달에 도움이 되지만, 지나치게 오래 방문하는 것은 건강에 좋지 않습니다. 방문 시간을 잘 조절해서 건강한 생활을 유지하세요.","Boicote experiências ruins, recuse experiências pirateadas. Saiba se defender e lidar com fraudes. Participar de experiências é bom para o cérebro, mas passar tempo demais nelas pode prejudicar sua saúde. Administre bem o seu tempo e desfrute de um estilo de vida saudável.","Boicote experiências ruins, recuse experiências pirateadas. Saiba se defender e lidar com fraudes. Participar de experiências é bom para o cérebro, mas passar tempo demais nelas pode prejudicar sua saúde. Administre bem o seu tempo e desfrute de um estilo de vida saudável.","Не участвуй в плохих и пиратских проектах. Будь начеку, чтобы избежать обмана. Не проводи слишком много времени в сети, это может навредить здоровью. Разумно распределяй своё время и наслаждайся правильным образом жизни.",คว่ำบาตรประสบการณ์แย่ๆ ปฏิเสธประสบการณ์ที่ละเมิดลิขสิทธิ์ รู้จักการป้องกันตัวและระวังไม่ให้ถูกหลอกลวง การเยี่ยมชมประสบการณ์ต่างๆ นั้นดีต่อสมองของคุณ แต่หากเยี่ยมชมหลายประสบการณ์มากเกินไปอาจก่อให้เกิดอันตรายต่อสุขภาพของคุณได้ บริหารเวลาของคุณให้ดีและสนุกกับการใช้ชีวิตแบบเฮลธ์ตี้,抵制不良作品，拒绝盗版作品。注意自我保护，谨防受骗上当。适度娱乐益脑，过度沉迷伤身。合理安排时间，享受健康生活。,抵制劣質與抄襲體驗！玩遊戲有益身心，但過度沉迷會對身體造成影響。控制遊戲時間，享受健康人生！,抵制不良作品，拒绝盗版作品。注意自我保护，谨防受骗上当。适度娱乐益脑，过度沉迷伤身。合理安排时间，享受健康生活。,"Bojkotuj szkodliwe projekty i odmawiaj dołączenia do projektów pirackich. Dbaj o własne bezpieczeństwo i uważaj na oszustwa. Odwiedzanie projektów pozytywnie wpływa na mózg, ale gdy robisz to zbyt często, możesz sobie zaszkodzić. Dobrze zarządzaj czasem i prowadź zdrowy tryb życia.","Tẩy chay trò chơi xấu, không chơi trò chơi bị bẻ khóa. Chú ý để tự bảo vệ mình và không bị lừa. Chơi trò chơi có tác động tốt tới não bộ của bạn nhưng chơi quá nhiều trò chơi có thể ảnh hướng xấu tới sức khỏe của bạn. Hãy quản lý thời gian của bạn hiệu quả và tận hưởng lối sống lành mạnh.","Kötü deneyimleri boykot et ve korsan deneyimlerden kaçın. Kandırılma ve kendini savunma konusunda bilinçli ol. Deneyim ziyaretleri, zihnin için faydalıdır ancak çok fazla deneyim ziyareti, sağlığına zarar verebilir. Zamanını iyi kullan ve sağlıklı bir yaşam tarzı benimsemeye özen göster.",ابتعد عن التجارب السيئة وارفض المشاركة في التجارب المقرصنة. ابقَ متيقظًا واحذر الخداع. إن المشاركة في بعض التجارب مفيدة لعقلك، لكن الإفراط فيها يمكن أن يضر بصحتك. لذلك نوصيك بإدارة وقتك بالمفيد النافع واتباع نمط حياة سليم.
Authentication.Login.Label.WeChatAntiAddictionText,,,"Boycott bad experiences, refuse pirated experiences. Be aware of self-defense and being deceived. Visiting experiences is good for your brain, but too much experience visit can harm your health. Manage your time well and enjoy a healthy lifestyle.","Boykottiere schlechte Experiences und lehne Raubkopien ab. Sei dir über Selbstverteidigung und Täuschungsversuche im Klaren. Der Besuch von Experiences ist gut für dein Gehirn, aber zu viel des Guten kann deine Gesundheit beeinträchtigen. Teile dir deine Zeit gut ein und führe einen gesunden Lebensstil.","Boycott bad experiences, refuse pirated experiences. Be aware of self-defense and being deceived. Visiting experiences is good for your brain, but too much experience visit can harm your health. Manage your time well and enjoy a healthy lifestyle.","Boicotea experiencias con contenido inapropiado y di no a la piratería. Protégete y no dejes que te engañen. Visitar experiencias es bueno, pero visitarlas por demasiado tiempo puede perjudicar tu salud. Gestiona bien tu tiempo libre para poder vivir una vida saludable.","Boicotea experiencias con contenido inapropiado y di no a la piratería. Protégete y no dejes que te engañen. Visitar experiencias es bueno, pero visitarlas por demasiado tiempo puede perjudicar tu salud. Gestiona bien tu tiempo libre para poder vivir una vida saludable.","Boycotte les mauvaises expériences, refuse les expériences pirates. Sois conscient de te défendre et d'être déçu. Visiter des expériences est bon pour ton cerveau, mais trop de visites d'expériences peut nuire à ta santé. Gère bien ton temps et adopte un mode de vie sain.","Boikot pengalaman virtual yang tidak baik, tolak pengalaman virtual bajakan. Pahami cara membela diri dan jangan sampai tertipu. Menghabiskan waktu di pengalaman virtual baik untuk otak, tetapi terlalu banyak dapat mengganggu kesehatan. Atur waktumu dengan baik dan nikmati gaya hidup sehat.","Boicotta le brutte esperienze, rifiuta le esperienze piratate. Sii consapevole dell'autodifesa e dell'essere ingannati. Le esperienze di visita fanno bene al cervello, ma troppe visite di esperienza possono danneggiare la tua salute. Gestisci bene il tuo tempo e goditi uno stile di vita sano.",不適切なバーチャル空間には参加しないように心掛け、海賊版のバーチャル空間は拒否しましょう。自衛意識を高め、騙されないようにしましょう。バーチャル空間を訪問することは脳の働きを高めてくれますが、度がすぎると健康を害する恐れがあります。時間管理をきちんと行い、健康的なライフスタイルをお楽しみください。,"건전하지 않은 체험과 저작권 문제가 있는 체험은 방문하지 마시고, 사기 행위에 연루되지 않도록 스스로를 보호하세요. 이곳에서의 체험은 두뇌 발달에 도움이 되지만, 지나치게 오래 방문하는 것은 건강에 좋지 않습니다. 방문 시간을 잘 조절해서 건강한 생활을 유지하세요.","Boicote experiências ruins, recuse experiências pirateadas. Saiba se defender e lidar com fraudes. Participar de experiências é bom para o cérebro, mas passar tempo demais nelas pode prejudicar sua saúde. Administre bem o seu tempo e desfrute de um estilo de vida saudável.","Boicote experiências ruins, recuse experiências pirateadas. Saiba se defender e lidar com fraudes. Participar de experiências é bom para o cérebro, mas passar tempo demais nelas pode prejudicar sua saúde. Administre bem o seu tempo e desfrute de um estilo de vida saudável.","Не участвуй в плохих и пиратских проектах. Будь начеку, чтобы избежать обмана. Не проводи слишком много времени в сети, это может навредить здоровью. Разумно распределяй своё время и наслаждайся правильным образом жизни.",คว่ำบาตรประสบการณ์แย่ๆ ปฏิเสธประสบการณ์ที่ละเมิดลิขสิทธิ์ รู้จักการป้องกันตัวและระวังไม่ให้ถูกหลอกลวง การเยี่ยมชมประสบการณ์ต่างๆ นั้นดีต่อสมองของคุณ แต่หากเยี่ยมชมหลายประสบการณ์มากเกินไปอาจก่อให้เกิดอันตรายต่อสุขภาพของคุณได้ บริหารเวลาของคุณให้ดีและสนุกกับการใช้ชีวิตแบบเฮลธ์ตี้,抵制不良作品，拒绝盗版作品。注意自我保护，谨防受骗上当。适度娱乐益脑，过度沉迷伤身。合理安排时间，享受健康生活。,抵制劣質與抄襲體驗！玩遊戲有益身心，但過度沉迷會對身體造成影響。控制遊戲時間，享受健康人生！,抵制不良作品，拒绝盗版作品。注意自我保护，谨防受骗上当。适度娱乐益脑，过度沉迷伤身。合理安排时间，享受健康生活。,"Bojkotuj szkodliwe projekty i odmawiaj dołączenia do projektów pirackich. Dbaj o własne bezpieczeństwo i uważaj na oszustwa. Odwiedzanie projektów pozytywnie wpływa na mózg, ale gdy robisz to zbyt często, możesz sobie zaszkodzić. Dobrze zarządzaj czasem i prowadź zdrowy tryb życia.","Tẩy chay trò chơi xấu, không chơi trò chơi bị bẻ khóa. Chú ý để tự bảo vệ mình và không bị lừa. Chơi trò chơi có tác động tốt tới não bộ của bạn nhưng chơi quá nhiều trò chơi có thể ảnh hướng xấu tới sức khỏe của bạn. Hãy quản lý thời gian của bạn hiệu quả và tận hưởng lối sống lành mạnh.","Kötü deneyimleri boykot et ve korsan deneyimlerden kaçın. Kandırılma ve kendini savunma konusunda bilinçli ol. Deneyim ziyaretleri, zihnin için faydalıdır ancak çok fazla deneyim ziyareti, sağlığına zarar verebilir. Zamanını iyi kullan ve sağlıklı bir yaşam tarzı benimsemeye özen göster.",ابتعد عن التجارب السيئة وارفض المشاركة في التجارب المقرصنة. ابقَ متيقظًا واحذر الخداع. إن المشاركة في بعض التجارب مفيدة لعقلك، لكن الإفراط فيها يمكن أن يضر بصحتك. لذلك نوصيك بإدارة وقتك بالمفيد النافع واتباع نمط حياة سليم.
Feature.SettingsHub.Label.NoFriendsScreen,,,Make friends so you can invite them to join you!,Finde Freunde und lade sie zu gemeinsamen Experiences ein!,Make friends so you can invite them to join you!,¡Haz amistades para invitarlas a unirse!,¡Haz amistades para invitarlas a unirse!,Fais-toi des amis pour pouvoir les inviter à te rejoindre !,Bertemanlah agar kamu dapat mengundang mereka untuk bergabung dengan kamu.,Fai amicizia in modo da poterli invitare a unirsi a te!,友達を作って一緒に参加できるように招待しよう！,친구를 사귄 후 초대해 함께 방문하세요!,Faça amizades e convide-as para visitar uma experiência com você!,Faça amizades e convide-as para visitar uma experiência com você!,"Найди друзей, чтобы играть вместе с ними!",หาเพื่อนแล้วเชิญให้เข้าร่วมประสบการณ์ต่างๆ กับคุณ!,认识更多朋友，邀请他们和你一起体验！,結交好友，開始同樂！,认识更多朋友，邀请他们和你一起体验！,"Poznaj znajomych, aby móc zaprosić ich do dołączenia do ciebie!",Kết bạn để bạn có thể mời họ tham gia cùng bạn!,Sana katılmaları için davet edebilmek adına arkadaşlar edin!,أنشئ صداقات لكي تتمكن من دعوتهم للانضمام إليك.
Feature.SettingsHub.Label.RecentPlayed,,,Recently Visited,Kürzlich besucht,Recently Visited,Visitadas recientemente,Visitadas recientemente,Visité récemment,Dikunjungi Baru-Baru Ini,Visitato di recente,最近、訪問したもの,최근 방문,Visitadas recentemente,Visitadas recentemente,Недавно посещённые,เยี่ยมชมล่าสุด,最近访问,最近參訪,最近访问,Ostatnio odwiedzane,Ghé Thăm Gần Đây,Yakın Zamanda Ziyaret Edilen,تمت زيارتها مؤخرًا
InGame.HelpMenu.ConfirmLeaveGame,,,Are you sure you want to leave the experience?,Möchtest du die Experience wirklich verlassen?,Are you sure you want to leave the experience?,¿Quieres salir de la experiencia?,¿Quieres salir de la experiencia?,Es-tu sûr(e) de vouloir quitter l'expérience ?,Kamu yakin ingin keluar dari pengalaman virtual?,Sei sicuro di voler lasciare l'esperienza?,バーチャル空間から退出しますか？,체험에서 정말 나갈까요?,Quer mesmo sair da experiência?,Quer mesmo sair da experiência?,Выйти из плейса?,คุณแน่ใจหรือไม่ว่าคุณต้องการออกจากประสบการณ์นี้?,确定离开？,確定離開體驗？,确定离开？,Czy na pewno chcesz opuścić projekt?,Bạn có chắc muốn rời khỏi trải nghiệm không?,Deneyimden ayrılmak istediğine emin misin?,هل تريد حقًّا مغادرة هذه التجربة؟
PlayerDropDown.UnBlock,,,Unblock,Blockierung aufheben,Unblock,Desbloquear,Desbloquear,Débloquer,Buka Blokir,Sblocca,ブロック解除,차단 해제,Desbloquear,Desbloquear,Разблокировать,เลิกบล็อค,取消屏蔽,解除封鎖,取消屏蔽,Odblokuj,Bỏ Chặn,Engeli Kaldır,إلغاء الحظر
PlayerDropDown.Block,,,Block,Blockieren,Block,Bloquear,Bloquear,Bloquer,Blokir,Blocca,ブロック,차단,Bloquear,Bloquear,Заблокировать,บล็อค,屏蔽,封鎖,屏蔽,Zablokuj,Chặn,Engelle,حظر
Feature.Screentime.Description.HeartbeatConsecutiveFailure,,,Internal Error. Please try login again.,"Interner Fehler. Bitte versuche erneut, dich anzumelden.",Internal Error. Please try login again.,Error interno. Vuelve a iniciar sesión.,Error interno. Vuelve a iniciar sesión.,Erreur interne. Réessayer de se connecter.,Eror Internal. Coba log in lagi.,Errore interno. Si prega di riprovare a fare il login.,内部エラーです。ログインし直してください。,내부 오류입니다. 다시 로그인하세요.,Erro interno. Entre novamente.,Erro interno. Entre novamente.,Внутренняя ошибка. Повтори попытку.,เกิดข้อผิดพลาดภายใน โปรดลองลงชื่อเข้าใช้อีกครั้ง,发生内部错误，请重新登录。,內部錯誤，請嘗試重新登入。,发生内部错误，请重新登录。,Błąd wewnętrzny. Spróbuj zalogować się ponownie.,Lỗi Cục Bộ. Vui lòng thử đăng nhập lại.,İç hata. Lütfen tekrar giriş yapmayı dene.,خطأ داخلي. الرجاء محاولة تسجيل الدخول مجددًا.
Feature.SettingsHub.TouchMovementMode.ClassicThumbstick,,,Classic Thumbstick,Klassischer Thumbstick,Classic Thumbstick,Pulsador dinámico,Pulsador dinámico,Manette classique,Thumbstick Klasik,Thumbstick classico,定番サムスティック,클래식 엄지스틱,Direcional analógico clássico,Direcional analógico clássico,Классический джойстик,ทัมบ์สติกแบบคลาสสิก,经典摇杆,經典搖桿,经典摇杆,Drążek klasyczny,Cần Điều Khiển Cổ Điển,Klasik Kontrol Çubuğu,Classic Thumbstick
Feature.SettingsHub.Action.Unblock,,,Unblock,Blockierung aufheben,Unblock,Desbloquear,Desbloquear,Débloquer,Buka Blokir,Sblocca,ブロック解除,차단 해제,Desbloquear,Desbloquear,Разблокировать,เลิกบล็อค,取消屏蔽,解除封鎖,取消屏蔽,Odblokuj,Bỏ Chặn,Engeli Kaldır,إلغاء الحظر
Feature.SettingsHub.Action.Block,,,Block,Blockieren,Block,Bloquear,Bloquear,Bloquer,Blokir,Blocca,ブロック,차단,Bloquear,Bloquear,Заблокировать,บล็อค,屏蔽,封鎖,屏蔽,Zablokuj,Chặn,Engelle,حظر
Feature.SettingsHub.Heading.BlockUser,,,Block {DisplayName},Blockieren {DisplayName},Block {DisplayName},Bloquear {DisplayName},Bloquear {DisplayName},Bloquer {DisplayName},Blokir {DisplayName},Bloccare {DisplayName},{DisplayName} さんをブロック,{DisplayName}님 차단,Bloquear {DisplayName},Bloquear {DisplayName},Заблокировать {DisplayName},บล็อค {DisplayName},屏蔽 {DisplayName},封鎖 {DisplayName},屏蔽 {DisplayName},Zablokuj użytkownika {DisplayName},Chặn {DisplayName},{DisplayName} adlı kullanıcıyı engelle,حظر {DisplayName}
Feature.SettingsHub.Action.Cancel,,,Cancel,Abbrechen,Cancel,Cancelar,Cancelar,Annuler,Batalkan,Annulla,キャンセル,취소,Cancelar,Cancelar,Отмена,ยกเลิก,取消,取消,取消,Anuluj,Hủy bỏ,İptal Et,إلغاء
