Key,Source,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.PublishPlaceAs.OptInLocations.EmailDialogDescription,Please enter the email where you would like to receive review feedback:,Please enter the email where you would like to receive review feedback:,Introduce el correo electrónico si quieres recibir retroalimentación de la revisión:,Saisir l'adresse e-mail à laquelle tu souhaites recevoir ton retour d'évaluation :,Inserisci l'e-mail sulla quale desideri ricevere il feedback di revisione:,レビューフィードバックを受け取りたいところにメールを入力してください:,검토 피드백을 받을 이메일 주소를 입력하세요:,Digite o e-mail no qual você gostaria de receber o resultado da avaliação:, ,请输入接收审核反馈的电子邮件地址：,请输入接收审核反馈的电子邮件地址：,請輸入要收到審查詳細資料的電子郵件地址：
Studio.PublishPlaceAs.OptInLocations.ErrorEmailNotEqual,The emails you have entered do not match. Please try again.,The emails you have entered do not match. Please try again.,Los correos electrónicos que introduciste no coinciden. Inténtalo de nuevo.,Les adresses e-mail que tu as saisies ne correspondent pas. Réessayer.,Le e-mail inserite non corrispondono. Riprova.,入力したメールアドレスが一致しません。もう一度お試しください。,입력하신 이메일이 일치하지 않습니다. 다시 시도하세요.,Os e-mails fornecidos não conferem. Tente novamente., ,你输入的邮件地址不一致。请重试。,你输入的邮件地址不一致。请重试。,輸入的電子郵件地址不符，請重新嘗試。
Studio.PublishPlaceAs.OptInLocations.EmailAddress,Email address,Email address,Dirección de correo electrónico,Adresse e-mail,Indirizzo e-mail,メールアドレス,이메일 주소,Endereço de e-mail, ,电子邮件地址,电子邮件地址,電子郵件地址
Studio.PublishPlaceAs.OptInLocations.ConfirmEmailAddress,Confirm email address,Confirm email address,Confirmar dirección de correo electrónico,Confirmer l'adresse e-mail,Conferma indirizzo e-mail,メールアドレスの認証,이메일 주소 확인,Confirmar endereço de e-mail, ,确认邮件地址,确认邮件地址,確認電子郵件地址
Studio.PublishPlaceAs.OptInLocations.EmailSubmitFailure,Failed to submit email for review feedback. Opt-In locations have not been updated. Please go to Game Settings to update Opt-In locations.,Failed to submit email for review feedback. Opt-In locations have not been updated. Please go to Game Settings to update Opt-In locations.,No se pudo enviar el correo electrónico para revisar los comentarios. Las ubicaciones de participación no se han actualizado. Ve a Configuración del juego para actualizarlas.,Échec de l'envoi d'e-mail de retour d'évaluation. Les destinations facultatives n'ont pas été mises à jour. Allez dans les paramètres du jeu pour les mettre à jour.,Impossibile inviare l'e-mail per il feedback di revisione. Le località opt-in non sono state aggiornate. Vai su Impostazioni di gioco per aggiornare le località opt-in.,レビューフィードバックのメールを送信できませんでした。オプトイン場所をアップデートできませんでした。ゲーム設定に行って、オプトイン場所をアップデートしてください。,검토 피드백 수신 이메일을 제출하지 못했습니다. 옵트인 위치의 업데이트가 필요합니다. '게임 설정'으로 이동해 옵트인 위치를 업데이트하세요.,Erro ao enviar o e-mail para revisão. Os locais aceitos não foram atualizados. Vá às Configurações de jogo para atualizar os locais aceitos., ,提交审核反馈的电子邮件时出错。加入位置未更新。请前往游戏设置并更新加入位置。,提交审核反馈的电子邮件时出错。加入位置未更新。请前往游戏设置并更新加入位置。,無法送出審查詳細資料電子郵件地址。同意位置並未更新。請前往遊戲設定更新同意位置。
Studio.PublishPlaceAs.Error.GetConfiguration,Error getting universe configuration info.,Error getting universe configuration info.,Error al obtener la información de la configuración del universo,Erreur lors de l'obtention des données de configuration de l'univers.,Errore nel recupero delle informazioni sulla configurazione dell'universo.,ユニバース環境設定情報の取得でエラーが発生。,유니버스 구성 정보를 가져오는 동안 오류가 발생했습니다.,Erro ao obter a informação de configuração universal., ,获取 Universe 配置信息时出错。,获取 Universe 配置信息时出错。,取得宇宙設定資訊時發生錯誤。
Studio.PublishPlaceAs.Error.SetConfiguration,Error setting universe configuration info.,Error setting universe configuration info.,Error al definir la información de la configuración del universo,Erreur lors du paramétrage des données de configuration de l'univers.,Errore nell'impostazione delle informazioni sulla configurazione dell'universo.,ユニバース環境設定情報の設定でエラーが発生。,유니버스 구성 정보를 설정하는 동안 오류가 발생했습니다.,Erro ao definir a informação de configuração do universo., ,设置 Universe 配置信息时出错。,设置 Universe 配置信息时出错。,設定宇宙設定資訊時發生錯誤。
Studio.PublishPlaceAs.Error.SetRootPlaceInfo,Error setting root place info.,Error setting root place info.,Error al definir la información del lugar raíz,Erreur lors du paramétrage des données de l'emplacement racine.,Errore nell'impostazione delle informazioni sulla località radice.,ルートプレース情報の設定でエラーが発生。,루트 플레이스 정보를 설정하는 동안 오류가 발생했습니다.,Erro ao definir a informação do local raiz., ,设置根场景信息时出错。,设置根场景信息时出错。,設定根地點時發生錯誤。
Studio.PublishPlaceAs.Error.ActivatingUniverse,Error activating the universe.,Error activating the universe.,Error al activar el universo,Erreur lors de l'activation de l'univers.,Errore nell'attivazione dell'universo.,ユニバースのアクティブ化でエラーが発生。,유니버스를 활성화하는 동안 오류가 발생했습니다.,Erro ao ativar o universo., ,激活 Universe 时出错。,激活 Universe 时出错。,啟用宇宙時發生錯誤。
Studio.PublishPlaceAs.Error.DeactivatingUniverse,Error deactivating the universe.,Error deactivating the universe.,Error al desactivar el universo,Erreur lors de la désactivation de l'univers.,Errore nella disattivazione dell'universo.,ユニバースの非アクティブ化でエラーが発生。,유니버스를 비활성화하는 동안 오류가 발생했습니다.,Erro ao desativar o universo., ,停止 Universe 时出错。,停止 Universe 时出错。,停用宇宙時發生錯誤。
Studio.PublishPlaceAs.TeamCreate.Title,Team Create,Team Create,Creación en equipo,Création en équipe,Creazione di squadra,チームクリエイト,팀 제작,Criação em equipe, ,组队创作,组队创作,團隊創作
Studio.PublishPlaceAs.TeamCreate.LinkDescription,Enables collaboration and autosave to cloud [link]  ,Enables collaboration and autosave to cloud [link]  ,Activa la colaboración y el guardado automático en la nube [link]  ,Active la collaboration et l'enregistrement automatique sur le cloud [link]  ,Abilita la collaborazione e l'autosalvataggio sul cloud [link]  ,コラボレーションとクラウドへの自動保存を有効化 [link]  ,공동 작업 및 클라우드에 자동 저장 활성화 [link]  ,Ativa a colaboração e salvamento automático na nuvem [link]  , ,启用合作和自动存储到云端 [link],启用合作和自动存储到云端 [link],啟用合作和自動儲存到雲端 [link]
Studio.PublishPlaceAs.General.RollbackToggleDesclinkText,Learn more,Learn more,Aprende más,En savoir plus,Maggiori informazioni,もっと詳しく,더 알아보기,Saiba mais, ,了解更多,了解更多,了解更多
Studio.PublishPlaceAs.TeamCreate.LinkText,Learn more,Learn more,Aprende más,En savoir plus,Maggiori informazioni,もっと詳しく,더 알아보기,Saiba mais, ,了解更多,了解更多,了解更多
Studio.PublishPlaceAs.General.RolloutOptionDefault,Default,Default,Predeterminado,Par défaut,Predefinito,デフォルト,기본값,Padrão, ,默认,默认,預設
Studio.PublishPlaceAs.General.RolloutOption,RolloutOption,RolloutOption,RolloutOption,RolloutOption,RolloutOption,RolloutOption,RolloutOption,RolloutOption, ,RolloutOption,RolloutOption,RolloutOption
Studio.PublishPlaceAs.General.RolloutOptionDefaultDesc,New play sessions will happen on servers with the latest version while existing servers with the old version keeping running until they naturally die out.,New play sessions will happen on servers with the latest version while existing servers with the old version keeping running until they naturally die out.,Las nuevas sesiones de juego se ejecutarán en servidores con la última versión mientras que los servidores existentes con la versión anterior se mantienen funcionando hasta que desaparecen.,Les nouvelles sessions de jeu ont lieu sur les serveurs dotés de la dernière version. Les serveurs qui utilisent toujours l'ancienne version continuent de fonctionner jusqu'à ce que les utilisateurs cessent de les fréquenter.,"Le nuove sessioni di gioco si svolgeranno sui server con la versione più recente, mentre i server con la vecchia versione continueranno a funzionare fin quando non si spegneranno naturalmente.",新しいプレイセッションは最新バージョンのサーバーで行われますが、古いバージョンの既存サーバーは自然に廃止されるまで稼働します。,새로운 플레이 세션은 최신 버전의 서버에서 발생하며 기존 버전의 기존 서버는 자연스럽게 만료될 때까지 계속 실행됩니다.,Novas sessões de jogo ocorrerão nos servidores com a versão mais recente enquanto os servidores existentes mantêm a versão antiga em funcionamento até morrerem naturalmente., ,新的游戏会话会在运行新版本的服务器上启动，运行旧版本的服务器将会持续到所有会话结束。,新的游戏会话会在运行新版本的服务器上启动，运行旧版本的服务器将会持续到所有会话结束。,新的作業會在運行新版本的伺服器上啟動，運行舊版本的伺服器將會持續到所有作業結束為止。
Studio.PublishPlaceAs.General.RollbackToggleTitle,Enable Rollback to Previous Version,Enable Rollback to Previous Version,Activar Rollback a la versión anterior,Activer le retour à la version précédente,Abilita il rollback alla versione precedente,以前のバージョンへのロールバックを有効にする,이전 버전으로 롤백 활성화,Ativar retorno para a versão anterior, ,启用回滚到先前版本,启用回滚到先前版本,啟用回溯到先前版本
Studio.PublishPlaceAs.General.RollbackToggleDesc,Enabling rollback to previous version if the overwrite is rejected [link],Enabling rollback to previous version if the overwrite is rejected [link],Activar la devolución a la versión anterior si se rechaza el reemplazo [link],Activer le retour à la version précédente si le remplacement est rejeté [link],Abilitazione del rollback alla versione precedente se la sovrascrittura viene rifiutata [link],上書きが拒否された場合、以前のバージョンへのロールバックを有効にします [link],덮어쓰기가 거부된 경우 이전 버전으로 롤백 활성화 [link],Permitindo retornos para versão anterior se a substituição for rejeitada [link], ,如果覆盖被拒绝，启用回滚到先前版本 [link],如果覆盖被拒绝，启用回滚到先前版本 [link],在覆寫遭拒時啟用回溯到先前版本 [link]
Studio.PublishPlaceAs.ScreenHeader.PublishManagement,How would you like to release the overwrite to {1} under {2}?,How would you like to release the overwrite to {1} under {2}?,¿Cómo quieres liberar la sobreescritura a {1} bajo {2}?,Comment souhaites-tu publier le remplacement de {1} sous {2} ?,Come desideri pubblicare la sovrascrittura su {1} sotto {2}?,{2} の下の {1} への上書きをリリースしますか？,{2} 아래에 {1} 덮어쓰기를 어떻게 릴리스할까요?,Como você gostaria de liberar a substituição para {1} em {2}?, ,你想如何发布“{2}”下的“{1}”覆盖？,你想如何发布“{2}”下的“{1}”覆盖？,您想如何發布在 {2} 底下的 {1} 覆寫？
Studio.PublishPlaceAs.TcToggleCallout.Title,New! Team Create,New! Team Create,¡Nuevo! Creación en equipo,Nouveau ! Création en équipe,Novità: Creazione di squadra!,新着！チームクリエイト,새로운 기능! 팀 제작,Novo! Criação em equipe, ,新功能！组队创作,新功能！组队创作,新功能！團隊創作
Studio.PublishPlaceAs.TcToggleCallout.Description,Team Create enables collaboration and autosave to cloud!,Team Create enables collaboration and autosave to cloud!,Creación en equipo permite colaborar y guardar automáticamente en la nube.,La création en équipe permet la collaboration et l'enregistrement automatique dans le cloud !,Creazione di squadra abilita la collaborazione e l'autosalvataggio sul cloud [link],チームクリエイトは、共同作業とクラウドへの自動保存を有効化します！,팀 제작을 통해 다른 이들과 공동으로 작업하며 클라우드에 자동으로 저장할 수 있습니다!,A Criação em equipe permite a colaboração e salvamento automático na nuvem!, ,组队创作可以让你与他人合作，并自动存储到云端！,组队创作可以让你与他人合作，并自动存储到云端！,團隊創作可以讓您與他人合作和自動儲存到雲端！
Studio.PublishPlaceAs.Button.AddNewPlaceToGame,Add as a new place,Add as a new place,Añadir como lugar nuevo,Ajouter comme nouveau lieu,Aggiungi come nuova località,新しいプレースとして追加,새 플레이스로 추가,Adicionar como um novo lugar, ,添加为新场景,添加为新场景,新增為新地點
Studio.PublishPlaceAs.ScreenHeader.ChooseGameNew,Choose a game to add this place to,Choose a game to add this place to,Elige un juego al que agregar este lugar,Choisissez un jeu à ajouter à ce lieu,Scegli un gioco a cui aggiungere questa località,このプレースに追加するゲームを選択,이 플레이스를 추가할 게임을 선택하세요,Escolha um jogo para adicionar este local, ,选择此场景要添加至的游戏,选择此场景要添加至的游戏,選擇此地點要新增到的遊戲
