Key,Source,de-de,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.TerrainEditor.EditorEnum.PlaneLock,Plane Lock,Ebenensperre,Plane Lock,Bloqueo de plano,Plan fermé,Blocco piano,平面ロック,평면 고정,Bloquear plano, ,平面锁定,平面锁定,鎖定平面
Studio.TerrainEditor.Brush.SnapToGrid,Snap to Grid,Am Raster ausrichten,Snap to Grid,Alinear a la cuadrícula,Aligner sur la grille,Aderisci a griglia,グリッドに装着,그리드에 맞추기,Ajustar à grade,Привязать к сетке,对齐至栅格,对齐至栅格,貼齊到網格
Studio.TerrainEditor.Brush.Material,Material,Material,Material,Material,Matériau,Materiale,素材,재질,Material,Материал,材质,材质,材質
Studio.TerrainEditor.HeightmapSettings.Material,Material,Material,Material,Material,Matériel, ,素材,재질,Material, ,材质,材质,材質
Studio.TerrainEditor.ImportMode.Material,Material,Material,Material,Material,Matériel, ,素材,재질,Material, ,材质,材质,材質
Studio.TerrainEditor.Brush.Shape,Shape,Form,Shape,Forma,Forme,Forma,形状,셰이프,Formato,Форма,形状,形状,形狀
Studio.TerrainEditor.Regions.EditTools,Edit Tools,Bearbeitungstools,Edit Tools,Herramientas de Edición,Outils d'édition,Strumenti Modifica,編集ツール,편집 도구,Editar ferramentas,Инструменты редактирования,编辑工具,编辑工具,編輯工具
Studio.TerrainEditor.Regions.MergeEmpty,Merge Empty,Leere zusammenführen,Merge Empty,Combinar vacío,Fusionner vides,Unisci vuoto,空白を併合,빈 공간 병합,Mesclar vazios,Объединить пустые области,合并空白,合并空白,合併空位
Studio.TerrainEditor.TransformSettings.MergeEmpty,Merge Empty,Leere zusammenführen,Merge Empty,Combinar vacío,Fusion vide, ,空白を併合,빈 공간 병합,Mesclar vazios, ,合并空白,合并空白,合併空位
Studio.TerrainEditor.Regions.Tools,Tools,Werkzeuge,Tools,Herramientas,Outils,Strumenti,ツール,도구,Ferramentas,Инструменты,工具,工具,工具
Studio.TerrainEditor.BaseTool.Import,Import,Importieren,Import,Importar,Importer,Importa,インポート,가져오기,Importar, ,导入,导入,匯入
Studio.TerrainEditor.BaseTool.RegionImport,Import,Importieren,Import,Importar,Importer,Importa,インポートする,가져오기,Importar, ,导入,导入,匯入
Studio.TerrainEditor.HeightmapSettings.Import,Import,Importieren,Import,Importar,Importer, ,インポート,가져오기,Importar, ,导入,导入,匯入
Studio.TerrainEditor.MainButtons.Import,Import,Importieren,Import,Importar,Importer,Importa,インポート,가져오기,Importar,Импорт,导入,导入,匯入
Studio.TerrainEditor.Operations.ImportName,Import,Importieren,Import,Importar,Importation, ,インポート,가져오기,Importar, ,导入,导入,匯入
Studio.TerrainEditor.MainButtons.ImportTooltip,Import a HeightMap and ColorMap.,Importiere eine HeightMap und ColorMap.,Import a HeightMap and ColorMap.,Importa HeightMap y ColorMap,Importer une HeightMap et une ColorMap.,Importa una HeightMap e una ColorMap.,HeightMap と ColorMapをインポート。,HeightMap과 ColorMap을 가져옵니다.,Importar um HeightMap e ColorMap.,Импортировать HeightMap и ColorMap.,导入 HeightMap 和 ColorMap。,导入 HeightMap 和 ColorMap。,匯入 HeightMap 與 ColorMap。
Studio.TerrainEditor.Categories.SelectionSettings,Selection Settings,Auswahleinstellungen,Selection Settings,Configuración de selección,Paramètres de sélection,Impostazioni selezione,選択設定,선택 항목 설정,Configurações de seleção, ,选择设置,选择设置,選擇設定
Studio.TerrainEditor.FlattenMode.Both,Both,Beides,Both,Ambos,Les deux,Entrambi,両方,양쪽 모두,Ambos, ,两者皆是,两者皆是,兩者
Studio.TerrainEditor.MainButtons.ClearTooltip,Clear all Terrain.,Gesamtes Gelände löschen.,Clear all Terrain.,Eliminar todos los terrenos,Déblayer tout le terrain.,Cancella tutti i terreni.,すべての地形を消す。,모든 지형을 삭제합니다.,Limpar todos os terrenos.,Очистить весь рельеф.,清除所有地形。,清除所有地形。,清除所有地形。
Studio.TerrainEditor.Plugin.Button,Toggle,Umschalten,Toggle,Activar,Activer/désactiver,Attiva/disattiva,切りかえ,토글,Alternador, ,切换,切换,切換
Studio.TerrainEditor.Plugin.Description,Toggles the Template plugin window.,Schaltet das Vorlagen-Plugin-Fenster um.,Toggles the Template plugin window.,Activar la ventana del plugin Plantilla.,Active/désactive la fenêtre du plugin Modèle.,Attiva/Disattiva la finestra del plugin Template.,テンプレートのプラグインウィンドウを切り換え。,템플릿 플러그인 창을 토글합니다.,Alterna a janela do plugin de modelos., ,切换样板插件窗口。,切换样板插件窗口。,切換樣板外掛程式視窗。
Studio.TerrainEditor.Plugin.Text,Example Text!,Beispieltext!,Example Text!,Texto de ejemplo,Exemple de texte !,Testo Di Esempio!,テキストの例！,예시 텍스트!,Texto de exemplo!, ,示例文本！,示例文本！,範例文字！
Studio.TerrainEditor.BaseTool.BrushFlatten,Flatten,Abflachen,Flatten,Aplanar,Aplatir,Appianare,平地化,평탄화,Aplainar, ,扁平化,扁平化,平地化
Studio.TerrainEditor.BaseTool.Flatten,Flatten,Abflachen,Flatten,Aplanar,Aplatir,Appianare,平地化,평탄화,Aplainar, ,扁平化,扁平化,平地化
Studio.TerrainEditor.Materials.CeramicTiles,Ceramic Tiles,Keramikfliesen,Ceramic Tiles,Baldosas de cerámica,Carreaux de céramique, ,セラミックタイル,세라믹 타일,Ladrilhos de cerâmica, ,瓷砖,瓷砖,陶瓷磚塊
Studio.TerrainEditor.BaseTool.BrushSculpt,Sculpt,Formen,Sculpt,Esculpir,Sculpter,Scolpire,彫刻,스컬프팅,Esculpir, ,塑形,塑形,雕塑
Studio.TerrainEditor.BaseTool.Sculpt,Sculpt,Formen,Sculpt,Esculpir,Sculpter,Scolpire,彫刻,조각,Esculpir, ,塑形,塑形,雕刻
Studio.TerrainEditor.BaseTool.Fill,Fill,Füllen,Fill,Llenar,Remplir,Riempi,埋める,채우기,Preencher, ,填充,填充,填滿
Studio.TerrainEditor.BaseTool.RegionFill,Fill,Füllen,Fill,Llenar,Remplir,Riempi,埋める,채우기,Preencher, ,填充,填充,填滿
Studio.TerrainEditor.FillMode.Fill,Fill,Füllen,Fill,Llenar,Remplir, ,埋める,채우기,Preencher, ,填充,填充,填滿
Studio.TerrainEditor.MaterialSettings.Fill,Fill,Füllen,Fill,Llenar,Remplir, ,埋める,채우기,Preencher, ,填充,填充,填滿
Studio.TerrainEditor.Operations.FillName,Fill,Füllen,Fill,Llenar,Remplir, ,埋める,채우기,Preencher, ,填充,填充,填滿
Studio.TerrainEditor.BaseTool.RegionTransform,Transform,Transformieren,Transform,Transformar,Transformer,Trasforma,変換,변환,Transformar, ,转变,转变,變形
Studio.TerrainEditor.BaseTool.Transform,Transform,Transformieren,Transform,Transformar,Transformer,Trasforma,変換,변환,Transformar, ,转变,转变,變形
Studio.TerrainEditor.SelectionSettings.Transform,Transform,Transformieren,Transform,Transformar,Transformer,Trasforma,変換,변환,Transformar, ,转变,转变,轉換
Studio.TerrainEditor.TransformSettings.Transform,Transform,Transformieren,Transform,Transformar,Transformer, ,変換,변환,Transformar, ,转变,转变,轉換
Studio.TerrainEditor.BaseTool.Draw,Draw,Zeichnen,Draw,Dibujar,Dessiner,Disegno,描画,그리기,Desenhar, ,绘制,绘制,繪製
Studio.TerrainEditor.BrushShape.Sphere,Sphere,Kugel,Sphere,Esfera,Sphère,Sfera,球体,구,Esfera, ,球体,球体,球體
Studio.TerrainEditor.BrushShape.Cube,Cube,Würfel,Cube,Cubo,Cube,Cubo,立方体,큐브,Cubo, ,立方体,立方体,立方體
Studio.TerrainEditor.BrushShape.Cylinder,Cylinder,Zylinder,Cylinder,Cilindro,Cylindre,Cilindro,円柱,원통,Cilindro, ,筒体,筒体,圓柱
Studio.TerrainEditor.Biomes.Lavascape,Lavascape,Lavalandschaft,Lavascape,Paisaje de lava,Larve, ,溶岩の景観,용암 지대,Paisagem de lava, ,熔岩景观,熔岩景观,熔岩景觀
Studio.TerrainEditor.FlattenMode.Over,Over,Über,Over,Encima,Au-dessus,Sopra,上,위,Sobre, ,超过,超过,超過
Studio.TerrainEditor.FlattenMode.Under,Under,Unter,Under,Debajo,En dessous de,Sotto,下,아래,Embaixo, ,低于,低于,不足
Studio.TerrainEditor.PluginActions.DeleteText,Delete,Löschen,Delete,Eliminar,Supprimer, ,削除,삭제,Excluir, ,删除,删除,刪除
Studio.TerrainEditor.PivotPosition.Bottom,Bottom,Unten,Bottom,Inferior,Bas,In basso,下,하단,Inferior, ,底部,底部,底
Studio.TerrainEditor.PivotPosition.Center,Center,Mitte,Center,Centro,Centre,Centro,中央,중앙,Centro, ,中央,中央,中央
Studio.TerrainEditor.PivotPosition.Top,Top,Oben,Top,Superior,Haut,Superiore,上,상단,Superior, ,顶部,顶部,頂
Studio.TerrainEditor.PlaneLock.Off,Off,Aus,Off,Desactivado,Off,Off,オフ,끄기,A partir de, ,关闭,关闭,關閉
Studio.TerrainEditor.Snapping.Off,Off,Aus,Off,Desact.,Off, ,オフ,끄기,Desligado, ,关闭,关闭,關閉
Studio.TerrainEditor.PlaneLock.Manual,Manual,Manuell,Manual,Manual,Manuel,Manuale,マニュアル,수동,Manual, ,手动,手动,手動
Studio.TerrainEditor.BrushSettings.BrushMode,Brush Mode,Pinselmodus,Brush Mode,Modo pincel,En mode brosse, ,ブラシモード,브러시 모드,Modo pincel, ,涂刷模式,涂刷模式,筆刷模式
Studio.TerrainEditor.EditorEnum.BrushMode,Brush Mode,Pinselmodus,Brush Mode,Modo Pincel,En mode pinceau,Modalità pennello,ブラシモード,브러시 모드,Modo pincel, ,涂刷模式,涂刷模式,筆刷模式
Studio.TerrainEditor.Materials.CorrodedMetal,Corroded Metal,Verrostetes Metall,Corroded Metal,Metal corroído,Métal corrodé, ,さびた金属,부식된 금속,Metal corroído, ,锈蚀金属,锈蚀金属,腐蝕金屬
Studio.TerrainEditor.BrushSettings.BrushShape,Brush Shape,Pinselform,Brush Shape,Forma del pincel,Forme du pinceau,Forma pennello,ブラシの形状,브러시 모양,Forma de pincel, ,涂刷形状,涂刷形状,筆刷形狀
Studio.TerrainEditor.EditorEnum.BrushShape,Brush Shape,Pinselform,Brush Shape,Forma del pincel,Forme du pinceau,Forma pennello,ブラシの形状,브러시 모양,Forma de pincel, ,涂刷形状,涂刷形状,筆刷形狀
Studio.TerrainEditor.BrushSettings.FlattenMode,Flatten Mode,Abflachungsmodus,Flatten Mode,Modo Aplanado,Mode aplanir,Modalità appiattimento,平地化モード,평탄화 모드,Modo achatar, ,扁平化模式,扁平化模式,平地化模式
Studio.TerrainEditor.EditorEnum.FlattenMode,Flatten Mode,Abflachungsmodus,Flatten Mode,Modo Aplanado,Aplanir le mode,Modalità appiattimento,平地化モード,평탄화 모드,Modo achatar, ,扁平化模式,扁平化模式,平地化模式
Studio.TerrainEditor.Categories.ClearSettings,Clear Settings,Einstellungen löschen,Clear Settings,Borrar configuraciones,Effacer les paramètres, ,設定を消す, ,Limpar as configurações, , , , 
Studio.TerrainEditor.EditorEnum.MaterialMode,Material Mode,Materialmodus,Material Mode,Modo de material,Mode Matériel, ,素材モード,재질 모드,Modo material, ,材质模式,材质模式,材質模式
Studio.TerrainEditor.MaterialSettings.MaterialMode,Material Mode,Materialmodus,Material Mode,Modo de Material,Mode Matériel, ,素材モード,재질 모드,Modo material, ,材质模式,材质模式,材質模式
Studio.TerrainEditor.BrushSettings.BaseHeight,Base Height,Basishöhe,Base Height,Altura de la base,Hauteur de base,Altezza base,ベースの高さ,베이스 높이,Altura base, ,基本高度,基本高度,基礎高度
Studio.TerrainEditor.BrushSettings.BaseSize,Base Size,Basisgröße,Base Size,Tamaño de la base,Taille de base,Dimensione base,ベースのサイズ,베이스 크기,Tamanho base, ,基本尺寸,基本尺寸,基礎尺寸
Studio.TerrainEditor.BrushSettings.FixedPlane,Fixed Plane,Feste Ebene,Fixed Plane,Plano fijo,Plan fixe,Piano fisso,固定平面,고정된 평면,Plano fixo, ,固定平面,固定平面,固定平面
Studio.TerrainEditor.BrushSettings.IgnoreParts,Ignore Parts,Teile ignorieren,Ignore Parts,Omitir piezas,Ignorer les parties,Ignora parti,パーツを無視,파트 무시,Ignorar partes, ,忽略部件,忽略部件,忽略零件
Studio.TerrainEditor.Operations.ImportDescription,Importing voxels to the target transform.,Voxel in die Zieltransformation importieren.,Importing voxels to the target transform.,Importar vóxeles a la transformación de destino.,Importation de voxels vers la transformation cible.,Importazione di voxel nella trasformazione di destinazione.,ターゲット変換にボクセルをインポート。,복셀을 대상 변환으로 가져옵니다.,Importando voxels para a transformação do alvo., ,将体素导入到目标转变。,将体素导入到目标转变。,將體素匯入至目標轉換位置。
Studio.TerrainEditor.BrushSettings.FixedPlanePosition,Plane Position,Ebenenposition,Plane Position,Posición del plano,Position du plan, ,平面の位置,평면 위치,Posição do plano, ,平面位置,平面位置,平面位置
Studio.TerrainEditor.BrushSettings.PlanePosition,Plane Position,Ebenenposition,Plane Position,Posición del plano,Position du plan,Posizione piano,平面の位置,평면 위치,Posição do plano, ,平面位置,平面位置,平面位置
Studio.TerrainEditor.BrushSettings.SnapToVoxels,Snap to Voxels,Auf Voxel einrasten,Snap to Voxels,Alinear a los vóxeles,Accrocher aux Voxels,Aderisci ai voxel,ボクセルに装着,복셀에 맞추기,Ajustar aos voxels, ,贴靠至体素,贴靠至体素,貼齊到體素
Studio.TerrainEditor.SeaLevelSettings.SnapToVoxels,Snap to Voxels,Auf Voxel einrasten,Snap to Voxels,Ajustar a vóxeles,Accrocher aux voxels, ,ボクセルに装着, ,Ajustar aos voxels, , , , 
Studio.TerrainEditor.SelectionSettings.SnapToVoxels,Snap to Voxels,Auf Voxel einrasten,Snap to Voxels,Ajustar a vóxeles,Accrocher aux voxels, ,ボクセルに装着, ,Ajustar aos voxels, , , , 
Studio.TerrainEditor.TransformSettings.SnapToVoxels,Snap to Voxels,Auf Voxel einrasten,Snap to Voxels,Ajustar a vóxeles,Ajuster aux Voxels, ,ボクセルに装着,복셀에 맞추기,Alinhar aos voxels, ,对齐至体素,对齐至体素,貼齊到體素
Studio.TerrainEditor.MaterialSettings.AutoMaterial,Auto Material,Automatisches Material,Auto Material,Material automático,Matériel Auto,Materiale automatico,素材の自動運用,자동 재질,Material automático, ,自动材质,自动材质,自動材質
Studio.TerrainEditor.Operations.MoveName,Move,Verschieben,Move,Mover,Déplacer, ,移動,이동,Mover, ,移动,移动,移動
Studio.TerrainEditor.MaterialSettings.ReplaceMaterial,Replace Material,Material ersetzen,Replace Material,Reemplazar material,Remplacer le matériel,Sostituisci materiale,素材を置き換え,재질 바꾸기,Substituir material, ,替换材质,替换材质,取代材質
Studio.TerrainEditor.MaterialSettings.SourceMaterial,Source Material,Quellmaterial,Source Material,Material de origen,Matériel source,Materiale sorgente,ソース素材,소스 재질,Material de origem, ,来源材质,来源材质,來源材質
Studio.TerrainEditor.BrushSettings.Snapping,Snapping,Einrasten,Snapping,Ajuste,Snapping, ,装着,맞추기,Encaixando, ,对齐,对齐,貼齊
Studio.TerrainEditor.EditorEnum.Snapping,Snapping,Einrasten,Snapping,Ajuste,Snapping, ,装着,맞추기,Encaixando, ,对齐,对齐,貼齊
Studio.TerrainEditor.MaterialSettings.TargetMaterial,Target Material,Zielmaterial,Target Material,Material meta,Matériel cible,Materiale target,対象素材,대상 재질,Material alvo, ,目标材质,目标材质,目標材質
Studio.TerrainEditor.BaseTool.Select,Select,Auswählen,Select,Seleccionar,Sélectionner,Seleziona,選択,선택,Selecionar, ,选择,选择,選擇
Studio.TerrainEditor.SeaLevelSettings.Position,Position,Position,Position,Posición,Position,Posizione,位置,위치,Posição, ,位置,位置,位置
Studio.TerrainEditor.SelectionSettings.Position,Position,Position,Position,Posición,Position,Posizione,位置,위치,Posição, ,位置,位置,位置
Studio.TerrainEditor.TransformSettings.Position,Position,Position,Position,Posición,Position, ,位置,위치,Posição, ,位置,位置,位置
Studio.TerrainEditor.SelectionSettings.Rotation,Rotation,Drehung,Rotation,Rotación,Rotation,Rotazione,回転,회전,Rotação, ,旋转,旋转,旋轉
Studio.TerrainEditor.TransformSettings.Rotation,Rotation,Drehung,Rotation,Rotación,Rotation, ,回転,회전,Rotação, ,旋转,旋转,旋轉
Studio.TerrainEditor.BrushSettings.Apply,Apply,Anwenden,Apply,Aplicar,Appliquer, ,適用する,적용,Aplicar, ,应用,应用,套用
Studio.TerrainEditor.PluginActions.ApplyText,Apply,Anwenden,Apply,Aplicar,Appliquer, ,適用する,적용,Aplicar, ,应用,应用,套用
Studio.TerrainEditor.TransformSettings.Apply,Apply,Anwenden,Apply,Aplicar,Appliquer, ,適用する,적용,Aplicar, ,应用,应用,套用
Studio.TerrainEditor.ImportWarning.Scaling,"Image resolution ({ImageWidth:int}x{ImageHeight:int}) is too low for the target Size values (X {RegionWidth:int}, Z {RegionHeight:int}). For best results, decrease the size or import a new Heightmap.","Die Bildauflösung ({ImageWidth:int}x{ImageHeight:int}) ist zu niedrig für die Zielgrößenwerte (X {RegionWidth:int}, Z {RegionHeight:int}). Die besten Ergebnisse erzielst du, wenn du die Größe verringerst oder eine neue Heightmap importierst.","Image resolution ({ImageWidth:int}x{ImageHeight:int}) is too low for the target Size values (X {RegionWidth:int}, Z {RegionHeight:int}). For best results, decrease the size or import a new Heightmap.","La resolución de la imagen ({ImageWidth:int}x{ImageHeight:int}) es demasiada baja para los valores meta de Tamaño (X {RegionWidth:int}, Z {RegionHeight:int}). Para obtener mejores resultados, disminuye el tamaño o importa un nuevo Heightmap.","La résolution de l'image ({ImageWidth:int}x{ImageHeight:int}) est trop faible pour les valeurs de la Taille de la cible (X {RegionWidth:int}, Z {RegionHeight:int}). Pour de meilleurs résultats, diminue la taille ou importez une nouvelle Heightmap.", ,画像の解像度 ({ImageWidth:int}x{ImageHeight:int}) は、ターゲットサイズ値 (X {RegionWidth:int}、 Z {RegionHeight:int}) と比べて低すぎます。理想的な結果を出すには、サイズを小さくするか新しい Heightmap をインポートしてください。,"이미지 해상도({ImageWidth:int}x{ImageHeight:int})가 대상 크기 값(X {RegionWidth:int}, Z {RegionHeight:int})에 비해 너무 낮습니다. 최상의 결과를 얻으려면 크기를 줄이거나 새 Heightmap을 가져오세요.","A resolução da imagem ({ImageWidth:int}x{ImageHeight:int}) é baixa demais para os valores de tamanho alvo (X {RegionWidth:int}, Z {RegionHeight:int}). Para melhores resultados, diminua o tamanho ou importe um novo mapa de altura.", ,"图片分辨率 ({ImageWidth:int}x{ImageHeight:int}) 对于目标“尺寸”值 (X {RegionWidth:int}, Z {RegionHeight:int})来说过低。要获得最佳效果，请减小尺寸或导入新的 Heightmap。","图片分辨率 ({ImageWidth:int}x{ImageHeight:int}) 对于目标“尺寸”值 (X {RegionWidth:int}, Z {RegionHeight:int})来说过低。要获得最佳效果，请减小尺寸或导入新的 Heightmap。","圖像解析度 ({ImageWidth:int}x{ImageHeight:int}) 對於目標大小值 (X {RegionWidth:int}, Z {RegionHeight:int}) 過低。為確保最佳效果，請縮小或匯入新的 Heightmap。"
Studio.TerrainEditor.TransformSettings.LiveEdit,Live Edit,Live-Bearbeitung,Live Edit,Edición en vivo,Modifier en direct, ,ライブ編集,라이브 편집,Editar ao vivo, ,实时编辑,实时编辑,即時編輯
Studio.TerrainEditor.Categories.TransformSettings,Transform Settings,Transformationseinstellungen,Transform Settings,Configuración de transformación,Paramètres de transformation, ,設定を変換,변환 설정,Configurações de transformação, ,转变设置,转变设置,轉換設定
Studio.TerrainEditor.PluginActions.EditPlaneStatusTip,Edit/apply plane when using plane lock in manual mode,"Ebene bearbeiten/anwenden, wenn du die Ebenensperre im manuellen Modus verwendest",Edit/apply plane when using plane lock in manual mode,Edita o aplica el plano cuando se utiliza el bloqueo de plano en modo Manual,Modifier/appliquer le plan lors de l'utilisation du verrouillage de plan en mode manuel, ,手動モードで平面ロックを使用するときに平面を編集または適用,수동 모드에서 평면 잠금을 사용할 때 평면 편집 또는 적용,Editar/aplicar plano quando usar bloqueio de plano em modo manual, ,在手动模式下使用平面锁定时编辑/应用平面,在手动模式下使用平面锁定时编辑/应用平面,在手動模式中使用平面鎖定時編輯或套用平面
Studio.TerrainEditor.PluginActions.CopyStatusTip,Copy Region Selection,Regionauswahl kopieren,Copy Region Selection,Copiar selección de región,Copier la sélection de la région, ,地域の選択範囲をコピー,영역 선택 복사,Copiar seleção de região, ,复制区域选择,复制区域选择,複製區域選擇
Studio.TerrainEditor.PluginActions.CutStatusTip,Cut Region Selection,Regionauswahl ausschneiden,Cut Region Selection,Cortar selección de región,Couper la selection de la région, ,地域の選択範囲を切り取る,영역 선택 잘라내기,Recortar seleção de região, ,剪切区域选择,剪切区域选择,裁剪區域選擇
Studio.TerrainEditor.Materials.Plastic,Plastic,Plastik,Plastic,Plástico,Plastique, ,プラスチック,플라스틱,Plástico, ,塑料,塑料,塑膠
Studio.TerrainEditor.PluginActions.CutText,Cut,Ausschneiden,Cut,Cortar,Couper, ,切り取る,잘라내기,Recortar, ,剪切,剪切,裁剪
Studio.TerrainEditor.PluginActions.DeleteStatusTip,Delete Region Selection,Regionauswahl löschen,Delete Region Selection,Eliminar selección de región,Supprimer la sélection de région, ,地域の選択範囲を削除,영역 선택 삭제,Excluir seleção de região, ,删除区域选择,删除区域选择,刪除區域選擇
Studio.TerrainEditor.PluginActions.PasteStatusTip,Paste Region Selection,Regionauswahl einfügen,Paste Region Selection,Pegar selección de región,Coller la sélection de la région, ,地域の選択範囲を張り付け,영역 선택 붙여넣기,Colar seleção de região, ,粘贴区域选择,粘贴区域选择,貼上區域選擇
Studio.TerrainEditor.Operations.PasteName,Paste,Einfügen,Paste,Pegar,Coller, ,貼り付け,붙여넣기,Colar, ,粘贴,粘贴,貼上
Studio.TerrainEditor.PluginActions.PasteText,Paste,Einfügen,Paste,Pegar,Coller, ,貼り付け,붙여넣기,Colar, ,粘贴,粘贴,貼上
Studio.TerrainEditor.PluginActions.DuplicateStatusTip,Duplicate Region Selection,Regionauswahl duplizieren,Duplicate Region Selection,Duplica la selección de región,Reproduire la sélection de région, ,地域の選択範囲を複製,영역 선택 복제,Duplicar seleção de região, ,复制区域选择,复制区域选择,重複區域選擇
Studio.TerrainEditor.Operations.DuplicateName,Duplicate,Duplizieren,Duplicate,Duplicar,Dupliquer, ,複製,복제,Duplicar, ,重复,重复,複製
Studio.TerrainEditor.PluginActions.DuplicateText,Duplicate,Duplizieren,Duplicate,Duplicar,Reproduire, ,複製,복제,Duplicar, ,重复,重复,複製
Studio.TerrainEditor.PluginActions.ApplyStatusTip,Apply Region Transform,Regionstransformation anwenden,Apply Region Transform,Aplica la transformación de región,Appliquer la transformation de la région, ,地域変換を適用,영역 변환 적용,Aplicar transformação de região, ,应用区域转变,应用区域转变,套用區域轉換
Studio.TerrainEditor.PluginActions.CancelStatusTip,Cancel Region Transform,Regionstransformation abbrechen,Cancel Region Transform,Cancela la transformación de región,Annuler la transformation de la région, ,地域変換をキャンセル,영역 변환 취소,Cancelar transformação de região, ,取消区域转变,取消区域转变,取消區域轉換
Studio.TerrainEditor.EditorEnum.FillMode,Fill Mode,Füllmodus,Fill Mode,Modo de relleno,Mode de remplissage, ,塗りつぶしモード,채우기 모드,Modo de preenchimento, ,填充模式,填充模式,填滿模式
Studio.TerrainEditor.MaterialSettings.FillMode,Fill Mode,Füllmodus,Fill Mode,Modo de Relleno,Mode de remplissage, ,塗りつぶしモード,채우기 모드,Modo de preenchimento, ,填充模式,填充模式,填滿模式
Studio.TerrainEditor.SeaLevelSettings.Create,Create,Erstellen,Create,Crear,Créer,Crea,作成,만들기,Criar, ,创建,创建,建立
Studio.TerrainEditor.Tabs.Create,Create,Erstellen,Create,Crear,Créer, ,作成,만들기,Criar, ,创建,创建,建立
Studio.TerrainEditor.BrushSettings.Edit,Edit,Bearbeiten,Edit,Editar,Modifier, ,編集,편집,Editar, ,编辑,编辑,編輯
Studio.TerrainEditor.Tabs.Edit,Edit,Bearbeiten,Edit,Editar,Éditer, ,編集,편집,Editar, ,编辑,编辑,編輯
Studio.TerrainEditor.Operations.MoveDescription,Moving voxels to the target transform.,Voxel in die Zieltransformation verschieben.,Moving voxels to the target transform.,Moviendo los vóxeles a la transformación del objetivo.,Déplacer les voxels vers la transformation cible., ,ターゲット変換にボクセルを移動。,복셀을 대상 변환으로 이동합니다.,Movendo voxels para a transformação do alvo., ,将体素移动到目标转变。,将体素移动到目标转变。,將體素移動至目標轉換位置。
Studio.TerrainEditor.Operations.PasteDescription,Pasting voxels to the target transform.,Voxel in die Zieltransformation einfügen.,Pasting voxels to the target transform.,Pegando los vóxeles a la transformación del objetivo.,Coller des voxels à la transformation cible., ,ターゲット変換にボクセルを貼り付け。,복셀을 대상 변환으로 붙여넣기합니다.,Colando voxels na transformação do alvo., ,将体素粘贴到目标转变。,将体素粘贴到目标转变。,將體素貼上至目標轉換位置。
Studio.TerrainEditor.Operations.DuplicateDescription,Duplicating voxels to the target transform.,Voxel in die Zieltransformation duplizieren.,Duplicating voxels to the target transform.,Duplicando los vóxeles a la transformación del objetivo.,Duplication des voxels à la transformation cible., ,ターゲット変換にボクセルを複製。,복셀을 대상 변환으로 복제합니다.,Duplicando voxels para a transformação do alvo., ,将体素重复到目标转变。,将体素重复到目标转变。,將體素複製至目標轉換位置。
Studio.TerrainEditor.Operations.FillDescription,Filling voxels in the selection with {material}.,Voxel in der Auswahl mit {material} füllen.,Filling voxels in the selection with {material}.,Llenando los vóxeles en la selección con {material}.,Remplir les voxels dans la sélection avec {material}., ,選択範囲を {material} のボクセルで埋めています。,선택 영역의 복셀을 {material}(으)로 채웁니다.,Preenchendo voxels na seleção com {material}., ,在所选项中以 {material} 填充体素。,在所选项中以 {material} 填充体素。,在選擇範圍內填滿 {material} 體素。
Studio.TerrainEditor.Operations.ReplaceDescription,Replacing {source} voxels in the selection with {target}.,{source} Voxel in der Auswahl mit {target} ersetzen.,Replacing {source} voxels in the selection with {target}.,Reemplazando los vóxeles {source} en la selección con {target}.,Remplacement des voxels {source} dans la sélection par {target}., ,選択範囲内の {source} ボクセルを {target} に置き換えます。,선택 영역의 {source} 복셀을 {target}(으)로 바꿉니다.,Substituindo os voxels de {source} na seleção com {target}., ,在所选项中以 {target} 替换 {source} 体素。,在所选项中以 {target} 替换 {source} 体素。,將選擇範圍內的 {source} 體素取代為 {target}。
Studio.TerrainEditor.Dialog.Resume,Resume,Fortsetzen,Resume,Reanudar,Reprendre, ,再開,재개,Retomar, ,继续,继续,繼續
Studio.TerrainEditor.Materials.Air,Air,Luft,Air,Aire,Air, ,空気,공기,Ar, ,空气,空气,空氣
Studio.TerrainEditor.Materials.Cardboard,Cardboard,Karton,Cardboard,Cartón,Carton, ,ダンボール,판지,Papelão, ,纸板箱,纸板箱,厚紙板
Studio.TerrainEditor.Materials.ClayRoofTiles,Clay Roof Tiles,Lehm-Dachziegel,Clay Roof Tiles,Tejas de arcilla,Tuiles de toit en argile, ,屋根用クレイタイル,점토 기와,Telhas de barro, ,粘土屋瓦,粘土屋瓦,陶土屋瓦
Studio.TerrainEditor.Materials.DiamondPlate,Diamond Plate,Diamantplatte,Diamond Plate,Placa de diamante,Plaque en Diamant, ,ダイヤモンド板,다이아몬드판,Placa de diamante, ,钻石板,钻石板,菱形板
Studio.TerrainEditor.Materials.Fabric,Fabric,Stoff,Fabric,Tela,Tissu, ,布地,직물,Tecido, ,布料,布料,布料
Studio.TerrainEditor.Materials.Foil,Foil,Alufolie,Foil,Papel aluminio,Feuille d'aluminium, ,ホイル,호일,Papel alumínio, ,箔,箔,金屬箔
