Key,Source,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.LocalizationTools.UploadTable.EmptyCSVWarning,An empty CSV has been uploaded. All entries and translations will be manually deleted from your table and these entries will not be scraped again via automatic text capture until a new game server is launched.,An empty CSV has been uploaded. All entries and translations will be manually deleted from your table and these entries will not be scraped again via automatic text capture until a new game server is launched.,Se subió un archivo CSV vacío. Todas las entradas y traducciones se eliminarán manualmente de tu tabla y estas entradas no se capturarán de nuevo a través de la captura automática de texto hasta que se lance un nuevo servidor de juego.,Un CSV vide a été téléchargé. Toutes les entrées et traductions seront supprimées manuellement de votre tableau et ces entrées ne seront plus récupérées par capture automatique de texte jusqu'au lancement d'un nouveau serveur de jeu.,È stato caricato un CSV vuoto. Tutte le voci e le traduzioni verranno cancellate manualmente dalla tabella e queste voci non verranno rimosse di nuovo tramite acquisizione automatica di testo fino a quando non verrà lanciato un nuovo server di gioco.,空の CSV がアップロードされました。 すべての入力内容と翻訳は手動でテーブルから削除され、新しいゲームサーバーが起動されるまでは、これらの入力内容が自動テキスト抽出を介して再度スクレイピングされることはありません。,빈 CSV가 업로드되었습니다. 모든 항목과 번역은 테이블에서 수동으로 삭제되며 각 항목은 새 게임 서버가 시작될 때까지 자동 텍스트 캡처를 통해 다시 스크랩되지 않습니다.,Foi carregado um CSV vazio. Todas as entradas e traduções serão excluídas manualmente da sua tabela e essas entradas não serão verificadas novamente através de captura automática de texto até que um novo servidor de jogos seja iniciado., ,已上传一个空白的 CSV 文件。所有条目和翻译都将会从你的表格自动删除。在新的游戏服务器启用之前，这些条目将不会被自动文字捕捉功能抓取。,已上传一个空白的 CSV 文件。所有条目和翻译都将会从你的表格自动删除。在新的游戏服务器启用之前，这些条目将不会被自动文字捕捉功能抓取。,已上傳空白 CSV 檔案。所有條目和翻譯將會從表格手動刪除。在新的遊戲伺服器啟用之前，這些條目將不會被自動文字擷取功能擷取。
Studio.LocalizationTools.UploadTable.LocaleTooLong,"Locale for table entry (locale: {locale}, translation: {translation}) exceeds character limit","Locale for table entry (locale: {locale}, translation: {translation}) exceeds character limit","Idioma para la entrada de la tabla (idioma: {locale}, traducción: {translation}) supera el límite de caracteres","La locale pour l'entrée de la table (locale : {locale}, traduction : {translation}) dépasse la limite de caractères","La lingua per la voce della tabella (locale: {locale}, traduzione: {translation}) supera il limite di caratteri",テーブル入力の地域（地域： {locale}、翻訳： {translation}） が文字数制限を超えています,"테이블 항목(로캘: {locale}, 번역: {translation})의 로캘이 글자 수 제한을 초과했습니다","O idioma para entrada de tabela (idioma: {locale}, tradução: {translation}) excede o limite de caracteres", ,表格条目（地区：{locale}，翻译：{translation}）的地区已超过字符限制,表格条目（地区：{locale}，翻译：{translation}）的地区已超过字符限制,表格條目（地區：{locale}，翻譯：{translation}）的地區已超過字元上限
Studio.LocalizationTools.UploadTable.TranslationTooLong,"Translation string for table entry (locale: {locale}, translation: {translation}) exceeds character limit","Translation string for table entry (locale: {locale}, translation: {translation}) exceeds character limit","Cadena de traducción para la entrada de la tabla (idioma: {locale}, traducción: {translation}) supera el límite de caracteres","Le string de traduction de l'entrée de la table (locale : {locale}, translation : {translation}) dépasse la limite de caractères","La stringa di traduzione per la voce della tabella (locale: {locale}, traduzione: {translation}) supera il limite di caratteri",テーブル入力の翻訳文字列（地域： {locale}、翻訳： {translation}） が文字数制限を超えています,"테이블 항목(로캘: {locale}, 번역: {translation})의 번역 문자열이 글자 수 제한을 초과했습니다","A sequência de caracteres de tradução para entrada de tabela (idioma: {locale}, tradução: {translation}) excede o limite de caracteres", ,表格条目（地区：{locale}，翻译：{translation}）的翻译字符串已超过字符限制,表格条目（地区：{locale}，翻译：{translation}）的翻译字符串已超过字符限制,表格條目（地區：{locale}，翻譯：{translation}）的翻譯字串已超過字元上限
Studio.LocalizationTools.UploadTable.ContextTooLong,"Context for entry (key: {key}, example: {example}, source: {source}, context: {context}) exceeds character limit","Context for entry (key: {key}, example: {example}, source: {source}, context: {context}) exceeds character limit","Contexto para la entrada (clave: {key}, ejemplo: {example}, origen: {source}, contexto: {context}) supera el límite de caracteres","Le contexte de l'entrée (clé: {key}, exemple : {example}, source : {source}, contexte : {context}) dépasse la limite de caractères","Il contesto per l'immissione (chiave: {key}, esempio: {example}, sorgente: {source}, contesto: {context}) supera il limite di caratteri",コンテキストの入力 （キー: {key}、例: {example}、 ソース: {source}、 コンテキスト: {context}） が文字数制限を超えています,"항목(키: {key}, 예: {example}, 소스: {source}, 문맥: {context})의 문맥이 글자 수 제한을 초과했습니다","O contexto para a entrada (chave: {key}, exemplo: {example}, fonte: {source}, contexto: {context}) excede o limite de caracteres", ,条目（键：{key}，示例：{example}，原始字串：{source}，语境：{context}）的语境已超过字符限制,条目（键：{key}，示例：{example}，原始字串：{source}，语境：{context}）的语境已超过字符限制,條目（鍵：{key}，範例：{example}，原始字串：{source}，語境：{context}）的語境已超過字元上限
Studio.LocalizationTools.UploadTable.KeyTooLong,"Key for entry (key: {key}, example: {example}, source: {source}, context: {context}) exceeds character limit","Key for entry (key: {key}, example: {example}, source: {source}, context: {context}) exceeds character limit","Clave para la entrada (clave: {key}, ejemplo: {example}, origen: {source}, contexto: {context}) supera el límite de caracteres","La clé pour l'entrée (clé : {key}, exemple : {example}, source : {source}, contexte : {context}) dépasse la limite de caractères","Il contesto per l'immissione (chiave: {key}, esempio: {example}, sorgente: {source}, contesto: {context}) supera il limite di caratteri",入力キー （キー: {key}、例: {example}、 ソース: {source}、 コンテキスト: {context}） が文字数制限を超えています,"항목(키: {key}, 예: {example}, 소스: {source}, 문맥: {context})의 키가 글자 수 제한을 초과했습니다","A chave para a entrada (chave: {key}, exemplo: {example}, fonte: {source}, contexto: {context}) excede o limite de caracteres", ,条目（键：{key}，示例：{example}，原始字串：{source}，语境：{context}）的键已超过字符限制,条目（键：{key}，示例：{example}，原始字串：{source}，语境：{context}）的键已超过字符限制,條目（鍵：{key}，範例：{example}，原始字串：{source}，語境：{context}）的鍵已超過字元上限
Studio.LocalizationTools.UploadTable.ExampleTooLong,"Example for entry (key: {key}, example: {example}, source: {source}, context: {context}) exceeds character limit","Example for entry (key: {key}, example: {example}, source: {source}, context: {context}) exceeds character limit","Ejemplo para la entrada (clave: {key}, ejemplo: {example}, origen: {source}, contexto: {context}) supera el límite de caracteres","Exemple pour l'entrée (clé: {key}, exemple : {example}, source : {source}, contexte : {context}) dépasse la limite de caractères","Esempio di una voce (chiave: {key}, esempio: {example}, sorgente: {source}, contesto: {context}) supera il limite di caratteri",入力の例 （キー: {key}、例: {example}、 ソース: {source}、 コンテキスト: {context}） が文字数制限を超えています,"항목(키: {key}, 예: {example}, 소스: {source}, 문맥: {context})의 예가 글자수 제한을 초과했습니다","O exemplo para a entrada (chave: {key}, exemplo: {example}, fonte: {source}, contexto: {context}) excede o limite de caracteres", ,条目（键：{key}，示例：{example}，原始字串：{source}，语境：{context}）的示例已超过字符限制,条目（键：{key}，示例：{example}，原始字串：{source}，语境：{context}）的示例已超过字符限制,條目（鍵：{key}，範例：{example}，原始字串：{source}，語境：{context}）的範例已超過字元上限
Studio.LocalizationTools.UploadTable.SourceTooLong,"Source for entry (key: {key}, example: {example}, source: {source}, context: {context}) exceeds character limit","Source for entry (key: {key}, example: {example}, source: {source}, context: {context}) exceeds character limit","Fuente para la entrada (clave: {key}, ejemplo: {example}, origen: {source}, contexto: {context}) supera el límite de caracteres","La source de l'entrée (clé : {key}, exemple : {example}, source : {source}, contexte : {context}) dépasse la limite de caractères","Sorgente di una voce (chiave: {key}, esempio: {example}, sorgente: {source}, contesto: {context}) supera il limite di caratteri",入力ソース （キー: {key}、例: {example}、 ソース: {source}、 コンテキスト: {context}） が文字数制限を超えています,"항목(키: {key}, 예: {example}, 소스: {source}, 문맥: {context})의 소스가 글자수 제한을 초과했습니다","A fonte para entrada (chave: {key}, exemplo: {example}, fonte: {source}, contexto: {context}) excede o limite de caracteres", ,条目（键：{key}，示例：{example}，原始字串：{source}，语境：{context}）的原始字串已超过字符限制,条目（键：{key}，示例：{example}，原始字串：{source}，语境：{context}）的原始字串已超过字符限制,條目（鍵：{key}，範例：{example}，原始字串：{source}，語境：{context}）的原始字串已超過字元上限
Studio.LocalizationTools.UploadTable.InvalidEntryDialogError,An invalid entry has been found in your CSV file. More details can be found in Output,An invalid entry has been found in your CSV file. More details can be found in Output,Se encontró una entrada no válida en tu archivo CSV. Puedes encontrar más detalles en Salida,Une entrée non valide a été trouvée dans ton fichier CSV. Plus de détails peuvent être trouvés dans Sortie,Una voce non valida è stata trovata nel tuo file CSV. Maggiori dettagli possono essere trovati in Output,CSVファイルで無効な入力内容が見つかりました。詳しくは、「出力」を参照してください。,CSV 파일에서 유효하지 않은 항목이 발견되었습니다. 자세한 내용은 출력에서 ​​확인할 수 있습니다.,Uma entrada inválida foi encontrada no seu arquivo CSV. Mais detalhes podem ser encontrados na Saída, ,你的 CSV 文件包括无效条目，请在输出中查看更多详情。,你的 CSV 文件包括无效条目，请在输出中查看更多详情。,CSV 檔案中含有無效條目，輸出中可以查看詳細資訊
Studio.LocalizationTools.UploadTable.EmptyCSVDialogTitle,Empty CSV Table,Empty CSV Table,Tabla CSV vacía,Table CSV vide,Tabella CSV Vuota,CSV テーブルを空にする,빈 CSV 테이블,Tabela CSV vazia, ,空白 CSV 表格,空白 CSV 表格,空白 CSV 表格
Studio.LocalizationTools.UploadTable.InvalidTableDialogTitle,Invalid Table Entries,Invalid Table Entries,Entradas de tabla no válidas,Entrées de table non valides,Elementi Tabella Non Validi,無効なテーブル入力,유효하지 않은 테이블 항목,Entradas de tabela inválidas, ,无效表格条目,无效表格条目,無效表格條目
