Key,Context,Example,Source,en-us,ko,ru,zh-cn
Studio.ReflectionMetadata.ReflectionMetadata.FloorWireTexture,,,The image we use to render the textures that flow from beginning to end of the FloorWire.,The image we use to render the textures that flow from beginning to end of the FloorWire.,FloorWire의 시작부터 끝까지 연결된 텍스처를 렌더링하는 데 사용하는 이미지입니다.,"Изображение, которое используется для отображения текстур, протекающих от начала до конца FloorWire.",我们用来渲染从 FloorWire 头部流向尾部的纹理的图像。
Studio.ReflectionMetadata.ReflectionMetadata.FloorWireTextureSize,,,The size in studs of the Texture we use to flow from one object to the next.,The size in studs of the Texture we use to flow from one object to the next.,한 개체에서 다음 개체로 전달하기 위해 사용하는 텍스처의 스터드 크기.,"Размер (в стойках) Текстуры, которая используется от одного объекта к другому.",我们用来从一个物体流向下一个物体的纹理的大小 (以格为单位)。
Studio.ReflectionMetadata.ReflectionMetadata.FloorWireTo,,,The object the FloorWire 'emits' to,The object the FloorWire 'emits' to,FloorWire를 '방출'하는 개체,"Объект, к которому «проходит» FloorWire",FloorWire “发射”出的物体
Studio.ReflectionMetadata.ReflectionMetadata.FloorWireVelocity,,,The rate of travel that the textures flow along the wire.,The rate of travel that the textures flow along the wire.,텍스처가 와이어를 따라 흐르는 속도.,Скорость «проплывания» текстур по проводу.,纹理沿线流动的速度。
Studio.ReflectionMetadata.ReflectionMetadata.FloorWireWireRadius,,,How thick the wire is.,How thick the wire is.,와이어의 두께.,Толщина провода.,线的厚度。
Studio.ReflectionMetadata.ReflectionMetadata.CFrameValue,,,Stores a CFrame value in it's Value member. Useful to share CFrame information across multiple scripts.,Stores a CFrame value in it's Value member. Useful to share CFrame information across multiple scripts.,Value 멤버에 CFrame 값을 저장합니다. 여러 스크립트 간 CFrame 정보를 공유하는 데 유용합니다.,Хранит значение CFrame в члене Value. Полезно для обмена информацией о CFrame между несколькими скриптами.,在其 Value 成员中存储一个 CFrame 值。用于在多个脚本之间共享 CFrame 信息。
Studio.ReflectionMetadata.ReflectionMetadata.Color3Value,,,Stores a Color3 value in it's Value member. Useful to share Color3 information across multiple scripts.,Stores a Color3 value in it's Value member. Useful to share Color3 information across multiple scripts.,Value 멤버에 Color3 값을 저장합니다. 여러 스크립트 간 Color3 정보를 공유하는 데 유용합니다.,Хранит значение Color3 в члене Value. Полезно для обмена информацией о Color3 между несколькими скриптами.,在其 Value 成员中存储一个 Color3 值。用于在多个脚本之间共享 Color3 信息。
Studio.ReflectionMetadata.ReflectionMetadata.BrickColorValue,,,Stores a BrickColor value in it's Value member. Useful to share BrickColor information across multiple scripts.,Stores a BrickColor value in it's Value member. Useful to share BrickColor information across multiple scripts.,Value 멤버에 BrickColor 값을 저장합니다. 여러 스크립트 간 BrickColor 정보를 공유하는 데 유용합니다.,Хранит значение BrickColor в члене Value. Полезно для обмена информацией о BrickColor между несколькими скриптами.,在其 Value 成员中存储一个 BrickColor 值。用于在多个脚本之间共享 BrickColor 信息。
Studio.ReflectionMetadata.ReflectionMetadata.ValueBase,,,The base class to all Value Objects.,The base class to all Value Objects.,모든 Value Objects의 기본 클래스.,Базовый класс для всех объектов Value.,所有 Value 对象的基类。
Studio.ReflectionMetadata.ReflectionMetadata.Soundplay,,,Deprecated. Use Play() instead,Deprecated. Use Play() instead,더 이상 사용되지 않습니다. Play()를 대신 사용하세요,Устарело. Используйте Play(),已过时。请改用 Play()
Studio.ReflectionMetadata.ReflectionMetadata.SoundPlayOnRemove,,,The sound will play when it is removed from the Workspace. Looped sounds don't play,The sound will play when it is removed from the Workspace. Looped sounds don't play,작업 공간에서 제거되면 사운드가 재생됩니다. 반복 사운드는 재생되지 않습니다,Звук воспроизводится при удалении из рабочей области. Звуковые циклы не воспроизводятся,从工作区中移除时将会播放音效。不会播放循环音效
Studio.ReflectionMetadata.ReflectionMetadata.EchoSoundEffect,,,An echo audio effect that can be applied to a Sound or SoundGroup.,An echo audio effect that can be applied to a Sound or SoundGroup.,Sound 또는 SoundGroup에 적용할 수 있는 에코 오디오 효과.,"Аудиоэффект эха, который можно применить к звуку или звуковой группе.",可应用于 Sound 或 SoundGroup 的回声音频效果。
Studio.ReflectionMetadata.ReflectionMetadata.FlangeSoundEffect,,,A Flanging audio effect that can be applied to a Sound or SoundGroup.,A Flanging audio effect that can be applied to a Sound or SoundGroup.,Sound 또는 SoundGroup에 적용할 수 있는 플랜징 오디오 효과.,"Аудиоэффект фланжера, который можно применить к звуку или звуковой группе.",可应用于 Sound 或 SoundGroup 的镶边音频效果。
Studio.ReflectionMetadata.ReflectionMetadata.DistortionSoundEffect,,,A Distortion audio effect that can be applied to a Sound or SoundGroup.,A Distortion audio effect that can be applied to a Sound or SoundGroup.,Sound 또는 SoundGroup에 적용할 수 있는 디스토션 오디오 효과.,"Аудиоэффект искажения, который можно применить к звуку или звуковой группе.",可应用于 Sound 或 SoundGroup 的失真音频效果。
Studio.ReflectionMetadata.ReflectionMetadata.PitchShiftSoundEffect,,,A Pitch Shifting audio effect that can be applied to a Sound or SoundGroup.,A Pitch Shifting audio effect that can be applied to a Sound or SoundGroup.,Sound 또는 SoundGroup에 적용할 수 있는 피치 시프팅 오디오 효과.,"Аудиоэффект смещения высоты тона, который можно применить к звуку или звуковой группе.",可应用于 Sound 或 SoundGroup 的变调音频效果。
Studio.ReflectionMetadata.ReflectionMetadata.ChorusSoundEffect,,,A Chorus audio effect that can be applied to a Sound or SoundGroup.,A Chorus audio effect that can be applied to a Sound or SoundGroup.,Sound 또는 SoundGroup에 적용할 수 있는 코러스 오디오 효과.,"Аудиоэффект хора, который можно применить к звуку или звуковой группе.",可应用于 Sound 或 SoundGroup 的合奏音频效果。
Studio.ReflectionMetadata.ReflectionMetadata.TremoloSoundEffect,,,A Tremolo audio effect that can be applied to a Sound or SoundGroup.,A Tremolo audio effect that can be applied to a Sound or SoundGroup.,Sound 또는 SoundGroup에 적용할 수 있는 트레몰로 오디오 효과.,"Аудиоэффект тремоло, который можно применить к звуку или звуковой группе.",可应用于 Sound 或 SoundGroup 的颤音音频效果。
Studio.ReflectionMetadata.ReflectionMetadata.ReverbSoundEffect,,,A Reverb audio effect that can be applied to a Sound or SoundGroup.,A Reverb audio effect that can be applied to a Sound or SoundGroup.,Sound 또는 SoundGroup에 적용할 수 있는 리버브 오디오 효과.,"Аудиоэффект реверберации, который можно применить к звуку или звуковой группе.",可应用于 Sound 或 SoundGroup 的混响音频效果。
Studio.ReflectionMetadata.ReflectionMetadata.EqualizerSoundEffect,,,An Three-band Equalizer audio effect that can be applied to a Sound or SoundGroup.,An Three-band Equalizer audio effect that can be applied to a Sound or SoundGroup.,Sound 또는 SoundGroup에 적용할 수 있는 3밴드 이퀄라이저 오디오 효과.,"Аудиоэффект трехдиапазонного эквалайзера, который можно применить к звуку или звуковой группе.",可应用于 Sound 或 SoundGroup 的三波段均衡器音频效果。
Studio.ReflectionMetadata.ReflectionMetadata.CompressorSoundEffect,,,A Compressor audio effect that can be applied to a Sound or SoundGroup.,A Compressor audio effect that can be applied to a Sound or SoundGroup.,Sound 또는 SoundGroup에 적용할 수 있는 컴프레서 오디오 효과.,"Аудиоэффект компрессора, который можно применить к звуку или звуковой группе.",可应用于 Sound 或 SoundGroup 的压缩器音频效果。
Studio.ReflectionMetadata.ReflectionMetadata.SoundServiceAmbientReverb,,,The ambient sound environment.  May not work when using hardware sound,The ambient sound environment.  May not work when using hardware sound,주변 사운드 환경. 하드웨어 사운드를 사용할 때 작동하지 않을 수 있습니다.,Окружающая звуковая среда. Может не работать при использовании аппаратного звука,环境声音环境。使用硬件声音时可能无法正常工作
Studio.ReflectionMetadata.ReflectionMetadata.SoundServiceDopplerScale,,,"The doppler scale is a general scaling factor for how much the pitch varies due to doppler shifting in 3D sound. Doppler is the pitch bending effect when a sound comes towards the listener or moves away from it, much like the effect you hear when a train goes past you with its horn sounding. With dopplerscale you can exaggerate or diminish the effect.","The doppler scale is a general scaling factor for how much the pitch varies due to doppler shifting in 3D sound. Doppler is the pitch bending effect when a sound comes towards the listener or moves away from it, much like the effect you hear when a train goes past you with its horn sounding. With dopplerscale you can exaggerate or diminish the effect.",도플러 스케일은 3D 사운드에서 도플러 이동에 따라 피치가 얼마나 변하는지에 대한 일반적인 스케일링 인수입니다. 도플러는 사운드가 청취자 방향으로 이동하거나 청취자로부터 멀어질 때 발생하는 피치 굴곡 효과입니다(기차가 경적을 울리며 지나갈 때 들리는 효과와 유사함). 도플러 스케일을 사용하면 이러한 효과를 과장하거나 축소할 수 있습니다.,"Доплеровская шкала — это общий коэффициент масштабирования, определяющий степень изменения высоты тона при доплеровском сдвиге 3D-звука. Доплеровский эффект — это эффект искажения при приближении звука к слушателю или удалении от него, как если бы рядом проходил поезд со звучащим свистком. Доплеровская шкала позволяет усиливать или уменьшать этот эффект.",多布勒标度是用于衡量 3D 音效中因多布勒频移而导致的音调变化程度的一种通用衡量因素。多普勒效应是指音源向聆听者移动或远离聆听者时所产生的音调变化，如火车从你身边经过的同时鸣笛所产生的效果。通过多普勒标度，你可以夸大或减弱这种效果。
Studio.ReflectionMetadata.ReflectionMetadata.SoundServiceDistanceFactor,,,"the relative distance factor, compared to 1.0 meters.","the relative distance factor, compared to 1.0 meters.",1미터 대비 상대 거리 인수.,"коэффициент относительного расстояния по сравнению с 1,0 метром.",相对距离因子，比照 1.0 米。
Studio.ReflectionMetadata.ReflectionMetadata.SoundServiceRolloffScale,,,"Setting this value makes the sound drop off faster or slower. The higher the value, the faster volume will attenuate, and conversely the lower the value, the slower it will attenuate. For example a rolloff factor of 1 will simulate the real world, where as a value of 2 will make sounds attenuate 2 times quicker.","Setting this value makes the sound drop off faster or slower. The higher the value, the faster volume will attenuate, and conversely the lower the value, the slower it will attenuate. For example a rolloff factor of 1 will simulate the real world, where as a value of 2 will make sounds attenuate 2 times quicker.","이 값을 설정하면 소리가 줄어드는 속도가 달라집니다. 값을 높게 설정하면 볼륨이 빠르게 감쇠하고, 반대로 값을 낮게 설정하면 볼륨이 느리게 감쇠합니다. 예를 들어 롤오프 인수가 1이면 현실 세계를 시뮬레이션하고, 롤오프 인수가 2이면 소리가 2배 더 빠르게 감쇠됩니다.","Это значение определяет, насколько быстро затихает звук. Чем выше значение, тем быстрее звук затихнет, и наоборот — чем значение ниже, тем дольше он будет звучать. Например, коэффициент спада 1 моделирует реальный мир, а при коэффициент 2 звук затихает в 2 раза быстрее.",设置此值可以加快或减慢音量降低的速度。数值越大，音量衰减越快，数值越小，音量衰减越慢。例如，下降率为 1 时为模拟真实世界效果，而数值为 2 时则音量衰减速度将加快一倍。
Studio.ReflectionMetadata.ReflectionMetadata.UIGridStyleLayoutSetCustomSortFunction,,,"When SortOrder is set to Custom, this lua function is used to determine the ordering of elements. Function should take two arguments (each will be an Instance child to compare), and return true if a comes before b, otherwise return false. In other words, use this function the same way you would use a table.sort function. The sorting should be deterministic, otherwise sort will fail and fall back to name order.","When SortOrder is set to Custom, this lua function is used to determine the ordering of elements. Function should take two arguments (each will be an Instance child to compare), and return true if a comes before b, otherwise return false. In other words, use this function the same way you would use a table.sort function. The sorting should be deterministic, otherwise sort will fail and fall back to name order.","SortOrder가 Custom으로 설정된 경우 이 Lua 함수는 요소의 순서를 결정하는 데 사용됩니다. 함수는 두 개의 인수(각각 비교할 인스턴스 자식이 됨)를 취해야 하며, a가 b 앞에 오면 true를 반환하고 그렇지 않으면 false를 반환합니다. 즉 table.sort 함수와 동일한 방식으로 이 함수를 사용하세요. 정렬은 확정적이어야 합니다. 그렇지 않으면 정렬이 실패하고 이름 순서로 폴백됩니다.","Когда для SortOrder установлено значение Custom, эта Lua-функция используется для определения порядка элементов. Функция принимает два аргумента (каждый из которых является дочерним элементом экземпляра для сравнения) и возвращает true, если a предшествует b. В противном случае возвращается false. Другими словами, используйте эту функцию так же, как функцию table.sort. Сортировка должна быть детерминированной, иначе произойдет сбой и возврат к сортировке по именам.",当 SortOrder 被设为 Custom 时，此 lua 函数可用于决定元素的顺序。函数应该有两个参数 (两者均为 Instance 子类以便进行比较)，若 a 在 b 前则返回 true，否则返回 false。换句话说，此函数的使用方式与使用 table.sort 函数相同。排序应当是具有确定性的，否则排序将会失败并恢复按名称排序。
Studio.ReflectionMetadata.ReflectionMetadata.UIGridStyleLayoutApplyLayout,,,Forces a relayout of all elements. Useful when sort is set to Custom.,Forces a relayout of all elements. Useful when sort is set to Custom.,모든 요소를 ​​강제로 다시 레이아웃합니다. 정렬이 사용자 정의로 설정된 경우에 유용합니다.,"Выполняет принудительную перекомпоновку всех элементов. Полезно, если для сортировки выбрано значение Custom.",强制对所有元素进行重新布局。排序被设为 Custom 时很有用。
Studio.ReflectionMetadata.ReflectionMetadata.UIGridStyleLayoutSortOrder,,,"Determines how we decide which element to place next. Can be Name or Custom. If using Custom, make sure SetCustomSortFunction was called with an appropriate sort function.","Determines how we decide which element to place next. Can be Name or Custom. If using Custom, make sure SetCustomSortFunction was called with an appropriate sort function.",다음에 배치할 요소를 정하는 방법을 결정합니다. 이름 또는 사용자 정의일 수 있습니다. Custom을 사용하는 경우 적절한 정렬 함수로 SetCustomSortFunction을 호출했는지 확인하십시오.,"Определяет, какой элемент разместить дальше. Может иметь значение Name или Custom. При использовании Custom убедитесь, что параметр SetCustomSortFunction вызван с соответствующей функцией сортировки.",决定我们将如何决定接下来该放置哪个元素。值可以是 Name 或 Custom。如果使用 Custom，请确保使用适当的排序函数调用 SetCustomSortFunction。
Studio.ReflectionMetadata.ReflectionMetadata.UIGridStyleLayoutFillDirection,,,Determines which direction to fill the grid. Can be Horizontal or Vertical.,Determines which direction to fill the grid. Can be Horizontal or Vertical.,그리드를 채울 방향을 결정합니다. Horizontal 또는 Vertical일 수 있습니다.,"Определяет, в каком направлении заполнять сетку: горизонтальном или вертикальном.",决定填充网格的方向。可以是 Horizontal 或 Vertical。
Studio.ReflectionMetadata.ReflectionMetadata.UIGridStyleLayoutHorizontalAlignment,,,"Determines how grid is placed within it's parent's container in the x direction. Can be Left, Center, or Right.","Determines how grid is placed within it's parent's container in the x direction. Can be Left, Center, or Right.","부모의 컨테이너 내 x 방향으로 그리드를 배치하는 방법을 결정합니다. Left, Center 또는 Right일 수 있습니다.","Определяет, как сетка помещается в контейнер родительского элемента в направлении X. Может быть слева, в центре или справа.",决定网格在其父容器内 x 方向上的放置方式。值可以是 Left、Center 或 Right。
Studio.ReflectionMetadata.ReflectionMetadata.UIGridStyleLayoutVerticalAlignment,,,"Determines how grid is placed within it's parent's container in the y direction. Can be Top, Center, or Bottom.","Determines how grid is placed within it's parent's container in the y direction. Can be Top, Center, or Bottom.","부모의 컨테이너 내 y 방향으로 그리드를 배치하는 방법을 결정합니다. Top, Center 또는 Bottom일 수 있습니다.","Определяет, как сетка помещается в контейнер родительского элемента в направлении Y. Может быть сверху, в центре или снизу.",决定网格在其父容器内 y 方向上的放置方式。值可以是 Left、Center 或 Right。
Studio.ReflectionMetadata.ReflectionMetadata.UIListLayout,,,Sets the position of UI elements in a list. You can use a UIListLayout by parenting it to a GuiObject. The UIListLayout will then apply itself to all of its GuiObject siblings.,Sets the position of UI elements in a list. You can use a UIListLayout by parenting it to a GuiObject. The UIListLayout will then apply itself to all of its GuiObject siblings.,목록에서 UI 요소의 위치를 ​​설정합니다. UIListLayout을 GuiObject에 부모로 설정하여 사용할 수 있습니다. 그러면 UIListLayout이 모든 GuiObject 형제에 적용됩니다.,"Задает положение элементов интерфейса в списке. Можно использовать UIListLayout, создав его в GuiObject. Затем UIListLayout применится ко всем одноуровневым элементам в GuiObject.",设置一个列表中的 UI 元素的位置。可以通过将 UIListLayout 设为 GuiObject 的父类来使用它。随后 UIListLayout 会将其自身应用于所有 GuiObject 的同级类。
Studio.ReflectionMetadata.ReflectionMetadata.UIListLayoutPadding,,,"Determines the amount of free space between each element. Can be set either using scale (Percentage of parent's size in the current direction) or offset (a static spacing value, similar to pixel size).","Determines the amount of free space between each element. Can be set either using scale (Percentage of parent's size in the current direction) or offset (a static spacing value, similar to pixel size).",각 요소 사이 여유 공간의 크기를 결정합니다. 스케일(현재 방향의 부모 크기 백분율) 또는 오프셋(픽셀 크기와 유사한 정적 간격 값)을 사용하여 설정할 수 있습니다.,"Определяет размер свободного пространства между элементами. Можно установить либо с помощью шкалы (процент от размера родительского элемента в текущем направлении), либо со смещением (статическое значение расстояния, аналогичное размеру пикселя).",决定每个元素之间的可用空间量。可以使用比例 (父类在当前方向上的大小百分比) 或偏移 (一个静态间距值，类似于像素大小) 进行设置。
Studio.ReflectionMetadata.ReflectionMetadata.UIInlineLayout,,,Sets the position of UI elements inline. You can use a UIInlineLayout by parenting it to a GuiObject. The UIListLayout will then apply itself to all of its GuiObject siblings.,Sets the position of UI elements inline. You can use a UIInlineLayout by parenting it to a GuiObject. The UIListLayout will then apply itself to all of its GuiObject siblings.,UI 요소의 위치를 ​​인라인으로 설정합니다. UIInlineLayout을 GuiObject에 부모로 설정하여 사용할 수 있습니다. 그러면 UIListLayout이 모든 GuiObject 형제에 적용됩니다.,"Задает положение встроенных элементов интерфейса. Можно использовать UIInlineLayout, создав его в GuiObject. Затем UIListLayout применится ко всем одноуровневым элементам в GuiObject.",设置轴线上的 UI 元素的位置。可以通过将 UIListLayout 设为 GuiObject 的父类来使用它。随后 UIListLayout 会将其自身应用于所有 GuiObject 的同级类。
Studio.ReflectionMetadata.ReflectionMetadata.UIGridLayout,,,"Sets the position of UI elements in a 2D grid (this can be modified to 1D grid for list layout). This will also set the elements to a particular size, although this can be overridden with particular constraints on elements. You can use a UIGridLayout by parenting it to a GuiObject. The UIGridLayout will then apply itself to all of its GuiObject siblings.","Sets the position of UI elements in a 2D grid (this can be modified to 1D grid for list layout). This will also set the elements to a particular size, although this can be overridden with particular constraints on elements. You can use a UIGridLayout by parenting it to a GuiObject. The UIGridLayout will then apply itself to all of its GuiObject siblings.","2D 그리드(목록 레이아웃의 경우 1D 그리드로 수정할 수 있음)에서 UI 요소의 위치를 설정합니다. 또한 요소를 특정 크기로 설정합니다. 단, 이 값은 요소에 대한 특정 제약으로 재정의될 수 있습니다. UIGridLayout을 GuiObject에 부모로 설정하여 사용할 수 있습니다. 그러면 UIListLayout이 모든 GuiObject 형제에 적용됩니다.","Задает положение элементов интерфейса в 2D-сетке (можно изменить на 1D-сетку для формата списка). Также масштабирует элементы до определенного размера (можно принудительно отменить с помощью определенных ограничений на элементы). Можно использовать UIInlineLayout, создав его в GuiObject. Затем UIListLayout применится ко всем одноуровневым элементам в GuiObject.",设置一个 2D 网格 (可以改为 1D 网格以进行列表布局) 中 UI 元素的位置。同时还会将元素设置为特定大小，但可以通过对元素进行特定约束来覆盖此设置。可以通过将 UIGridLayout 设为 GuiObject 的父类来使用它。随后 UIGridLayout 会将其自身应用于所有 GuiObject 的同级类。
Studio.ReflectionMetadata.ReflectionMetadata.UIGridLayoutCellSize,,,Denotes what size each element should be. Can be overridden by elements using constraints on individual elements.,Denotes what size each element should be. Can be overridden by elements using constraints on individual elements.,각 요소의 크기를 나타냅니다. 개별 요소에 대한 제약을 사용하여 요소로 재정의할 수 있습니다.,Определяет размер каждого элемента. Можно принудительно отменить с помощью определенных ограничений на элементы.,表示每个元素的大小。可以被使用约束的单独元素覆盖。
Studio.ReflectionMetadata.ReflectionMetadata.UIGridLayoutCellPadding,,,How much space between elements there should be.,How much space between elements there should be.,요소 사이에 필요한 공간의 크기.,Какое расстояние должно быть между элементами.,元素之间应当存在多大的空间。
Studio.ReflectionMetadata.ReflectionMetadata.UIGridLayoutFillDirectionMaxCells,,,Determines how many cells over in the FillDirection we go before starting a new row or column. Set to 0 for max cell count.  Will be clamped if this is set higher than the parent container allows room for.,Determines how many cells over in the FillDirection we go before starting a new row or column. Set to 0 for max cell count.  Will be clamped if this is set higher than the parent container allows room for.,새 행 또는 열을 시작하기 전에 FillDirection으로 몇 개의 셀을 이동할지 결정합니다. 최대 셀 수로 지정하려면 0으로 설정하세요. 이 값을 부모 컨테이너가 허용하는 수치보다 높게 설정하면 클램핑됩니다.,"Определяет, на сколько ячеек в FillDirection нужно переместиться перед созданием новой строки или столбца. Установите 0 для максимального количества ячеек. Будет ограничено, если значение больше, чем позволяет родительский контейнер.",决定在 FillDirection 方向上开始新行或新列前我们需要经过多少单元格。设为 0 时取最大单元格数。若此值设定得比父容器所允许的空间大，则会被钳制。
Studio.ReflectionMetadata.ReflectionMetadata.UIGridLayoutAbsoluteSize,,,"Returns the current size of the grid. If more elements are added, this can increase. If elements are removed this can decrease.","Returns the current size of the grid. If more elements are added, this can increase. If elements are removed this can decrease.",그리드의 현재 크기를 반환합니다. 더 많은 요소가 추가되면 증가할 수 있습니다. 요소가 제거되면 감소할 수 있습니다.,"Возвращает текущий размер сетки. Если добавить больше элементов, может увеличиться. Если удалить элементы, может уменьшиться.",返回网格的当前大小。若添加了更多元素，此值会增加。若元素被移除，则此值会减少。
Studio.ReflectionMetadata.ReflectionMetadata.UIGridLayoutStartCorner,,,"Which corner we start laying the elements out from. Can be TopLeft, TopRight, BottomLeft, BottomRight.","Which corner we start laying the elements out from. Can be TopLeft, TopRight, BottomLeft, BottomRight.","요소를 배치하기 시작하는 모서리 방향입니다. TopLeft, TopRight, BottomLeft, BottomRight일 수 있습니다.","С какого угла начинается раскладывание элементов. Может иметь значение TopLeft, TopRight, BottomLeft, BottomRight.",我们将会从哪个角开始铺设元素。值可以是 TopLeft、TopRight、BottomLeft 或 BottomRight。
Studio.ReflectionMetadata.ReflectionMetadata.UIPageLayout,,,"Creates a paged viewing window, like the home screen of a mobile device. You can use a UIPageLayout by parenting it to a GuiObject. The UIPageLayout will then apply itself to all of its GuiObject siblings.","Creates a paged viewing window, like the home screen of a mobile device. You can use a UIPageLayout by parenting it to a GuiObject. The UIPageLayout will then apply itself to all of its GuiObject siblings.",모바일 기기의 홈 화면처럼 페이지가 지정된 보기 창을 만듭니다. UIPageLayout을 GuiObject에 부모로 설정하여 사용할 수 있습니다. 그러면 UIPageLayout이 모든 GuiObject 형제에 적용됩니다.,"Создает окно просмотра страницы, подобно главному экрану мобильного устройства. Можно использовать UIPageLayout, создав его в GuiObject. Затем UIPageLayout применится ко всем одноуровневым элементам в GuiObject.",创建一个分页查看窗口，类似移动设备的主屏幕。可以通过将 UIPageLayout 设为 GuiObject 的父类来使用它。随后 UIPageLayout 会将其自身应用于所有 GuiObject 的同级类。
Studio.ReflectionMetadata.ReflectionMetadata.UIPageLayoutCurrentPage,,,The page that is either currently being displayed or is the target of the current animation.,The page that is either currently being displayed or is the target of the current animation.,현재 표시되고 있거나 현재 애니메이션 대상 페이지.,"Страница, которая отображается в данный момент или является целью текущей анимации.",当前正在显示的页面，或作为当前动画目标的页面。
Studio.ReflectionMetadata.ReflectionMetadata.UIPageLayoutCircular,,,Whether or not the page layout wraps around at the ends.,Whether or not the page layout wraps around at the ends.,페이지 레이아웃이 프레임의 가장자리로 제한되는지에 대한 여부.,Будет ли макет страницы зацикливаться в конце.,页面布局是否在结尾处换行。
Studio.ReflectionMetadata.ReflectionMetadata.UIPageLayoutPadding,,,"Determines the amount that pages are separated from each other by. Can be set either using scale (Percentage of parent's size in the current direction) or offset (a static spacing value, similar to pixel size).","Determines the amount that pages are separated from each other by. Can be set either using scale (Percentage of parent's size in the current direction) or offset (a static spacing value, similar to pixel size).",각 페이지 사이를 구분하는 공간 크기를 결정합니다. 스케일(현재 방향의 부모 크기 백분율) 또는 오프셋(픽셀 크기와 유사한 정적 간격 값)을 사용하여 설정할 수 있습니다.,"Определяет расстояние, на которое страницы разделены друг от друга. Можно установить либо с помощью шкалы (процент от размера родительского элемента в текущем направлении), либо со смещением (статическое значение расстояния, аналогичное размеру пикселя).",决定页面彼此之间的分离量。可以使用比例 (父类在当前方向上的大小百分比) 或偏移 (一个静态间距值，类似于像素大小) 进行设置。
Studio.ReflectionMetadata.ReflectionMetadata.UIPageLayoutAnimated,,,Whether or not to animate transitions between pages.,Whether or not to animate transitions between pages.,페이지 간 전환에 애니메이션을 적용할지에 대한 여부.,Анимировать или нет переходы между страницами.,页面之间是否使用动画过渡。
Studio.ReflectionMetadata.ReflectionMetadata.UIPageLayoutEasingStyle,,,The easing style to use when performing an animation.,The easing style to use when performing an animation.,애니메이션을 실행할 때 사용하는 감속/가속 스타일.,"Стиль упрощения, используемого при выполнении анимации.",执行动画时使用的缓动风格。
Studio.ReflectionMetadata.ReflectionMetadata.UIPageLayoutEasingDirection,,,The easing direction to use when performing an animation.,The easing direction to use when performing an animation.,애니메이션을 실행할 때 사용하는 감속/가속 방향.,"Направление упрощения, используемого при выполнении анимации.",执行动画时使用的缓动方向。
Studio.ReflectionMetadata.ReflectionMetadata.UIPageLayoutTweenTime,,,The length of the animation.,The length of the animation.,애니메이션의 길이.,Длительность анимации.,动画的长度。
Studio.ReflectionMetadata.ReflectionMetadata.UIPageLayoutNext,,,"Sets CurrentPage to the page after the current page and animates to it, or does nothing if there isn't a next page.","Sets CurrentPage to the page after the current page and animates to it, or does nothing if there isn't a next page.",CurrentPage를 현재 페이지의 다음 페이지로 설정하고 애니메이션을 적용합니다. 다음 페이지가 없으면 아무 것도 수행하지 않습니다.,"Устанавливает значение CurrentPage на страницу после текущей и анимирует переход к ней. Ничего не делает, если следующей страницы нет.",将当前页面的下一页设为 CurrentPage 并执行动画至该页面，如果没有下一页则不执行任何操作。
Studio.ReflectionMetadata.ReflectionMetadata.UIPageLayoutPrevious,,,"Sets CurrentPage to the page after the current page and animates to it, or does nothing if there isn't a next page.","Sets CurrentPage to the page after the current page and animates to it, or does nothing if there isn't a next page.",CurrentPage를 현재 페이지의 다음 페이지로 설정하고 애니메이션을 적용합니다. 다음 페이지가 없으면 아무 것도 수행하지 않습니다.,"Устанавливает значение CurrentPage на страницу после текущей и анимирует переход к ней. Ничего не делает, если следующей страницы нет.",将当前页面的下一页设为 CurrentPage 并执行动画至该页面，如果没有下一页则不执行任何操作。
Studio.ReflectionMetadata.ReflectionMetadata.UIPageLayoutJumpTo,,,"If the instance is in the layout, then it sets CurrentPage to it and animtes to it. If circular layout is set, it will take the shortest path.","If the instance is in the layout, then it sets CurrentPage to it and animtes to it. If circular layout is set, it will take the shortest path.",인스턴스가 레이아웃에 있으면 CurrentPage를 인스턴스로 설정하고 애니메이션을 적용합니다. 원형 레이아웃이 설정되면 가장 짧은 경로가 사용됩니다.,"Если экземпляр находится в макете, то устанавливает значение CurrentPage на него и анимирует переход к нему. Если задан круглый макет, выбирается кратчайший путь.",如果实例位于布局中，则将其设为 CurrentPage 并执行动画至其位置。如果设置了环形布局，则会采用最短路径。
Studio.ReflectionMetadata.ReflectionMetadata.UIPageLayoutJumpToIndex,,,"If the index is >= 0 and less than the size of the layout, acts like JumpTo. If it's out of bounds and circular is set, it will animate the full distance between the in-bounds index of CurrentPage and the new index.","If the index is >= 0 and less than the size of the layout, acts like JumpTo. If it's out of bounds and circular is set, it will animate the full distance between the in-bounds index of CurrentPage and the new index.","인덱스가 >= 0이고 레이아웃의 크기보다 작은 경우 JumpTo처럼 작동합니다. 경계를 벗어났으며 원형 레이아웃이 설정되어 있으면, CurrentPage의 인바운드 인덱스와 새 인덱스 사이의 전체 거리에 애니메이션이 적용됩니다.","Если индекс >= 0 и меньше, чем размер макета, действует как JumpTo. Если находится вне границ и задан круглый макет, он анимирует полное расстояние между внутренним индексом индексом CurrentPage и новым индексом.",如果索引大于等于 0 且小于该布局的大小，表现为 JumpTo。如果超出边界且设置了环形布局，则执行 CurrentPage 的入口索引至新索引之间的全长动画。
