Key,Context,Example,Source,en-us
Studio.ReflectionMetadata.ReflectionMetadata.DataStoreService,,,Responsible for storing data across multiple user created places,Responsible for storing data across multiple user created places
Studio.ReflectionMetadata.ReflectionMetadata.DataStoreServiceGetDataStore,,,Returns a data store with the given name and scope,Returns a data store with the given name and scope
Studio.ReflectionMetadata.ReflectionMetadata.DataStoreServiceGetGlobalDataStore,,,Returns the default data store,Returns the default data store
Studio.ReflectionMetadata.ReflectionMetadata.DataStoreServiceGetOrderedDataStore,,,Returns an ordered data store with the given name and scope,Returns an ordered data store with the given name and scope
Studio.ReflectionMetadata.ReflectionMetadata.Debris,,,A service that provides utility in cleaning up objects,A service that provides utility in cleaning up objects
Studio.ReflectionMetadata.ReflectionMetadata.DebrisAddItem,,,Adds an Instance into the debris service that will later be destroyed.  Second argument 'lifetime' is optional and specifies how long (in seconds) to wait before destroying the item. If no time is specified then the item added will automatically be destroyed in 10 seconds.,Adds an Instance into the debris service that will later be destroyed.  Second argument 'lifetime' is optional and specifies how long (in seconds) to wait before destroying the item. If no time is specified then the item added will automatically be destroyed in 10 seconds.
Studio.ReflectionMetadata.ReflectionMetadata.DebrisLCaddItem,,,Use AddItem() instead,Use AddItem() instead
Studio.ReflectionMetadata.ReflectionMetadata.DebrisMaxItems,,,Deprecated. No replacement,Deprecated. No replacement
Studio.ReflectionMetadata.ReflectionMetadata.Decal,,,Describes a texture that is placed on one of the sides of the Part it is parented to.,Describes a texture that is placed on one of the sides of the Part it is parented to.
Studio.ReflectionMetadata.ReflectionMetadata.DecalFace,,,Describes the face of the Part the decal will be applied to. <a href='http://wiki.roblox.com/index.php/NormalId' target='_blank'>More info</a>,Describes the face of the Part the decal will be applied to. <a href='http://wiki.roblox.com/index.php/NormalId' target='_blank'>More info</a>
Studio.ReflectionMetadata.ReflectionMetadata.DecalShiny,,,How much light will appear to reflect off of the decal.,How much light will appear to reflect off of the decal.
Studio.ReflectionMetadata.ReflectionMetadata.DecalSpecular,,,How light will react to the surface of the decal.,How light will react to the surface of the decal.
Studio.ReflectionMetadata.ReflectionMetadata.DecalTransparency,,,"How visible the decal is.  1 is completely invisible, while 0 is completely opaque","How visible the decal is.  1 is completely invisible, while 0 is completely opaque"
Studio.ReflectionMetadata.ReflectionMetadata.DepthOfFieldEffect,,,Depth based blur (Depth of Field) effect.,Depth based blur (Depth of Field) effect.
Studio.ReflectionMetadata.ReflectionMetadata.DepthOfFieldEffectFarIntensity,,,"Maximum intensity of the far blur -the higher the Intensity, the stronger the blur is allowed to reach.","Maximum intensity of the far blur -the higher the Intensity, the stronger the blur is allowed to reach."
Studio.ReflectionMetadata.ReflectionMetadata.DepthOfFieldEffectFocusDistance,,,Controls the distance in stud units away from the camera where are in focus.,Controls the distance in stud units away from the camera where are in focus.
Studio.ReflectionMetadata.ReflectionMetadata.DepthOfFieldEffectInFocusRadius,,,Controls the distance in stud units away from the FocusDistance where both in front and behind objects can begin to blur.,Controls the distance in stud units away from the FocusDistance where both in front and behind objects can begin to blur.
Studio.ReflectionMetadata.ReflectionMetadata.DepthOfFieldEffectNearIntensity,,,"Maximum intensity of the near blur -the higher the Intensity, the stronger the blur is allowed to reach.","Maximum intensity of the near blur -the higher the Intensity, the stronger the blur is allowed to reach."
Studio.ReflectionMetadata.ReflectionMetadata.Dialog,,,An object used to make dialog trees to converse with players,An object used to make dialog trees to converse with players
Studio.ReflectionMetadata.ReflectionMetadata.DialogBehaviorType,,,"Indicates how the dialog may be used by players. Use Enum.DialogBehaviorType.SinglePlayer if only one player should interact with the dialog at a time, otherwise use Enum.DialogBehaviorType.MultiplePlayers.","Indicates how the dialog may be used by players. Use Enum.DialogBehaviorType.SinglePlayer if only one player should interact with the dialog at a time, otherwise use Enum.DialogBehaviorType.MultiplePlayers."
Studio.ReflectionMetadata.ReflectionMetadata.DialogChoice,,,An object used to make dialog trees to converse with players,An object used to make dialog trees to converse with players
Studio.ReflectionMetadata.ReflectionMetadata.DialogConversationDistance,,,The maximum distance that the player's character can be from the dialog's parent in order to use the dialog.,The maximum distance that the player's character can be from the dialog's parent in order to use the dialog.
Studio.ReflectionMetadata.ReflectionMetadata.DialogGetCurrentPlayers,,,Returns an array of the players currently conversing with this dialog.,Returns an array of the players currently conversing with this dialog.
Studio.ReflectionMetadata.ReflectionMetadata.DialogGoodbyeChoiceActive,,,Indicates whether or not an extra choice is available for the player to exit the dialog tree at this node.,Indicates whether or not an extra choice is available for the player to exit the dialog tree at this node.
Studio.ReflectionMetadata.ReflectionMetadata.DialogGoodbyeDialog,,,The prompt text for an extra choice that allows the player to exit the dialog tree at this node.,The prompt text for an extra choice that allows the player to exit the dialog tree at this node.
Studio.ReflectionMetadata.ReflectionMetadata.DialogInUse,,,Indicates whether or not the dialog is currently being used by one or more players.,Indicates whether or not the dialog is currently being used by one or more players.
Studio.ReflectionMetadata.ReflectionMetadata.DialogInitialPrompt,,,The chat message that is displayed to the player when they first activate the dialog.,The chat message that is displayed to the player when they first activate the dialog.
Studio.ReflectionMetadata.ReflectionMetadata.DialogPurpose,,,"Describes the purpose of the dialog, which is used to display a relevant icon on the dialog's activation button.","Describes the purpose of the dialog, which is used to display a relevant icon on the dialog's activation button."
Studio.ReflectionMetadata.ReflectionMetadata.DialogTone,,,"Describes the tone of the dialog, which is used to display a relevant color in the dialog interface.","Describes the tone of the dialog, which is used to display a relevant color in the dialog interface."
Studio.ReflectionMetadata.ReflectionMetadata.DistortionSoundEffect,,,A Distortion audio effect that can be applied to a Sound or SoundGroup.,A Distortion audio effect that can be applied to a Sound or SoundGroup.
Studio.ReflectionMetadata.ReflectionMetadata.DoubleConstrainedValue,,,Stores a double value in it's Value member.  Value is clamped to be in range of Min and MaxValue. Useful to share double information across multiple scripts.,Stores a double value in it's Value member.  Value is clamped to be in range of Min and MaxValue. Useful to share double information across multiple scripts.
Studio.ReflectionMetadata.ReflectionMetadata.DoubleConstrainedValueMaxValue,,,"The maximum we allow this Value to be set.  If Value is set higher than this, it automatically gets adjusted to MaxValue","The maximum we allow this Value to be set.  If Value is set higher than this, it automatically gets adjusted to MaxValue"
Studio.ReflectionMetadata.ReflectionMetadata.DoubleConstrainedValueMinValue,,,"The minimum we allow this Value to be set.  If Value is set lower than this, it automatically gets adjusted to MinValue","The minimum we allow this Value to be set.  If Value is set lower than this, it automatically gets adjusted to MinValue"
Studio.ReflectionMetadata.ReflectionMetadata.EchoSoundEffect,,,An echo audio effect that can be applied to a Sound or SoundGroup.,An echo audio effect that can be applied to a Sound or SoundGroup.
Studio.ReflectionMetadata.ReflectionMetadata.EqualizerSoundEffect,,,An Three-band Equalizer audio effect that can be applied to a Sound or SoundGroup.,An Three-band Equalizer audio effect that can be applied to a Sound or SoundGroup.
Studio.ReflectionMetadata.ReflectionMetadata.Explosion,,,"Creates an Explosion! This can be used as a purely graphical effect, or can be made to damage objects.","Creates an Explosion! This can be used as a purely graphical effect, or can be made to damage objects."
Studio.ReflectionMetadata.ReflectionMetadata.ExplosionBlastPressure,,,How much force this Explosion exerts on objects within it's BlastRadius. Setting this to 0 creates a purely graphical effect. A larger number will cause Parts to fly away at higher velocities.,How much force this Explosion exerts on objects within it's BlastRadius. Setting this to 0 creates a purely graphical effect. A larger number will cause Parts to fly away at higher velocities.
Studio.ReflectionMetadata.ReflectionMetadata.ExplosionBlastRadius,,,"How big the Explosion is. This is a circle starting from the center of the Explosion's Position, the larger this property the larger the circle of destruction.","How big the Explosion is. This is a circle starting from the center of the Explosion's Position, the larger this property the larger the circle of destruction."
Studio.ReflectionMetadata.ReflectionMetadata.ExplosionExplosionType,,,Defines the behavior of the Explosion. <a href='http://wiki.roblox.com/index.php/ExplosionType' target='_blank'>More info</a>,Defines the behavior of the Explosion. <a href='http://wiki.roblox.com/index.php/ExplosionType' target='_blank'>More info</a>
Studio.ReflectionMetadata.ReflectionMetadata.ExplosionPosition,,,Where the Explosion occurs in absolute world coordinates.,Where the Explosion occurs in absolute world coordinates.
Studio.ReflectionMetadata.ReflectionMetadata.Fire,,,Makes the parent part or model object emit fire,Makes the parent part or model object emit fire
Studio.ReflectionMetadata.ReflectionMetadata.FireColor,,,The color of the base of the fire.  See SecondaryColor for more.,The color of the base of the fire.  See SecondaryColor for more.
Studio.ReflectionMetadata.ReflectionMetadata.FireHeat,,,How hot the fire appears to be. The flame moves quicker the higher this value is set.,How hot the fire appears to be. The flame moves quicker the higher this value is set.
Studio.ReflectionMetadata.ReflectionMetadata.FireSecondaryColor,,,"The color the fire interpolates to from Color. The longer a particle exists in the fire, the close to this color it becomes.","The color the fire interpolates to from Color. The longer a particle exists in the fire, the close to this color it becomes."
Studio.ReflectionMetadata.ReflectionMetadata.FireSize,,,How large the fire appears to be.,How large the fire appears to be.
Studio.ReflectionMetadata.ReflectionMetadata.FlagCanBeDropped,,,"If someone is carrying this flag, this bool determines whether or not they can drop it and run.","If someone is carrying this flag, this bool determines whether or not they can drop it and run."
Studio.ReflectionMetadata.ReflectionMetadata.FlagTeamColor,,,The Team this flag is for. Corresponds with the TeamColors in the Teams service.,The Team this flag is for. Corresponds with the TeamColors in the Teams service.
Studio.ReflectionMetadata.ReflectionMetadata.FlangeSoundEffect,,,A Flanging audio effect that can be applied to a Sound or SoundGroup.,A Flanging audio effect that can be applied to a Sound or SoundGroup.
Studio.ReflectionMetadata.ReflectionMetadata.FloorWire,,,Renders a thin cylinder than can be adorned with textures that 'flow' from one object to the next. Has basic pathing abilities and attempts to to not intersect anything. <a href='http://wiki.roblox.com/index.php/FloorWire_Guide' target='_blank'>More info</a>,Renders a thin cylinder than can be adorned with textures that 'flow' from one object to the next. Has basic pathing abilities and attempts to to not intersect anything. <a href='http://wiki.roblox.com/index.php/FloorWire_Guide' target='_blank'>More info</a>
Studio.ReflectionMetadata.ReflectionMetadata.FloorWireCycleOffset,,,Controls how the decals are positioned along the wire. <a href='http://wiki.roblox.com/index.php/CycleOffset' target='_blank'>More info</a>,Controls how the decals are positioned along the wire. <a href='http://wiki.roblox.com/index.php/CycleOffset' target='_blank'>More info</a>
Studio.ReflectionMetadata.ReflectionMetadata.FloorWireFrom,,,The object the FloorWire 'emits' from,The object the FloorWire 'emits' from
Studio.ReflectionMetadata.ReflectionMetadata.FloorWireStudsBetweenTextures,,,The space between two textures on the wire. Note: studs are relative depending on how far the camera is from the FloorWire.,The space between two textures on the wire. Note: studs are relative depending on how far the camera is from the FloorWire.
Studio.ReflectionMetadata.ReflectionMetadata.FloorWireTexture,,,The image we use to render the textures that flow from beginning to end of the FloorWire.,The image we use to render the textures that flow from beginning to end of the FloorWire.
Studio.ReflectionMetadata.ReflectionMetadata.FloorWireTextureSize,,,The size in studs of the Texture we use to flow from one object to the next.,The size in studs of the Texture we use to flow from one object to the next.
Studio.ReflectionMetadata.ReflectionMetadata.FloorWireTo,,,The object the FloorWire 'emits' to,The object the FloorWire 'emits' to
Studio.ReflectionMetadata.ReflectionMetadata.FloorWireVelocity,,,The rate of travel that the textures flow along the wire.,The rate of travel that the textures flow along the wire.
Studio.ReflectionMetadata.ReflectionMetadata.FloorWireWireRadius,,,How thick the wire is.,How thick the wire is.
Studio.ReflectionMetadata.ReflectionMetadata.Folder,,,An object that can be created to hold and organize objects,An object that can be created to hold and organize objects
Studio.ReflectionMetadata.ReflectionMetadata.ForceField,,,"Prevents joint breakage from explosions, and stops Humanoids from taking damage","Prevents joint breakage from explosions, and stops Humanoids from taking damage"
Studio.ReflectionMetadata.ReflectionMetadata.Frame,,,A container object used to layout other GUI objects,A container object used to layout other GUI objects
Studio.ReflectionMetadata.ReflectionMetadata.FrameStyle,,,Determines how a frame will look. Uses Enum.FrameStyle. <a href='http://wiki.roblox.com/index.php?title=API:Enum/FrameStyle' target='_blank'>More info</a>,Determines how a frame will look. Uses Enum.FrameStyle. <a href='http://wiki.roblox.com/index.php?title=API:Enum/FrameStyle' target='_blank'>More info</a>
Studio.ReflectionMetadata.ReflectionMetadata.FunctionalTest,,,Deprecated. Use TestService instead,Deprecated. Use TestService instead
Studio.ReflectionMetadata.ReflectionMetadata.GlobalDataStore,,,Exposes functions for saving and loading data for the DataStoreService,Exposes functions for saving and loading data for the DataStoreService
Studio.ReflectionMetadata.ReflectionMetadata.GlobalDataStoreGetAsync,,,Returns the value of the entry in the DataStore with the given key,Returns the value of the entry in the DataStore with the given key
Studio.ReflectionMetadata.ReflectionMetadata.GlobalDataStoreIncrementAsync,,,Increments the value of a particular key amd returns the incremented value,Increments the value of a particular key amd returns the incremented value
Studio.ReflectionMetadata.ReflectionMetadata.GlobalDataStoreOnUpdate,,,Sets callback as a function to be executed any time the value associated with key is changed. It is important to disconnect the connection when the subscription to the key is no longer needed.,Sets callback as a function to be executed any time the value associated with key is changed. It is important to disconnect the connection when the subscription to the key is no longer needed.
Studio.ReflectionMetadata.ReflectionMetadata.GlobalDataStoreSetAsync,,,Sets the value of the key. This overwrites any existing data stored in the key,Sets the value of the key. This overwrites any existing data stored in the key
Studio.ReflectionMetadata.ReflectionMetadata.GlobalDataStoreUpdateAsync,,,"Retrieves the value of the key from the website, and updates it with a new value. The callback until the value fetched matches the value on the web. Returning nil means it will not save.","Retrieves the value of the key from the website, and updates it with a new value. The callback until the value fetched matches the value on the web. Returning nil means it will not save."
Studio.ReflectionMetadata.ReflectionMetadata.GuiBase2dAbsolutePosition,,,"A read-only Vector2 value that is the GuiObject's current position (x,y) in pixel space, from the top left corner of the GuiObject.","A read-only Vector2 value that is the GuiObject's current position (x,y) in pixel space, from the top left corner of the GuiObject."
Studio.ReflectionMetadata.ReflectionMetadata.GuiBase2dAbsoluteSize,,,"A read-only Vector2 value that is the GuiObject's current size (width, height) in pixel space.","A read-only Vector2 value that is the GuiObject's current size (width, height) in pixel space."
Studio.ReflectionMetadata.ReflectionMetadata.GuiButton,,,A GUI button containing an Image,A GUI button containing an Image
Studio.ReflectionMetadata.ReflectionMetadata.GuiButtonAutoButtonColor,,,Determines whether a button changes color automatically when reacting to mouse events.,Determines whether a button changes color automatically when reacting to mouse events.
Studio.ReflectionMetadata.ReflectionMetadata.GuiButtonModal,,,"Allows the mouse to be free in first person mode. If a button with this property set to true is visible, the mouse is 'free' in first person mode.","Allows the mouse to be free in first person mode. If a button with this property set to true is visible, the mouse is 'free' in first person mode."
Studio.ReflectionMetadata.ReflectionMetadata.GuiButtonMouseButton1Click,,,"Fired when the mouse is over the button, and the mouse down and up events fire without the mouse leaving the button.","Fired when the mouse is over the button, and the mouse down and up events fire without the mouse leaving the button."
Studio.ReflectionMetadata.ReflectionMetadata.GuiButtonMouseButton1Down,,,Fired when the mouse button is pushed down on a button.,Fired when the mouse button is pushed down on a button.
Studio.ReflectionMetadata.ReflectionMetadata.GuiButtonMouseButton1Up,,,Fired when the mouse button is released on a button.,Fired when the mouse button is released on a button.
Studio.ReflectionMetadata.ReflectionMetadata.GuiButtonMouseButton2Click,,,This function currently does not work :(,This function currently does not work :(
Studio.ReflectionMetadata.ReflectionMetadata.GuiButtonMouseButton2Down,,,This function currently does not work :(,This function currently does not work :(
Studio.ReflectionMetadata.ReflectionMetadata.GuiButtonMouseButton2Up,,,This function currently does not work :(,This function currently does not work :(
Studio.ReflectionMetadata.ReflectionMetadata.GuiButtonStyle,,,"Determines how a button will look, including mouse event states. Uses Enum.ButtonStyle. <a href='http://wiki.roblox.com/index.php?title=API:Class/GuiButton/Style' target='_blank'>More info</a>","Determines how a button will look, including mouse event states. Uses Enum.ButtonStyle. <a href='http://wiki.roblox.com/index.php?title=API:Class/GuiButton/Style' target='_blank'>More info</a>"
Studio.ReflectionMetadata.ReflectionMetadata.GuiMain,,,"Deprecated, please use ScreenGui","Deprecated, please use ScreenGui"
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectActive,,,"If true, this GuiObject can fire mouse events and will pass them to any GuiObjects layered underneath, while false will do neither.","If true, this GuiObject can fire mouse events and will pass them to any GuiObjects layered underneath, while false will do neither."
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectBackgroundColor,,,Deprecated. Use BackgroundColor3 instead,Deprecated. Use BackgroundColor3 instead
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectBackgroundColor3,,,A Color3 value that specifies the background color for the GuiObject. This value is ignored if the Style property (not found on all GuiObjects) is set to something besides custom.,A Color3 value that specifies the background color for the GuiObject. This value is ignored if the Style property (not found on all GuiObjects) is set to something besides custom.
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectBackgroundTransparency,,,A number value that specifies how transparent the background of the GuiObject is. This value is ignored if the Style property (not found on all GuiObjects) is set to something besides custom.,A number value that specifies how transparent the background of the GuiObject is. This value is ignored if the Style property (not found on all GuiObjects) is set to something besides custom.
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectBorderColor,,,Deprecated. Use BorderColor3 instead,Deprecated. Use BorderColor3 instead
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectBorderColor3,,,A Color3 value that specifies the color of the outline of the GuiObject. This value is ignored if the Style property (not found on all GuiObjects) is set to something besides custom.,A Color3 value that specifies the color of the outline of the GuiObject. This value is ignored if the Style property (not found on all GuiObjects) is set to something besides custom.
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectBorderSizePixel,,,"A number value that specifies the thickness (in pixels) of the outline of the GuiObject. Currently this value can only be set to either 0 or 1, any other number has no effect. This value is ignored if the Style property (not found on all GuiObjects) is set to something besides custom.","A number value that specifies the thickness (in pixels) of the outline of the GuiObject. Currently this value can only be set to either 0 or 1, any other number has no effect. This value is ignored if the Style property (not found on all GuiObjects) is set to something besides custom."
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectClipsDescendants,,,"If set to true, any descendants of this GuiObject will only render if contained within it's borders. If set to false, all descendants will render regardless of position.","If set to true, any descendants of this GuiObject will only render if contained within it's borders. If set to false, all descendants will render regardless of position."
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectDragBegin,,,Fired when a GuiObject with Draggable set to true starts to be dragged. 'InitialPosition' is a UDim2 value of the position of the GuiObject before any drag operation began.,Fired when a GuiObject with Draggable set to true starts to be dragged. 'InitialPosition' is a UDim2 value of the position of the GuiObject before any drag operation began.
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectDragStopped,,,"Always fired after a DragBegin event, DragStopped is fired when the user releases the mouse button causing a drag operation on the GuiObject. Arguments 'x', and 'y' specify the top-left absolute position of the GuiObject when the event is fired.","Always fired after a DragBegin event, DragStopped is fired when the user releases the mouse button causing a drag operation on the GuiObject. Arguments 'x', and 'y' specify the top-left absolute position of the GuiObject when the event is fired."
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectDraggable,,,"If true, allows a GuiObject to be dragged by the user's mouse. The events 'DragBegin' and 'DragStopped' are fired when the appropriate action happens, and only will fire on Draggable=true GuiObjects.","If true, allows a GuiObject to be dragged by the user's mouse. The events 'DragBegin' and 'DragStopped' are fired when the appropriate action happens, and only will fire on Draggable=true GuiObjects."
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectInputBegan,,,"Fired when a user begins interacting via a Human-Computer Interface device (Mouse button down, touch begin, keyboard button down, etc.). 'inputObject' is an InputObject, which contains useful data for querying user input.  This event only fires locally.","Fired when a user begins interacting via a Human-Computer Interface device (Mouse button down, touch begin, keyboard button down, etc.). 'inputObject' is an InputObject, which contains useful data for querying user input.  This event only fires locally."
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectInputChanged,,,"Fired when a user changes interacting via a Human-Computer Interface device (Mouse move, touch move, mouse wheel, etc.). 'inputObject' is an InputObject, which contains useful data for querying user input.  This event only fires locally.","Fired when a user changes interacting via a Human-Computer Interface device (Mouse move, touch move, mouse wheel, etc.). 'inputObject' is an InputObject, which contains useful data for querying user input.  This event only fires locally."
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectInputEnded,,,"Fired when a user stops interacting via a Human-Computer Interface device (Mouse button up, touch end, keyboard button up, etc.). 'inputObject' is an InputObject, which contains useful data for querying user input.  This event only fires locally.","Fired when a user stops interacting via a Human-Computer Interface device (Mouse button up, touch end, keyboard button up, etc.). 'inputObject' is an InputObject, which contains useful data for querying user input.  This event only fires locally."
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectMouseEnter,,,"Fired when the mouse enters a GuiObject, as long as the GuiObject is active (see active property for more detail). Arguments 'x', and 'y' specify the absolute pixel position of the mouse.","Fired when the mouse enters a GuiObject, as long as the GuiObject is active (see active property for more detail). Arguments 'x', and 'y' specify the absolute pixel position of the mouse."
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectMouseLeave,,,"Fired when the mouse leaves a GuiObject, as long as the GuiObject is active (see active property for more detail). Arguments 'x', and 'y' specify the absolute pixel position of the mouse.","Fired when the mouse leaves a GuiObject, as long as the GuiObject is active (see active property for more detail). Arguments 'x', and 'y' specify the absolute pixel position of the mouse."
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectMouseMoved,,,"Fired when the mouse is inside a GuiObject and moves, as long as the GuiObject is active (see active property for more detail). Arguments 'x', and 'y' specify the absolute pixel position of the mouse.","Fired when the mouse is inside a GuiObject and moves, as long as the GuiObject is active (see active property for more detail). Arguments 'x', and 'y' specify the absolute pixel position of the mouse."
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectPosition,,,A UDim2 value describing the position of the top-left corner of the GuiObject on screen. More information on UDim2 is available <a href='http://wiki.roblox.com/index.php/UDim2' target='_blank'>here</a>.,A UDim2 value describing the position of the top-left corner of the GuiObject on screen. More information on UDim2 is available <a href='http://wiki.roblox.com/index.php/UDim2' target='_blank'>here</a>.
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectSelectionImageObject,,,"Overrides the default selection adornment (used for gamepads). For best results, this should point to a GuiObject.","Overrides the default selection adornment (used for gamepads). For best results, this should point to a GuiObject."
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectSize,,,A UDim2 value describing the size of the GuiObject on screen in both absolute and relative coordinates. More information on UDim2 is available <a href='http://wiki.roblox.com/index.php/UDim2' target='_blank'>here</a>.,A UDim2 value describing the size of the GuiObject on screen in both absolute and relative coordinates. More information on UDim2 is available <a href='http://wiki.roblox.com/index.php/UDim2' target='_blank'>here</a>.
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectSizeConstraint,,,The direction(s) that an object can be resized in. <a href='http://wiki.roblox.com/index.php/SizeConstraint' target='_blank'>More info</a>.,The direction(s) that an object can be resized in. <a href='http://wiki.roblox.com/index.php/SizeConstraint' target='_blank'>More info</a>.
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectTouchLongPress,,,"Fired when a user holds at least one finger for a short amount of time on the same screen position on a TouchEnabled device. 'touchPositions' is a Lua array of Vector2, each indicating the position of all the fingers involved in the gesture. 'state' indicates the Enum.UserInputState of the gesture.  This event only fires locally.","Fired when a user holds at least one finger for a short amount of time on the same screen position on a TouchEnabled device. 'touchPositions' is a Lua array of Vector2, each indicating the position of all the fingers involved in the gesture. 'state' indicates the Enum.UserInputState of the gesture.  This event only fires locally."
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectTouchPan,,,"Fired when a user drags at least one finger on a TouchEnabled device. 'touchPositions' is a Lua array of Vector2, each indicating the position of all the fingers involved in the gesture. 'totalTranslation' is a Vector2, indicating how far the pan gesture has gone from its starting point. 'velocity' is a Vector2 that indicates how quickly the gesture is being performed in each dimension. 'state' indicates the Enum.UserInputState of the gesture.","Fired when a user drags at least one finger on a TouchEnabled device. 'touchPositions' is a Lua array of Vector2, each indicating the position of all the fingers involved in the gesture. 'totalTranslation' is a Vector2, indicating how far the pan gesture has gone from its starting point. 'velocity' is a Vector2 that indicates how quickly the gesture is being performed in each dimension. 'state' indicates the Enum.UserInputState of the gesture."
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectTouchPinch,,,"Fired when a user pinches their fingers on a TouchEnabled device. 'touchPositions' is a Lua array of Vector2, each indicating the position of all the fingers involved in the pinch gesture. 'scale' is a float that indicates the difference from the beginning of the pinch gesture. 'velocity' is a float indicating how quickly the pinch gesture is happening. 'state' indicates the Enum.UserInputState of the gesture.  This event only fires locally.","Fired when a user pinches their fingers on a TouchEnabled device. 'touchPositions' is a Lua array of Vector2, each indicating the position of all the fingers involved in the pinch gesture. 'scale' is a float that indicates the difference from the beginning of the pinch gesture. 'velocity' is a float indicating how quickly the pinch gesture is happening. 'state' indicates the Enum.UserInputState of the gesture.  This event only fires locally."
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectTouchRotate,,,"Fired when a user rotates two fingers on a TouchEnabled device. 'touchPositions' is a Lua array of Vector2, each indicating the position of all the fingers involved in the gesture. 'rotation' is a float indicating how much the rotation has gone from the start of the gesture. 'velocity' is a float that indicates how quickly the gesture is being performed. 'state' indicates the Enum.UserInputState of the gesture.  This event only fires locally.","Fired when a user rotates two fingers on a TouchEnabled device. 'touchPositions' is a Lua array of Vector2, each indicating the position of all the fingers involved in the gesture. 'rotation' is a float indicating how much the rotation has gone from the start of the gesture. 'velocity' is a float that indicates how quickly the gesture is being performed. 'state' indicates the Enum.UserInputState of the gesture.  This event only fires locally."
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectTouchSwipe,,,"Fired when a user swipes their fingers on a TouchEnabled device. 'swipeDirection' is an Enum.SwipeDirection, indicating the direction the user swiped. 'numberOfTouches' is an int that indicates how many touches were involved with the gesture.  This event only fires locally.","Fired when a user swipes their fingers on a TouchEnabled device. 'swipeDirection' is an Enum.SwipeDirection, indicating the direction the user swiped. 'numberOfTouches' is an int that indicates how many touches were involved with the gesture.  This event only fires locally."
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectTouchTap,,,"Fired when a user taps their finger on a TouchEnabled device. 'touchPositions' is a Lua array of Vector2, each indicating the position of all the fingers involved in the tap gesture. This event only fires locally.  This event will always fire regardless of game state.","Fired when a user taps their finger on a TouchEnabled device. 'touchPositions' is a Lua array of Vector2, each indicating the position of all the fingers involved in the tap gesture. This event only fires locally.  This event will always fire regardless of game state."
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectTweenPosition,,,Smoothly moves a GuiObject from its current position to 'endPosition'. The only required argument is 'endPosition'. <a href='http://wiki.roblox.com/index.php/TweenPosition' target='_blank'>More info</a>,Smoothly moves a GuiObject from its current position to 'endPosition'. The only required argument is 'endPosition'. <a href='http://wiki.roblox.com/index.php/TweenPosition' target='_blank'>More info</a>
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectTweenSize,,,Smoothly translates a GuiObject's current size to 'endSize'. The only required argument is 'endSize'. <a href='http://wiki.roblox.com/index.php/TweenSize' target='_blank'>More info</a>,Smoothly translates a GuiObject's current size to 'endSize'. The only required argument is 'endSize'. <a href='http://wiki.roblox.com/index.php/TweenSize' target='_blank'>More info</a>
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectTweenSizeAndPosition,,,"Smoothly translates a GuiObject's current size to 'endSize', and also smoothly translates the GuiObject's current position to 'endPosition'. The only required arguments are 'endSize' and 'endPosition'. <a href='http://wiki.roblox.com/index.php/TweenSizeAndPosition' target='_blank'>More info</a>","Smoothly translates a GuiObject's current size to 'endSize', and also smoothly translates the GuiObject's current position to 'endPosition'. The only required arguments are 'endSize' and 'endPosition'. <a href='http://wiki.roblox.com/index.php/TweenSizeAndPosition' target='_blank'>More info</a>"
Studio.ReflectionMetadata.ReflectionMetadata.GuiObjectZIndex,,,"Describes the ordering in which overlapping GuiObjects will be drawn. A value of 1 is drawn first, while higher values are drawn in ascending order (each value draws over the last).","Describes the ordering in which overlapping GuiObjects will be drawn. A value of 1 is drawn first, while higher values are drawn in ascending order (each value draws over the last)."
