Studio.App.RBXMainWindow.InsertFromFileElps,,,Insert from File...,Insert from File...,파일에서 삽입...,Вставить из файла...,从文件插入...
Studio.App.RBXMainWindow.InsertModels,,,Insert Models,Insert Models,모델 삽입,Вставить модели,插入模型
Studio.App.RBXMainWindow.InsertObject,,,Insert Object,Insert Object,개체 삽입,Вставить объект,插入对象
Studio.App.RBXMainWindow.InsertObjectsFromWeb,,,Insert Objects from Web,Insert Objects from Web,웹에서 개체 삽입,Вставить объекты из Интернета,从网页插入对象
Studio.App.RBXMainWindow.InsertObjectsWidgetExplorer,,,Open insert objects widget in explorer,Open insert objects widget in explorer,탐색기에서 개체 삽입 위젯 열기,Открыть виджет вставки объектов в проводнике,在资源管理器中打开插入对象控件
Studio.App.RBXMainWindow.InsertServices,,,Insert Services.,Insert Services.,서비스 삽입.,Вставка услуг.,插入服务。
Studio.App.RBXMainWindow.InstanceDump,,,Instance Dump,Instance Dump,인스턴스 덤프,Дамп экземпляра,实例转储
Studio.App.RBXMainWindow.JumpsToFunction,,,Jumps to the function after filter,Jumps to the function after filter,필터링 후 해당 함수로 이동,Переход к функции после фильтрации,跳转至筛选后函数
Studio.App.RBXMainWindow.JumpsToVariable,,,Jumps to the declaration of the variable,Jumps to the declaration of the variable,변수의 선언으로 이동,Переход к объявлению переменной,跳转至变量声明
Studio.App.RBXMainWindow.LaunchSoloMode,,,Launch Studio in Solo Player Mode,Launch Studio in Solo Player Mode,싱글 플레이어 모드로 Studio 시작,Запуск Studio в одиночном режиме игры,以单人玩家模式启动 Studio
Studio.App.RBXMainWindow.LaunchStudioInPlayerMode,,,Launch Studio in Player Mode,Launch Studio in Player Mode,플레이어 모드로 Studio 시작,Запуск Studio в режиме Player,以玩家模式启动 Studio
Studio.App.RBXMainWindow.LaunchStudioInServerMode,,,Launch Studio in Server Mode,Launch Studio in Server Mode,서버 모드로 Studio 시작,Запуск Studio в режиме Server,以服务器模式启动 Studio
Studio.App.RBXMainWindow.LoadFromCSVElps,,,Load from CSV...,Load from CSV...,CSV에서 불러오기...,Загрузка из CSV...,从 CSV 加载...
Studio.App.RBXMainWindow.LoadLocalizationTableEntriesFromCSV,,,Load LocalizationTable entries from a CSV file,Load LocalizationTable entries from a CSV file,CSV 파일에서 LocalizationTable 항목 불러오기,Загрузить записи LocalizationTable из файла CSV,从 CSV 文件加载本地化表格条目
Studio.App.RBXMainWindow.LoadLocalizationTableFromCSV,,,Load LocalizationTable from CSV file...,Load LocalizationTable from CSV file...,CSV 파일에서 LocalizationTable 불러오기...,Загрузить LocalizationTable из файла CSV,从 CSV 文件加载本地化表格...
Studio.App.RBXMainWindow.LockObjects,,,Lock objects,Lock objects,개체 잠금,Заблокировать объекты,锁定对象
Studio.App.RBXMainWindow.LockPreventSelection,,,Lock - prevent selection,Lock - prevent selection,잠금 - 선택 방지,Блокировка - объект нельзя выбрать,锁定 - 防止选择
Studio.App.RBXMainWindow.ManageDevicesElps,,,Manage Devices...,Manage Devices...,기기 관리...,Управление устройствами....,管理设备...
Studio.App.RBXMainWindow.ManageEmulatedDevices,,,Manage emulated devices,Manage emulated devices,에뮬레이션된 기기 관리,Управление эмулируемыми устройствами,管理模拟设备
Studio.App.RBXMainWindow.ManagePlugins,,,Manage Plugins,Manage Plugins,플러그인 관리,Управление плагинами,管理插件
Studio.App.RBXMainWindow.MassUpdateAllPackages,,,Mass Update All Packages in Current Place,Mass Update All Packages in Current Place,현재 플레이스에 모든 패키지 대량 업데이트,Массовое обновление всех пакетов в открытом месте,批量更新当前场景的所有包
Studio.App.RBXMainWindow.ModelElps,,,Model...,Model...,모델...,Модель...,模型...
Studio.App.RBXMainWindow.MotorOnSurface,,,Motor on Surface,Motor on Surface,표면의 모터,Двигатель на поверхности,表面转子
Studio.App.RBXMainWindow.MoveDown,,,Move Down,Move Down,아래로 이동,Переместить вниз,下移
Studio.App.RBXMainWindow.MoveEdit,,,Move - Edit,Move - Edit,이동 - 편집,Перемещение - Редактирование,移动 - 编辑
Studio.App.RBXMainWindow.MoveObjectsDown,,,Move objects down,Move objects down,개체를 아래로 이동,Переместить объекты вниз,下移对象
Studio.App.RBXMainWindow.MoveObjectsUp,,,Move objects up,Move objects up,개체를 위로 이동,Переместить объекты вверх,上移对象
Studio.App.RBXMainWindow.MoveParts,,,Move Parts,Move Parts,파트 이동,Переместить детали,移动部件
Studio.App.RBXMainWindow.MoveToggle,,,Move - Toggle,Move - Toggle,이동 - 토글,Перемещение - Переключение,移动 - 切换
Studio.App.RBXMainWindow.MoveTool,,,Move Tool,Move Tool,이동 도구,Инструмент перемещения,移动工具
Studio.App.RBXMainWindow.MoveUp,,,Move Up,Move Up,위로 이동,Переместить вверх,上移
Studio.App.RBXMainWindow.MoveUpBrick,,,Move Up Brick,Move Up Brick,벽돌 위로 이동,Переместить вверх на один кирпич,上移砖块
Studio.App.RBXMainWindow.Negate,,,Negate,Negate,무효화,Убрать,镂空
Studio.App.RBXMainWindow.NegateSelection,,,Negate Selection,Negate Selection,선택 항목 무효화,Инвертировать выбор,镂空选择内容
Studio.App.RBXMainWindow.NetworkSimulator,,,Network Simulator,Network Simulator,네트워크 시뮬레이터,Сетевой симулятор,网络模拟器
Studio.App.RBXMainWindow.NetworkStats,,,Network Stats,Network Stats,네트워크 상태,Сетевая статистика,网络统计
Studio.App.RBXMainWindow.Never,,,Never,Never,안 함,Никогда,从不
Studio.App.RBXMainWindow.NeverBreakErrorsIntoDebugger,,,Never break errors into debugger,Never break errors into debugger,절대 오류를 디버거로 중단하지 않음,Никогда не переходить в отладчик в случае ошибки,不将错误中断至调试器
Studio.App.RBXMainWindow.NeverJoinPartsAutomatically,,,Never join parts automatically,Never join parts automatically,절대 파트를 자동으로 잇지 않음,Никогда не соединять детали автоматически,从不自动结合部件
Studio.App.RBXMainWindow.ObjectBrowser,,,Object Browser,Object Browser,개체 브라우저,Обозреватель объектов,对象浏览器
Studio.App.RBXMainWindow.OnAllExceptions,,,On All Exceptions,On All Exceptions,모든 예외에서,При любых исключениях,响应所有异常
Studio.App.RBXMainWindow.OnUnhandledExceptions,,,On Unhandled Exceptions,On Unhandled Exceptions,처리되지 않은 예외에서,При необработанных исключениях,响应未处理的异常
Studio.App.RBXMainWindow.OneStudGrid,,,One Stud Grid,One Stud Grid,1 스터드 그리드,Одна сетка стоек,单格栅格
Studio.App.RBXMainWindow.OnlineHelpElps,,,Online Help...,Online Help...,온라인 도움말...,Онлайн-справка...,在线帮助...
Studio.App.RBXMainWindow.OpenARecentDocument,,,Open a recent document,Open a recent document,최근 문서 열기,Открыть недавний документ,打开最近文档
Studio.App.RBXMainWindow.OpenAnExistingDocument,,,Open an existing document,Open an existing document,기존 문서 열기,Открыть существующий документ,打开现有文档
Studio.App.RBXMainWindow.OpenElps,,,Open...,Open...,열기...,Открыть...,打开...
Studio.App.RBXMainWindow.OpenFlagEditor,,,Open Flag Editor,Open Flag Editor,플래그 편집기 열기,Открыть редактор флагов,打开旗帜编辑器
Studio.App.RBXMainWindow.OpenPluginsFolder,,,Open Plugins Folder,Open Plugins Folder,플러그인 폴더 열기,Открыть папку плагинов,打开插件文件夹
Studio.App.RBXMainWindow.OpenPreviousTab,,,Open Previous Tab,Open Previous Tab,이전 탭 열기,Открыть предыдущую вкладку,打开上一个标签
Studio.App.RBXMainWindow.OpenRecentElps,,,Open Recent...,Open Recent...,최근 항목 열기...,Открыть недавние...,打开最近...
Studio.App.RBXMainWindow.OpenRecentSaves,,,Open Recent Saves,Open Recent Saves,최근 저장 항목 열기,Открыть недавно сохраненные,打开最近存档
Studio.App.RBXMainWindow.OpenRecentSavesFolder,,,Open Recent Saves Folder,Open Recent Saves Folder,최근 저장 폴더 열기,Открыть папку с недавно сохраненными,打开最近存档文件夹
Studio.App.RBXMainWindow.OpenSelectedScript,,,Open selected script,Open selected script,선택 스크립트 열기,Открыть выбранный скрипт,打开选中脚本
Studio.App.RBXMainWindow.Output,,,Output,Output,출력,Вывод,输出
Studio.App.RBXMainWindow.OutputWindow,,,Output Window,Output Window,출력 창,Окно вывода,输出窗口
Studio.App.RBXMainWindow.PanLeft,,,Pan Left,Pan Left,왼쪽으로 패닝,Левее,向左平移
Studio.App.RBXMainWindow.PanRight,,,Pan Right,Pan Right,오른쪽으로 패닝,Правее,向右平移
Studio.App.RBXMainWindow.PasteInto,,,Paste Into,Paste Into,다음에 붙여넣기,Вставить в,粘贴至
Studio.App.RBXMainWindow.PausesTheRun,,,Pauses the run,Pauses the run,실행 일시 중지,Приостановить выполнение,暂停运行
Studio.App.RBXMainWindow.Performance,,,Performance,Performance,성능,Производительность,性能
Studio.App.RBXMainWindow.PhysicsStats,,,Physics Stats,Physics Stats,물리 상태,Физическая статистика,物理统计
Studio.App.RBXMainWindow.PickColor,,,Pick Color,Pick Color,색 선택,Выбрать цвет,选取颜色
Studio.App.RBXMainWindow.PicksUpAColorFromAPart,,,Picks up a color from a part,Picks up a color from a part,파트에서 색 선택,Выбирает цвет из детали,取用部件的颜色
Studio.App.RBXMainWindow.PlayHere,,,Play Here,Play Here,여기서 플레이,Играть здесь,在这里开始游戏
Studio.App.RBXMainWindow.PlayInSoloMode,,,Play in Solo Mode,Play in Solo Mode,싱글 모드로 플레이,Играть в одиночном режиме,单人模式游戏
Studio.App.RBXMainWindow.PlaySolo,,,Play Solo,Play Solo,싱글 플레이,Одиночный режим,单人游戏
Studio.App.RBXMainWindow.PlaySoloCameraSpawn,,,"Start Play Solo, Spawning the Character from the Camera Position","Start Play Solo, Spawning the Character from the Camera Position","싱글 플레이 시작, 카메라 위치에서 캐릭터 스폰",Начать игру в одиночном режиме с появлением персонажа на месте камеры,开始单人游戏，在镜头位置刷新人物
Studio.App.RBXMainWindow.Properties,,,Properties,Properties,속성,Свойства,属性
Studio.App.RBXMainWindow.PropertyFilter,,,Property Filter,Property Filter,속성 필터,Фильтр свойств,属性筛选
Studio.App.RBXMainWindow.PublishActiveDocumentToRoblox,,,Publish Active Document to Roblox,Publish Active Document to Roblox,활성 문서를 Roblox에 게시,Опубликовать активный документ в Roblox,将活跃文档发布至 Roblox
Studio.App.RBXMainWindow.PublishActiveDocumentToRobloxAs,,,Publish Active Document to Roblox As,Publish Active Document to Roblox As,활성 문서를 다음으로 Roblox에 게시,Опубликовать активный документ в Roblox как...,将活跃文档发布至 Roblox 并命名为
Studio.App.RBXMainWindow.PublishAllToRoblox,,,"Publish all places, developer products, and other parts of your game to Roblox","Publish all places, developer products, and other parts of your game to Roblox","모든 플레이스, 개발자 제품, 게임의 기타 파트를 Roblox에 게시","Опубликовать все места, результаты разработки и другие компоненты вашей игры в Roblox",把你游戏的所有场景、开发者产品和其他部件发布至 Roblox
Studio.App.RBXMainWindow.PublishAsPluginElps,,,Publish as Plugin...,Publish as Plugin...,플러그인으로 게시...,Опубликовать как плагин...,发布为插件...
Studio.App.RBXMainWindow.PublishChangesToPackage,,,Publish Changes to Package,Publish Changes to Package,변경 사항을 패키지에 게시,Опубликовать изменения в пакет,发布更改至包
Studio.App.RBXMainWindow.PublishSelectionToRobloxAsPlugin,,,Publish the Selection to Roblox as a Plugin,Publish the Selection to Roblox as a Plugin,변경 사항을 Roblox에 플러그인으로 게시,Опубликовать выбранное в Roblox в виде плагина,将选中内容作为插件发布至 Roblox
Studio.App.RBXMainWindow.PublishTheSelectionToRoblox,,,Publish the Selection to Roblox,Publish the Selection to Roblox,변경 사항을 Roblox에 게시,Опубликовать выбранное в Roblox,将选中内容发布至 Roblox
Studio.App.RBXMainWindow.PublishToRoblox,,,Publish to Roblox,Publish to Roblox,Roblox에 게시,Опубликовать в Roblox,发布至 Roblox
Studio.App.RBXMainWindow.PublishToRobloxAsElps,,,Publish to Roblox As...,Publish to Roblox As...,다음으로 Roblox에 게시...,Опубликовать в Roblox как...,发布至 Roblox 为...
Studio.App.RBXMainWindow.PublishWholeGameElps,,,Publish Whole Game...,Publish Whole Game...,전체 게임 게시...,Публиковать всю игру...,发布整个游戏...
Studio.App.RBXMainWindow.QuitApplication,,,Quit the application; prompts to save documents,Quit the application; prompts to save documents,"응용 프로그램 종료, 문서 저장 메시지 표시",Выйти из приложения; будет предложено сохранение документов,退出应用程序；提示保存文档
Studio.App.RBXMainWindow.RedoThePreviouslyUndo,,,Redo the previously undone action,Redo the previously undone action,이전에 실행 취소한 작업 다시 실행,Повторить отмененное действие,恢复之前撤销的操作
Studio.App.RBXMainWindow.ReloadScript,,,Reload Script,Reload Script,스크립트 다시 불러오기,Перезагрузить скрипт,重新加载脚本
Studio.App.RBXMainWindow.Rename,,,Rename,Rename,이름 변경,Переименовать,重命名
Studio.App.RBXMainWindow.RenamesSelectedObject,,,Renames selected object,Renames selected object,선택 개체 이름 변경,Переименовывает выбранный объект,重命名选中对象
Studio.App.RBXMainWindow.RenderStats,,,Render Stats,Render Stats,상태 렌더링,Статистика отображения,渲染统计
Studio.App.RBXMainWindow.ReplaceElps,,,Replace...,Replace...,바꾸기...,Заменить...,替换...
Studio.App.RBXMainWindow.ResetScriptZoom,,,Reset Script Zoom,Reset Script Zoom,스크립트 확대/축소 재설정,Сброс масштаба скрипта,重置脚本缩放
Studio.App.RBXMainWindow.ResetView,,,Reset View,Reset View,보기 재설정,Переустановить обзор,重置视图
Studio.App.RBXMainWindow.ResetWidgetToolbarPos,,,Resets Widget and Toolbar position,Resets Widget and Toolbar position,위젯 및 툴바 위치 재설정,Сбрасывает позиции виджета и панели инструментов,重置控件和工具栏位置
Studio.App.RBXMainWindow.ResetsFontSize,,,Resets font size,Resets font size,글꼴 크기 재설정,Сбрасывает размер шрифта,重置字体大小
Studio.App.RBXMainWindow.ResizeCustomIncrement,,,Sets the resize grid to a custom increment,Sets the resize grid to a custom increment,사용자 정의 증가 값에 따라 그리드 크기 조정,Устанавливает для сетки изменения размера пользовательский инкремент,设置缩放栅格为自定义增量
Studio.App.RBXMainWindow.ResizeObject,,,Resize Object,Resize Object,개체 크기 조정,Изменить размер объекта,缩放对象
Studio.App.RBXMainWindow.ResizeTool,,,Resize Tool,Resize Tool,도구 크기 조정,Инструмент изменения размера,缩放工具
Studio.App.RBXMainWindow.RightMotor,,,Right Motor,Right Motor,오른쪽 모터,Правый двигатель,右转子
Studio.App.RBXMainWindow.RobloxStudio,,,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio
Studio.App.RBXMainWindow.Rotate,,,Rotate,Rotate,회전,Вращать,旋转
Studio.App.RBXMainWindow.RotateCustomIncrement,,,Sets the rotate grid to a custom increment,Sets the rotate grid to a custom increment,사용자 정의 증가 값에 따라 그리드 회전 설정,Устанавливает для сетки вращения пользовательский инкремент,设置旋转栅格为自定义增量
Studio.App.RBXMainWindow.RotateEdit,,,Rotate - Edit,Rotate - Edit,회전 - 편집,Вращение - редактирование,旋转 - 编辑
Studio.App.RBXMainWindow.RotateObjects,,,Rotate objects,Rotate objects,개체 회전,Вращать объекты,旋转对象
Studio.App.RBXMainWindow.RotateParts,,,Rotate Parts,Rotate Parts,파트 회전,Вращать детали,旋转部件
Studio.App.RBXMainWindow.RotateToggle,,,Rotate - Toggle,Rotate - Toggle,회전 - 토글,Вращение - переключение,旋转 - 切换
Studio.App.RBXMainWindow.RotateTool,,,Rotate Tool,Rotate Tool,회전 도구,Инструмент вращения,旋转工具
Studio.App.RBXMainWindow.Run,,,Run,Run,실행,Выполнить,运行
Studio.App.RBXMainWindow.SaveActiveDocumentToRoblox,,,Save Active Document to Roblox,Save Active Document to Roblox,활성 문서를 Roblox에 저장,Сохранить активный документ в Roblox,将活跃文档保存至 Roblox
Studio.App.RBXMainWindow.SaveAsCSVElps,,,Save as CSV...,Save as CSV...,CSV로 저장...,Сохранить как CSV...,另存为 CSV...
Studio.App.RBXMainWindow.SaveAsElps,,,Save As...,Save As...,다음으로 저장...,Сохранить как...,另存为...
Studio.App.RBXMainWindow.SaveAsLocalPluginElps,,,Save as Local Plugin...,Save as Local Plugin...,로컬 플러그인으로 저장...,Сохранить как локальный плагин...,另存为本地插件...
Studio.App.RBXMainWindow.SaveDocToRoblox,,,Save the Active Document to Roblox Website,Save the Active Document to Roblox Website,활성 문서를 Roblox 웹사이트에 저장,Сохранить активный документ на сайте Roblox,将使用中的文档保存至 Roblox 网站
Studio.App.RBXMainWindow.SaveDocWithNewName,,,Save the active document with a new name,Save the active document with a new name,새 이름으로 활성 문서 저장,Сохранить активный документ с новым именем,用新名称保存使用中的文档
Studio.App.RBXMainWindow.SaveLocalizationTable,,,Save the selected LocalizationTable to a CSV file,Save the selected LocalizationTable to a CSV file,선택 LocalizationTable을 CSV 파일로 저장,Сохранить выбранную таблицу локализации в CSV-файл,将选中的本地化表格保存至 CSV 文件
Studio.App.RBXMainWindow.SaveLocalizationTableElps,,,Save LocalizationTable to CSV file...,Save LocalizationTable to CSV file...,LocalizationTable을 CSV 파일로 저장...,Сохранить таблицу локализации в CSV-файл...,保存本地化表格至 CSV 文件...
Studio.App.RBXMainWindow.SaveSelectionAsModel,,,Save the selection as a Model to a file,Save the selection as a Model to a file,선택 항목을 모델로 파일에 저장,Сохранить выбранное в виде модели в файле,将选中内容作为模型保存至文件
Studio.App.RBXMainWindow.SaveSelectionToFileElps,,,Save selection to file...,Save selection to file...,선택 항목을 파일에 저장...,Сохранить выбранное в файл...,将选中内容保存至文件...
Studio.App.RBXMainWindow.SaveTheActiveDocument,,,Save the active document,Save the active document,활성 문서 저장,Сохранить активный документ,保存使用中的文档
Studio.App.RBXMainWindow.SaveToFileElps,,,Save to File...,Save to File...,파일에 저장...,Сохранить в файл...,保存到文件...
Studio.App.RBXMainWindow.SaveToRoblox,,,Save to Roblox,Save to Roblox,Roblox에 저장,Сохранить в Roblox,保存至 Roblox
Studio.App.RBXMainWindow.SaveToRobloxElps,,,Save to Roblox...,Save to Roblox...,Roblox에 저장...,Сохранить в Roblox...,保存至 Roblox...
Studio.App.RBXMainWindow.ScriptAnalysis,,,Script Analysis,Script Analysis,스크립트 분석,Анализ скрипта,脚本分析
Studio.App.RBXMainWindow.ScriptPerformance,,,Script Performance,Script Performance,스크립트 성능,Производительность скрипта,脚本性能
Studio.App.RBXMainWindow.ScriptRecovery,,,Script Recovery,Script Recovery,스크립트 복구,Восстановление скрипта,脚本恢复
Studio.App.RBXMainWindow.SelectAll,,,Select All,Select All,모두 선택,Выбрать все,全选
Studio.App.RBXMainWindow.SelectAllModifiedPackages,,,Select All Modified Packages,Select All Modified Packages,수정된 패키지 모두 선택,Выбрать все измененные пакеты,选择所有修改过的包
Studio.App.RBXMainWindow.SelectAttachmentConstraintConnections,,,Select connections of the attachment or constraint,Select connections of the attachment or constraint,첨부 또는 제약 연결 선택,Выбрать соединения для оснастки или ограничения,选择附件或约束的连接方式
Studio.App.RBXMainWindow.SelectAttachmentOrPart,,,Select Attachment1 of a constraint or Part1 of a weld,Select Attachment1 of a constraint or Part1 of a weld,제약의 Attachment1 또는 용접의 Part1 선택,Выберите Привязку1 ограничения или деталь1 шва,选择约束的附件1或接合的部件1
Studio.App.RBXMainWindow.SelectChildren,,,Select Children,Select Children,하위 항목 선택,Выбрать дочерние,选择子集
Studio.App.RBXMainWindow.SelectConnectionZero,,,Select Connection 0,Select Connection 0,연결 0 선택,Выбрать соединение 0,选择连接 0
Studio.App.RBXMainWindow.SelectConnectionOne,,,Select Connection 1,Select Connection 1,연결 1 선택,Выбрать соединение 1,选择连接 1
Studio.App.RBXMainWindow.SelectConnections,,,Select Connections,Select Connections,연결 선택,Выбрать соединения,选择连接方式
Studio.App.RBXMainWindow.SelectTheEntireDocument,,,Select the entire document,Select the entire document,전체 문서 선택,Выбрать весь документ,选择整个文档
Studio.App.RBXMainWindow.Separate,,,Separate,Separate,분리,Отделить,分离
Studio.App.RBXMainWindow.SeparateFusedSelection,,,Separate parts from a fused selection,Separate parts from a fused selection,융합된 선택 항목에서 파트 분리,Отделить детали от выбранного объединения,从选中的融合对象中分离部件
Studio.App.RBXMainWindow.ServiceElps,,,Service...,Service...,서비스...,Сервис...,服务...
Studio.App.RBXMainWindow.SetGridSizeTo16Studs,,,Set Grid Size to 16 Studs,Set Grid Size to 16 Studs,그리드 크기를 16 스터드로 설정,Установить размер сетки 16 стоек,将栅格尺寸设置为 16 格
Studio.App.RBXMainWindow.SetGridSizeTo2Studs,,,Set Grid Size to 2 Studs,Set Grid Size to 2 Studs,그리드 크기를 2 스터드로 설정,Установить размер сетки 2 стоек,将栅格尺寸设置为 2 格
Studio.App.RBXMainWindow.SetGridSizeTo4Studs,,,Set Grid Size to 4 Studs,Set Grid Size to 4 Studs,그리드 크기를 4 스터드로 설정,Установить размер сетки 4 стоек,将栅格尺寸设置为 4 格
Studio.App.RBXMainWindow.SettingsElps,,,Settings...,Settings...,설정...,Настройки...,设置...
Studio.App.RBXMainWindow.ShowHelpForSelectedObject,,,Show help for selected object,Show help for selected object,선택 개체에 대한 도움말 표시,Показать справку для выбранного объекта,显示选中对象的帮助信息
Studio.App.RBXMainWindow.ShowListOfShortcutCommands,,,Show list of shortcut commands,Show list of shortcut commands,바로가기 명령 목록 표시,Показать список команд быстрого доступа,显示快捷命令列表
Studio.App.RBXMainWindow.ShowViewSelector,,,Show View Selector,Show View Selector,보기 선택기 표시,Показывать выбор представления,显示视图选择器
Studio.App.RBXMainWindow.ShowsHides3DGrid,,,Shows/Hides 3D Grid,Shows/Hides 3D Grid,3D 그리드 표시/숨기기,Показывает/скрывает 3D-сетку,显示/隐藏 3D 栅格
Studio.App.RBXMainWindow.ShowsHidesAxisWidget,,,Shows/Hides Axis Widget,Shows/Hides Axis Widget,축 위젯 표시/숨기기,Показывает/скрывает виджет оси,显示/隐藏轴控件
Studio.App.RBXMainWindow.ShowsHidesGridMaterial,,,Shows/Hides Grid Material,Shows/Hides Grid Material,그리드 재질 표시/숨기기,Показывает/скрывает материал сетки,显示/隐藏栅格材质
Studio.App.RBXMainWindow.SmoothSurface,,,Smooth Surface,Smooth Surface,표면 다듬기,Гладкая поверхность,平滑表面
Studio.App.RBXMainWindow.SmoothSurfaceWithoutOutlines,,,Smooth Surface without Outlines,Smooth Surface without Outlines,윤곽 없이 표면 다듬기,Гладкая поверхность без контуров,平滑表面无描边
Studio.App.RBXMainWindow.StartPlayer,,,Start Player,Start Player,플레이어 시작,Запуск игрока,开始玩家
Studio.App.RBXMainWindow.StartServer,,,Start Server,Start Server,서버 시작,Запуск сервера,启动服务器
Studio.App.RBXMainWindow.Stats,,,Stats,Stats,상태,Статистика,统计
Studio.App.RBXMainWindow.StepInto,,,Step Into,Step Into,한 단계씩 실행,Шаг с заходом,单步跳入
Studio.App.RBXMainWindow.StepOut,,,Step Out,Step Out,단계 출력,Шаг с выходом,单步跳出
Studio.App.RBXMainWindow.StepOver,,,Step Over,Step Over,단위 실행,Шаг с обходом,单步跳过
Studio.App.RBXMainWindow.StopsAndReloadsTheDocument,,,Stops and reloads the document,Stops and reloads the document,중지 후 문서 다시 불러오기,Останавливается и перезагружает документ,停止并重新加载文档
Studio.App.RBXMainWindow.StoreScriptCloud,,,Store this script in the cloud so that you can easily re-use it,Store this script in the cloud so that you can easily re-use it,손쉽게 다시 사용할 수 있도록 클라우드에 이 스크립트 저장,Храните этот скрипт в облаке - это облегчит повторное использование,将此脚本保存至云端，让你可以轻松地重复利用它
Studio.App.RBXMainWindow.SummaryStats,,,Summary Stats,Summary Stats,상태 요약,Краткая статистика,摘要统计
Studio.App.RBXMainWindow.SwapAttachments,,,Swap Attachments,Swap Attachments,첨부 스왑,Поменять местами оснастку,交换附件
Studio.App.RBXMainWindow.SwitchBothAttachments,,,Swap both attachments on the constraint,Swap both attachments on the constraint,제약의 첨부 모두 스왑,Меняет местами обе оснастки на ограничении,交换约束上的两个附件
Studio.App.RBXMainWindow.TakeScreenshot,,,Take Screenshot,Take Screenshot,스크린숏 찍기,Сделать скриншот,截图
Studio.App.RBXMainWindow.TaskScheduler,,,Task Scheduler,Task Scheduler,작업 스케줄러,Планировщик задач,任务计划程序
Studio.App.RBXMainWindow.TeamCreate,,,Team Create,Team Create,팀 만들기,Совместная разработка,组队创作
Studio.App.RBXMainWindow.TeamCreateBeta,,,Team Create - Beta,Team Create - Beta,팀 만들기 - 베타,Совместная разработка (бета),组队创作 - 测试版
Studio.App.RBXMainWindow.TerrainEditor,,,Terrain Editor,Terrain Editor,지형 편집기,Редактор рельефа,地形编辑器
Studio.App.RBXMainWindow.TestNetworkErrorsAndIssues,,,Test network errors and issues,Test network errors and issues,네트워크 오류 및 문제 테스트,Тестирование ошибок и проблем сети,测试网络错误和问题
Studio.App.RBXMainWindow.TestPlay,,,Test - play,Test - play,테스트 - 플레이,Тест - играть,测试 - 游戏
Studio.App.RBXMainWindow.TestRun,,,Test - run,Test - run,테스트 - 실행,Тест - выполнить,测试 - 运行
Studio.App.RBXMainWindow.Tilt,,,Tilt,Tilt,기울기,Наклон,倾斜
Studio.App.RBXMainWindow.TiltDown,,,Tilt Down,Tilt Down,아래로 기울기,Наклонить вниз,向下倾斜
Studio.App.RBXMainWindow.TiltObjects,,,Tilt objects,Tilt objects,개체 기울기,Наклонить объекты,倾斜对象
Studio.App.RBXMainWindow.TiltUp,,,Tilt Up,Tilt Up,위로 기울기,Наклонить вверх,向上倾斜
Studio.App.RBXMainWindow.ToggleAllBreakpoints,,,Toggle All Breakpoints,Toggle All Breakpoints,모든 중단점 토글,Переключить все точки останова,切换所有断点
Studio.App.RBXMainWindow.ToggleClientServer,,,Click to toggle between client and server mode,Click to toggle between client and server mode,클릭해 클라이언트와 서버 모드 토글,"Щелкните, чтобы переключить между режимом клиента и сервера",单击切换客户端和服务器模式
Studio.App.RBXMainWindow.ToggleCollisionCheck,,,Enables or Disables Collision Check,Enables or Disables Collision Check,충돌 확인 활성화 또는 비활성화,Включает или отключает проверку столкновений,启用或禁用碰撞检查
Studio.App.RBXMainWindow.ToggleCommentSelection,,,Toggle Comment,Toggle Comment,코멘트 토글,Переключение комментариев,切换注释
Studio.App.RBXMainWindow.ToggleConstraintCheck,,,Enables or Disables Constraint Check,Enables or Disables Constraint Check,제약 확인 활성화 또는 비활성화,Включает или отключает проверку ограничений,启用或禁用约束检查
Studio.App.RBXMainWindow.ToggleDeviceEmulator,,,Toggle Device Emulator,Toggle Device Emulator,기기 에뮬레이터 토글,Переключить эмулятор устройства,切换设备模拟器
Studio.App.RBXMainWindow.ToggleFSAndWindow,,,Toggles between full screen and windowed views,Toggles between full screen and windowed views,전체 화면과 창 모드 간 토글,Переключает между полноэкранным и оконным режимом,切换全屏和窗口视图
Studio.App.RBXMainWindow.ToggleGameAudio,,,Toggle Game Audio,Toggle Game Audio,게임 오디오 토글,Переключить игровой звук,切换游戏音频
Studio.App.RBXMainWindow.ToggleLocalSpace,,,Toggle Local Space,Toggle Local Space,로컬 공간 토글,Переключить на локальное место,切换本地空间
Studio.App.RBXMainWindow.ToggleSelectionCommenting,,,Toggle selection commenting,Toggle selection commenting,선택 항목 코멘트 달기 토글,Переключить комментирование выбранного,切换选中注释
Studio.App.RBXMainWindow.TogglesVideoRecord,,,Toggles video record,Toggles video record,비디오 녹화 토글,Переключить видеозапись,切换视频录像
Studio.App.RBXMainWindow.Toolbox,,,Toolbox,Toolbox,도구 상자,Панель инструментов,工具箱
Studio.App.RBXMainWindow.Tutorials,,,Tutorials,Tutorials,튜토리얼,Обучение,教程
Studio.App.RBXMainWindow.UI,,,UI,UI,UI,Пользовательский интерфейс,UI
Studio.App.RBXMainWindow.UIEditor,,,UI Editor,UI Editor,UI 편집기,Редактор пользовательского интерфейса,UI 编辑器
