Key,Source,Context,en-us,ko,zh-cn
 ,Filter ID,필터 ID,过滤 ID,Studio.Toolbox.AssetConfigAnimation.AnimationID,Animation ID
 , , , ,Studio.Toolbox.AssetConfigAnimation.InvalidAnimationID,Invalid Animation ID
 , , , ,Studio.Toolbox.General.PremiumBenefits,Add Premium benefits
 ,Add Premium benefits,Premium 혜택 추가,添加 Premium 特权,Studio.Toolbox.General.CategoryMyVideos,My Videos
 ,My Videos,내 비디오,我的视频,Studio.Toolbox.General.CategoryVideos,Videos
 ,Videos,비디오,视频,Studio.Toolbox.AssetUploadResult.Success,Successfully submitted!
 ,Successfully submitted!,제출 성공!,提交成功！,Studio.Toolbox.AssetUploadResult.Failure,Submission failed
 ,Submission failed,제출 실패,提交失败,Studio.Toolbox.General.NoPluginsFound.TextLine1,Can’t find what you’re looking for?
 ,Can’t find what you’re looking for?,항목을 찾을 수 없나요?,未能搜索到相关内容？,Studio.Toolbox.General.NoPluginsFound.TextLine2,"For more plugins, try searching in the {link} on our website."
 ,"For more plugins, try searching in the {link} on our website.",더 많은 플러그인을 보려면 웹사이트 {link}에서 검색하세요.,若想获取更多插件，请在网站{link}中进行搜索。,Studio.Toolbox.General.NoPluginsFound.LinkText,Library
 ,Library,라이브러리,资料库
