Key,Source,en-us,ko,ru,zh-cn
패키지 생성자,Создатель пакета,包创建者,Studio.Toolbox.AssetConfigPackagePermissions.UsersCollaboratorType,Users,Users
사용자,Пользователи,用户,Studio.Toolbox.AssetConfigPackagePermissions.GroupsCollaboratorType,Groups,Groups
그룹,Группы,组合,Studio.Toolbox.AssetConfigPackagePermissions.MyFriendsCollaborator,My Friends,My Friends
내 친구,Мои друзья,我的好友,Studio.Toolbox.AssetConfigPackagePermissions.TooManyCollaboratorsText,You cannot add more than {maxNumCollaborators:int} collaborators,You cannot add more than {maxNumCollaborators:int} collaborators
공동 작업자는 최대 {maxNumCollaborators:int}명까지만 추가할 수 있습니다.,Можно добавить не более {maxNumCollaborators:int} участников,无法添加 {maxNumCollaborators:int} 位以上的协作者,Studio.Toolbox.Purchase.RobuxBalance,Your current balance:,Your current balance:
현재 잔액:,Ваш текущий баланс:,你当前的余额:,Studio.Toolbox.Purchase.InsufficientPrompt,You need {robux:int} more Robux to buy "{name}" from {creator}.,You need {robux:int} more Robux to buy "{name}" from {creator}.
{creator}에게 "{name}"을(를) 구매하려면 {robux:int} Robux가 더 필요합니다.,"Требуется еще {robux:int} Robux для покупки (\"{name}\", автор {creator}).",你还需要 {robux:int} Robux 才能从 {creator} 处购买到 "{name}"。,Studio.Toolbox.Purchase.Buy,Buy,Buy
구매,Купить,购买,Studio.Toolbox.Purchase.BuyTitle,Buy & Install Plugin,Buy & Install Plugin
플러그인 설치 및 구매,Купить и установить плагин,购买和安装插件,Studio.Toolbox.Purchase.InsufficientTitle,Insufficient Robux,Insufficient Robux
Robux가 부족함,Недостаточно Robux,Robux 不足,Studio.Toolbox.Purchase.FailedHeader,Purchase failed,Purchase failed
구매 실패,Покупка не совершена,购买失败,Studio.Toolbox.Purchase.Free,FREE,FREE
무료,БЕСПЛАТНО,免费,Studio.Toolbox.General.Fee,After {percent}% fee:,After {percent}% fee:
{percent}% 수수료 적용 후 금액:,Со сбором {percent}%:,在支付 {percent}% 的手续费后:,Studio.Toolbox.General.Earn,You earn:,You earn:
획득 금액:,Вы получите:,你赚取:,Studio.Toolbox.AssetConfigSales.Target,"By enabling it, this asset will be put in {market} and available for any Roblox {user}.","By enabling it, this asset will be put in {market} and available for any Roblox {user}."
활성화하면 이 애셋이 {market}에 포함되어 모든 Roblox {user}이(가) 사용할 수 있게 됩니다.,"После вашего разрешения этот ресурс появится в магазине ({market}), и любой {user} Roblox сможет им воспользоваться.",启用之后，此项素材就会投放到 {market} 并可供所有 Roblox {user} 使用。,Studio.Toolbox.General.CategoryGroupPlugins,Group Plugins,Group Plugins
그룹 플러그인,Плагины групп,组插件,Studio.Toolbox.General.Free,Free,Free
무료,Бесплатно,免费,Studio.Toolbox.General.Installing,Installing,Installing
설치,Устанавливается,正在安装,Studio.Toolbox.AssetConfigPackagePermissions.SearchbarDefault,Search for Friends,Search for Friends
친구 검색,Поиск друзей,搜索好友,Studio.Toolbox.AssetConfigPackagePermissions.GroupOwnedWarning,No Access takes effect from new versions of this package. Users assigned to rolesets with "Edit" permissions will always have access to current and previous versions of this package.,No Access takes effect from new versions of this package. Users assigned to rolesets with "Edit" permissions will always have access to current and previous versions of this package.
이 패키지의 새 버전에는 액세스 권한이 적용되지 않습니다. "편집" 권한이 있는 역할 세트에 할당된 사용자는 항상 이 패키지의 현재 및 이전 버전에 액세스할 수 있습니다.,"Команда «Нет доступа» влияет на новые версии этого пакета. Пользователи, которым разрешено «Редактировать», всегда будут иметь доступ к текущей и предыдущим версиям пакета.",无访问权限设定会在此包更新版本后生效。拥有“编辑”权限角色集中的用户将始终有权访问此包的最新与先前版本。,Studio.Toolbox.AssetConfigPackagePermissions.PackageDetails,Package Details,Package Details
패키지 세부 정보,Информация о пакете,包详情,Studio.Toolbox.Purchase.FreeTitle,Install Plugin,Install Plugin
플러그인 설치,Установить плагин,安装插件,Studio.Toolbox.Purchase.SuccessHeader,Buy & Installation Complete!,Buy & Installation Complete!
플러그인 설치 및 구매!,Покупка и установка завершены!,购买及安装完成！,Studio.Toolbox.Purchase.SuccessDetails,Successfully installed "{name}".,Successfully installed "{name}".
"{name}"을(를) 설치했습니다.,"{name}": установка завершена,成功安装 "{name}"。,Studio.Toolbox.MaxTagsDescription,Add up to {max:int} tags from the tag library,Add up to {max:int} tags from the tag library
태그 라이브러리에서 최대 {max:int}개의 태그 추가,Добавьте не более {max:int} тегов из библиотеки тегов,从标签库中最多添加 {max:int} 个标签,Studio.Toolbox.General.AbbreviatedSeconds,s,s
초, ,秒,Studio.Toolbox.General.AbbreviatedMinutes,m,m
분, ,分,Studio.Toolbox.General.SearchOptionAudioTo,to,to
(으)로, ,至,Studio.Toolbox.General.SearchOptionAudioLength,Sound Length,Sound Length
사운드 길이, ,声音长度,Studio.Toolbox.AssetConfigAnimation.FilterID,Filter ID,Filter ID
필터 ID, ,过滤 ID,Studio.Toolbox.General.CategoryMyVideos,My Videos,My Videos
내 비디오, ,我的视频,Studio.Toolbox.General.CategoryVideos,Videos,Videos
비디오, ,视频,Studio.Toolbox.AssetUploadResult.Failure,Submission failed,Submission failed
제출 실패, ,提交失败,Studio.Toolbox.General.NoPluginsFound.LinkText,Library,Library
라이브러리, ,资料库,Studio.Toolbox.AssetConfigAnimation.InvalidAnimationID,Invalid Animation ID,Invalid Animation ID
유효하지 않은 애니메이션 ID, ,无效的动画 ID
