Key,Source,de-de,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,zh-cjv,zh-cn,zh-tw
Studio.Tutorials.StudioTour.material_Description,Change a Part's appearance and physical properties by changing its Material.<br/><br/>Click on Plastic and choose a new material.,"Ändere das Aussehen und die physikalischen Eigenschaften eines Teils, indem du sein Material änderst.<br/><br/>Klicke auf Plastik und wähle ein neues Material.",Change a Part's appearance and physical properties by changing its Material.<br/><br/>Click on Plastic and choose a new material.,Cambia la apariencia y las propiedades físicas de una Pieza cambiando su material.<br/><br/>Haz clic en Plástico y elige un nuevo material.,Modifie l'apparence et les propriétés physiques d'une partie en changeant son matériau.<br/><br/>Clique sur Plastique et choisis un nouveau matériau.,Cambia l'aspetto e le proprietà fisiche di una Parte cambiando il suo Materiale.<br><br>Fai clic su Plastica e scegli un nuovo materiale.,素材を変更してパーツの外観と物理的なプロパティを変更します。<br/><br/>プラスチックをクリックして、新しい素材を選択します。,재질을 변경해 파트의 모양 및 물리적 속성을 변경할 수 있습니다.<br/><br/>'플라스틱'을 클릭하고 새 재질을 선택하세요.,Altere a aparência e as propriedades físicas de uma peça alterando seu material.<br/><br/>Clique em Plástico e escolha um novo material.,通过更换材质，改变部件的外观和物理属性。<br/><br/>点击塑料并选择一种新材质吧。,通过更换材质，改变部件的外观和物理属性。<br/><br/>点击塑料并选择一种新材质吧。,藉由變更零件材質變更其外觀與物理性質。<br/><br/>按下塑膠並選擇新材質。
Studio.Tutorials.StudioTour.zoomCamera_Description,Zoom in and out by scrolling with your mouse wheel or trackpad.,"Vergrößere und verkleinere das Bild, indem du mit dem Mausrad oder dem Trackpad scrollst.",Zoom in and out by scrolling with your mouse wheel or trackpad.,Acerca y aleja desplazándote con la rueda del ratón o el trackpad.,Zoomez en avant et en arrière en faisant défiler la souris avec la molette ou le pavé tactile.,Aumenta e diminuisci lo zoom scorrendo con la rotellina del mouse o il trackpad.,マウスホイールまたはトラックパッドでスクロールしてズームインとズームアウトします。,마우스 휠이나 트랙패드로 스크롤하면 줌을 이용해 확대 또는 축소할 수 있습니다.,Aproxime e afaste a câmera rolando com a roda do mouse ou o trackpad.,滚动鼠标滚轮或触控板以缩放镜头。,滚动鼠标滚轮或触控板以缩放镜头。,藉由捲動滑鼠滾輪或觸控板進行縮放。
Studio.Tutorials.StudioTour2.zoomCamera_Description,Zoom in and out by scrolling with your mouse wheel or trackpad.,"Vergrößere und verkleinere das Bild, indem du mit dem Mausrad oder dem Trackpad scrollst.",Zoom in and out by scrolling with your mouse wheel or trackpad.,Acerca y aleja desplazándote con la rueda del ratón o el trackpad.,Zoom avant et arrière en faisant défiler avec la molette de la souris ou le pavé tactile.,Aumenta e diminuisci lo zoom scorrendo con la rotellina del mouse o il trackpad.,マウスホイールまたはトラックパッドでスクロールしてズームインとズームアウトします。,마우스 휠이나 트랙패드로 스크롤하면 줌을 이용해 확대 또는 축소할 수 있습니다.,Aproxime e afaste-se rolando com a roda do mouse ou o trackpad.,滚动鼠标滚轮或触控板以缩放镜头。,滚动鼠标滚轮或触控板以缩放镜头。,藉由捲動滑鼠滾輪或觸控板進行縮放。
Studio.Tutorials.StudioTour.rotateCamera_Title,Rotating the Camera,Die Kamera drehen,Rotating the Camera,Girar la cámara,Faire pivoter la caméra,Ruotare la telecamera,カメラの回転,카메라 회전,Girando a Câmera,转动镜头,转动镜头,旋轉攝影機
Studio.Tutorials.StudioTour2.rotateCamera_Title,Rotating the Camera,Die Kamera drehen,Rotating the Camera,Girar la cámara,Faire pivoter la caméra,Ruotare la telecamera,カメラの回転,카메라 회전,Rotacionando a câmera,转动镜头,转动镜头,旋轉攝影機
Studio.Tutorials.StudioTour.rotateCamera_Description,"Hold down the right mouse button or Ctrl key, then move your mouse to turn the camera around","Halte die rechte Maustaste oder die Strg-Taste gedrückt und bewege dann deine Maus, um die Kamera zu drehen","Hold down the right mouse button or Ctrl key, then move your mouse to turn the camera around","Mantén presionado el botón derecho del ratón o la tecla Ctrl, luego mueve tu ratón para girar la cámara","Maintiens enfoncé le bouton droit de la souris ou la touche Ctrl, puis déplace la souris pour déplacer la caméra","Tieni premuto il pulsante destro del mouse o il tasto Ctrl, quindi muovi il mouse per ruotare la fotocamera",右マウスボタンかCtrlキーを長押しして、マウスを動かしてカメラを回転させます。,마우스 오른쪽 버튼이나 Ctrl 키를 누른 상태에서 마우스를 움직이면 카메라를 회전할 수 있습니다.,"Mantenha pressionado o botão direito do mouse ou a tecla Ctrl, depois mova o mouse para virar a câmera",按住鼠标右键或 Ctrl 键，随后移动鼠标以转动镜头,按住鼠标右键或 Ctrl 键，随后移动鼠标以转动镜头,按住滑鼠右鍵或 Ctrl 鍵，然後移動您的滑鼠旋轉攝影機
Studio.Tutorials.StudioTour2.rotateCamera_Description,"Hold down the right mouse button or Ctrl key, then move your mouse to turn the camera around","Halte die rechte Maustaste oder die Strg-Taste gedrückt und bewege dann deine Maus, um die Kamera zu drehen","Hold down the right mouse button or Ctrl key, then move your mouse to turn the camera around","Mantén presionado el botón derecho del ratón o la tecla Ctrl, luego mueve tu ratón para girar la cámara","Maintiens enfoncé le bouton droit de la souris ou la touche Ctrl, puis déplace la souris pour déplacer la caméra","Tieni premuto il pulsante destro del mouse o il tasto Ctrl, quindi muovi il mouse per ruotare la fotocamera",右マウスボタンかCtrlキーを長押しして、マウスを動かしてカメラを回転させます,마우스 오른쪽 버튼이나 Ctrl 키를 누른 상태에서 마우스를 움직이면 카메라를 회전할 수 있습니다,"Mantenha pressionado o botão direito do mouse ou a tecla Ctrl, depois mova o mouse para virar a câmera",按住鼠标右键或 Ctrl 键，随后移动鼠标以转动镜头,按住鼠标右键或 Ctrl 键，随后移动鼠标以转动镜头,按住滑鼠右鍵或 Ctrl 鍵，然後移動您的滑鼠旋轉攝影機
Studio.Tutorials.StudioTour2.marketplace_Title,Marketplace,Marktplatz,Marketplace,Mercado,Marketplace,Marketplace,マーケットプレイス,마켓플레이스,Mercado,商城,商城,市集
Studio.Tutorials.StudioTour2.topic_marketplace,Marketplace,Marktplatz,Marketplace,Mercado,Marketplace, ,マーケットプレイス,마켓플레이스,Mercado,商城,商城,市集
Studio.Tutorials.StudioTour2.searchMarketplace_Description,Let's add a car to the place. Try typing 'car' in the search bar.,Fügen wir ein Auto zu deinem Ort hinzu. Tippe "Auto" in die Suchleiste ein.,Let's add a car to the place. Try typing 'car' in the search bar.,Añadamos un coche al lugar. Intenta escribir 'coche' en la barra de búsqueda.,Ajoutons une voiture à l'endroit. Essaie de taper "voiture" dans la barre de recherche.,Prova a cercare "auto" per aggiungere alla tua esperienza.,プレースに車を追加しましょう。検索バーに「車」と入力してみてください。,플레이스에 자동차를 추가해 봅시다. 검색창에 '자동차'를 입력해 보세요.,Vamos adicionar um carro ao local. Tente digitar 'carro' na barra de pesquisa.,来为场景添加一辆汽车吧。试着在搜索栏中输入“汽车”。,来为场景添加一辆汽车吧。试着在搜索栏中输入“汽车”。,讓我們一起在空間中新增一輛車吧。試著在搜尋列中輸入「車子」。
Studio.Tutorials.StudioTour.select_Description,Select a part you created earlier by clicking one in the Explorer or the 3D view.,"Wähle ein Teil aus, das du zuvor erstellt hast, indem du es im Explorer oder in der 3D-Ansicht anklickst.",Select a part you created earlier by clicking one in the Explorer or the 3D view.,Selecciona una parte que hayas creado antes haciendo clic en una en el Explorador o en la vista 3D.,Sélectionner une partie que tu as créée plus tôt en cliquant sur une dans Explorer ou dans la vue 3D.,Seleziona una parte che hai creato in precedenza facendo clic su uno nell'Explorer o nella vista 3D.,エクスプローラまたは3Dビューでさっき作ったパーツをクリックして選択します。,탐색기 또는 3D 뷰에서 파트를 클릭하면 이전에 생성한 파트를 선택할 수 있습니다.,Selecione uma parte que você criou anteriormente clicando em uma no Explorador ou na exibição 3D.,在浏览器或 3D 视图中选择你先前创建的部件。,在浏览器或 3D 视图中选择你先前创建的部件。,透過按下總管或 3D 檢視中的選項，選擇您之前建立的零件。
Studio.Tutorials.StudioTour2.parts_Description,"Parts are the basic building blocks in Studio.<br><br>Use the arrow below the button to choose a shape, like a Block, Sphere or Cylinder.<br><br>Add as many as you like now!","Teile sind die Grundbausteine in Studio.<br><br>Wähle mit dem Pfeil unter der Schaltfläche eine Form aus, z.B. einen Block, eine Kugel oder einen Zylinder.<br><br>Füge jetzt so viele Teile hinzu, wie du möchtest!","Parts are the basic building blocks in Studio.<br><br>Use the arrow below the button to choose a shape, like a Block, Sphere or Cylinder.<br><br>Add as many as you like now!","Las piezas son los bloques de construcción básicos en Studio.<br><br>Usa la flecha debajo del botón para elegir una forma, como un bloque, esfera o cilindro.<br><br>¡Añade todas las que quieras ya!","Les parties sont les blocs de construction de base dans studio.<br><br>Utilise la flèche en dessous du bouton pour choisir une forme, comme un bloc, une sphère ou un cylindre.<br><br>Ajoute-en autant que tu veux !","Le parti sono gli elementi costitutivi di base di Studio.<br><br>Utilizzare la freccia sotto il pulsante per scegliere una forma, come un blocco, una sfera o un cilindro.<br><br>Aggiungi quanti vuoi ora!",パーツは、Studioの基礎となる構成要素です。<br><br>下にある矢印を使ってブロック、球体、または円柱などの形を選択します。<br><br>ここで好きなだけ追加してください！,"파트는 Studio에서의 구축을 위한 기본 블록입니다.<br><br>버튼 아래의 화살표를 사용해 블록, 구, 원통과 같은 모양을 선택하세요.<br><br>지금 바로 원하는 대로 추가해 보세요!","As partes são os blocos de construção básicos no Studio.<br><br>Use a seta abaixo do botão para escolher uma forma, como um bloco, esfera ou cilindro.<br><br>Adicione quantos você quiser agora mesmo!",部件是 Studio 里的基础建造单位。<br><br>使用箭头下方的按钮来选择部件形状，例如方块、球体或圆柱等。<br><br>想加多少就加多少！,部件是 Studio 里的基础建造单位。<br><br>使用箭头下方的按钮来选择部件形状，例如方块、球体或圆柱等。<br><br>想加多少就加多少！,零件是 Studio 中的基本建造單位。<br><br>使用按鈕下方的箭頭以選擇形狀，如方塊、球體或圓柱體。<br><br>現在盡量新增多一點您喜歡的形狀吧！
Studio.Tutorials.StudioTour.explorer_Title,Explorer,Explorer,Explorer,Explorador,Explorer,Esploratore,エクスプローラ,탐색기,Explorador,浏览器,浏览器,總管
Studio.Tutorials.StudioTour2.explorerSelected_Title,Explorer,Explorer,Explorer,Explorador,Explorer,Esploratore,エクスプローラ,탐색기,Explorador,浏览器,浏览器,總管
Studio.Tutorials.StudioTour2.explorer_Title,Explorer,Explorer,Explorer,Explorador,Explorer,Esploratore,エクスプローラ,탐색기,Explorador,浏览器,浏览器,總管
Studio.Tutorials.StudioTour2.topic_explorer,Explorer,Explorer,Explorer,Explorador,Explorer, ,エクスプローラ,탐색기,Explorador,浏览器,浏览器,總管
Studio.Tutorials.StudioTour.explorer_Description,"The Explorer displays everything in your place, including built-in services.","Der Explorer zeigt alles in deinem Ort an, einschließlich der integrierten Dienste.","The Explorer displays everything in your place, including built-in services.","El Explorador muestra todo en tu lugar, incluidos los servicios incorporados.","Explorer affiche tout dans ton emplacement, y compris les services intégrés.","L'esploratore visualizza tutto nel tuo posto, inclusi i servizi integrati.",エクスプローラが内蔵サービスとともに、あなたのプレースにあるものすべてを表示します。,탐색기를 이용하면 기본 제공 서비스 등 플레이스에 있는 모든 항목을 확인할 수 있습니다.,"O Explorador exibe tudo em seu local, incluindo serviços integrados.",浏览器将展示你场景中的所有物品，包含内置服务。,浏览器将展示你场景中的所有物品，包含内置服务。,總管顯示會顯示您空間中的一切，包含內建服務。
Studio.Tutorials.StudioTour2.explorer_Description,"The Explorer displays everything in your place, including built-in services.","Der Explorer zeigt alles in deinem Ort an, einschließlich der integrierten Dienste.","The Explorer displays everything in your place, including built-in services.","El Explorador muestra todo en tu lugar, incluidos los servicios integrados.","Explorer affiche tout dans ton emplacement, y compris les services intégrés.","L'esploratore visualizza tutto nel tuo posto, inclusi i servizi integrati.",エクスプローラが内蔵サービスとともに、あなたのプレースにあるものすべてを表示します。,탐색기를 이용하면 기본 제공 서비스 등 플레이스에 있는 모든 항목을 확인할 수 있습니다.,"O Explorador exibe tudo no seu lugar, incluindo serviços integrados.",浏览器将展示你场景中的所有物品，包含内置服务。,浏览器将展示你场景中的所有物品，包含内置服务。,總管顯示會顯示您空間中的一切，包含內建服務。
Studio.Tutorials.StudioTour.workspace_Description,The Workspace service displays everything in your 3D world.,Der Arbeitsbereichsdienst zeigt alles in deiner 3D-Welt an.,The Workspace service displays everything in your 3D world.,El servicio Workspace muestra todo en tu mundo 3D.,Le service Workspace affiche tout dans votre monde 3D.,Il servizio Workspace mostra tutto nel tuo mondo 3D.,ワークスペースサービスは、あなたの3Dワールドにあるものすべてを表示します。,Workspace 서비스에서는 3D 월드의 모든 항목을 확인할 수 있습니다.,O serviço Espaço de trabalho exibe tudo em seu mundo 3D.,工作区服务将展示你 3D 世界中的所有物品。,工作区服务将展示你 3D 世界中的所有物品。,工作區服務會顯示您 3D 世界中的一切內容。
Studio.Tutorials.StudioTour2.workspace_Description,The Workspace service displays everything in your 3D world.,Der Arbeitsbereichsdienst zeigt alles in deiner 3D-Welt an.,The Workspace service displays everything in your 3D world.,El servicio Workspace muestra todo en tu mundo 3D.,Le service Workspace affiche tout dans votre monde 3D.,Il servizio Workspace mostra tutto nel tuo mondo 3D.,ワークスペースサービスは、あなたの3Dワールドにあるものすべてを表示します。,Workspace 서비스에서는 3D 월드의 모든 항목을 확인할 수 있습니다.,O serviço Espaço de trabalho exibe tudo em seu mundo 3D.,工作区服务将展示你 3D 世界中的所有物品。,工作区服务将展示你 3D 世界中的所有物品。,工作區服務會顯示您 3D 世界中的一切內容。
Studio.Tutorials.StudioTour.parts_Description,"Parts are the basic building blocks in Studio.<br/><br/>Use the arrow below the button to choose a shape, like a Block, Sphere or Cylinder.<br/><br/>Add as many as you like now!","Teile sind die Grundbausteine in Studio.<br/><br/>Wähle mit dem Pfeil unter der Schaltfläche eine Form aus, z.B. einen Block, eine Kugel oder einen Zylinder.<br/><br/>Füge jetzt so viele Teile hinzu, wie du möchtest!","Parts are the basic building blocks in Studio.<br/><br/>Use the arrow below the button to choose a shape, like a Block, Sphere or Cylinder.<br/><br/>Add as many as you like now!","Las piezas son los bloques de construcción básicos en Studio.<br/><br/>Usa la flecha debajo del botón para elegir una forma, como un bloque, esfera o cilindro.<br/><br/>¡Añade todas las que quieras ya!","Les parties sont les blocs de construction de base dans studio.<br/><br/>Utilise la flèche en dessous du bouton pour choisir une forme, comme un bloc, une sphère ou un cylindre.<br/><br/>Ajoute-en autant que tu veux !","Le parti sono gli elementi costitutivi di base di Studio.<br><br>Utilizzare la freccia sotto il pulsante per scegliere una forma, come un blocco, una sfera o un cilindro.<br><br>Aggiungi quanti vuoi ora!",パーツは、Studioの基礎となる構成要素です。<br/><br/>下にある矢印を使ってブロック、球体、または円柱などの形を選択します。<br/><br/>ここで好きなだけ追加してください！,"파트는 Studio에서의 구축을 위한 기본 블록입니다.<br/><br/>버튼 아래의 화살표를 사용해 블록, 구, 원통과 같은 모양을 선택하세요.<br/><br/>지금 바로 원하는 대로 추가해 보세요!","As partes são os blocos de construção básicos no Studio.<br/><br/>Use a seta abaixo do botão para escolher uma forma, como um bloco, esfera ou cilindro.<br/><br/>Adicione quantos você quiser agora mesmo!",部件是 Studio 里的基础建造单位。<br/><br/>使用箭头下方的按钮来选择部件形状，例如方块、球体或圆柱等。<br/><br/>想加多少就加多少！,部件是 Studio 里的基础建造单位。<br/><br/>使用箭头下方的按钮来选择部件形状，例如方块、球体或圆柱等。<br/><br/>想加多少就加多少！,零件是 Studio 中的基本建造單位。<br/><br/>使用按鈕下方的箭頭以選擇形狀，如方塊、球體或圓柱體。<br/><br/>現在盡量新增多一點您喜歡的形狀吧！
Studio.Tutorials.StudioTour.focus_Title,Focus,Fokussierung,Focus,Enfoque,Mise au point,Focus,フォーカス,초점,Foco,聚焦,聚焦,聚焦
Studio.Tutorials.StudioTour2.focus_Title,Focus,Fokussierung,Focus,Enfoca,Mise au point,Focus,フォーカス,초점,Foco,聚焦,聚焦,聚焦
Studio.Tutorials.StudioTour2.anchor_Title,Anchor the ramp,Die Rampe verankern,Anchor the ramp,Ancla la rampa,Ancrer la rampe,Ancorare la rampa,傾斜路を固定する,경사로 고정,Ancorar a rampa,锚固斜坡,锚固斜坡,固定斜坡
Studio.Tutorials.StudioTour2.scale_Title,Scale,Skalieren,Scale,Escalar,Échelle,Ridimensiona,拡大/縮小,스케일,Escala,比例,比例,縮放
Studio.Tutorials.StudioTour.focus_Description,Press F to focus the camera on the part while it's selected.,"Drücke F, um die Kamera auf das ausgewählte Teil zu fokussieren.",Press F to focus the camera on the part while it's selected.,Presiona F para enfocar la cámara en la pieza mientras esté seleccionada.,Appuie sur F pour focaliser la caméra sur la pièce pendant qu'elle est sélectionnée.,Premi F per mettere a fuoco la fotocamera sulla parte mentre è selezionata.,Fを押して、カメラを選択済みのパーツにフォーカスします。,선택한 파트에 카메라 초점을 맞추려면 F를 누르세요.,Pressione F para focar a câmera na parte enquanto ela estiver selecionada.,按 F 键将镜头聚焦在选中的部件上。,按 F 键将镜头聚焦在选中的部件上。,當選中零件後，按下 F 鍵可使攝影機聚焦於零件上。
Studio.Tutorials.StudioTour2.workspace_Title,Workspace,Arbeitsbereich,Workspace,Workspace,Workspace,Workspace,ワークスペース,Workspace,Espaço de trabalho,工作区,工作区,工作區
Studio.Tutorials.StudioTour.color_Title,Change Color,Farbe ändern,Change Color,Cambiar color,Changer la couleur,Cambia colore,色の変更,색상 변경,Mudar cor,更改颜色,更改颜色,變更顏色
Studio.Tutorials.StudioTour2.color_Description,Click this button to choose a new color for the ramp.,"Klicke auf diese Schaltfläche, um eine neue Farbe für die Rampe zu wählen.",Click this button to choose a new color for the ramp.,Haz clic en este botón para elegir un nuevo color para tu rampa.,Clique sur ce bouton pour choisir une nouvelle couleur pour la rampe.,Fai clic su questo pulsante per scegliere un nuovo colore per la tua parte.,傾斜路の新しい色を選択するには、このボタンをクリックします。,이 버튼을 클릭해 경사로에 다른 색상을 지정하세요.,Clique neste botão para escolher uma nova cor para a rampa.,点击此按钮为斜坡选择一个新颜色。,点击此按钮为斜坡选择一个新颜色。,按下此按鈕為斜坡選擇新顏色。
Studio.Tutorials.StudioTour.playtest_Description,"Finally, click the Play button to playtest your experience.","Klicke schließlich auf die Schaltfläche \"Spielen\", um dein Erlebnis zu testen.","Finally, click the Play button to playtest your experience.","Por último, haz clic en el botón Jugar para probar tu experiencia.","Enfin, clique sur le bouton Jouer pour tester ton expérience.","Infine, prova il tuo posto facendo clic sul pulsante Gioca.",最後にプレイボタンをクリックしてバーチャル空間をプレイテストします。,마지막으로 플레이 버튼을 클릭해 체험을 플레이테스트하세요.,"Por fim, clique no botão Jogar para testar sua experiência.",最后，点击“游玩”键对你的作品进行游戏测试。,最后，点击“游玩”键对你的作品进行游戏测试。,最後，按下遊玩按鈕以試玩您的體驗。
Studio.Tutorials.StudioTour2.searchMarketplace_Title,Search the Marketplace,Den Marktplatz durchsuchen,Search the Marketplace,Buscar en el Mercado,Rechercher sur le Marketplace,Cerchiamo un'auto,マーケットプレイスでサーチ,마켓플레이스 검색,Pesquisar no mercado,搜索商城,搜索商城,搜尋市集
Studio.Tutorials.StudioTour2.insertMarketplace_Title,Insert the car,Auto einfügen,Insert the car,Inserta el coche,Insérer la voiture,Inseriamo l'auto,車を挿入,자동차 삽입,Inserir o carro,插入汽车,插入汽车,插入車子
Studio.Tutorials.StudioTour2.insertMarketplace_Description,Click on the car's tile to insert it into your place.,"Klicke auf die Kachel des Autos, um es in deinen Ort einzufügen.",Click on the car's tile to insert it into your place.,Haz clic en el cuadro del coche para insertarlo en tu lugar.,Clique sur le pavé de la voiture pour l'insérer dans ton emplacement.,Fai clic sulla tessera della parte e trascinala sul bersaglio.,車のタイルをクリックしてプレースに挿入します。,자동차 타일을 클릭해 플레이스에 삽입하세요.,Clique no bloco do carro para inseri-lo em seu lugar.,选择汽车的砖格以将其插入场景。,选择汽车的砖格以将其插入场景。,按下車子的磚塊以將其插入您的空間。
Studio.Tutorials.StudioTour2.explorerSelected_Description,When you insert an asset it is automatically selected in Explorer.<br/><br/>Your currrent selection is also highlighted in the 3D world.,"Wenn du ein Objekt einfügst, wird es automatisch im Explorer ausgewählt.<br/><br/>Deine aktuelle Auswahl wird auch in der 3D-Welt hervorgehoben.",When you insert an asset it is automatically selected in Explorer.<br/><br/>Your currrent selection is also highlighted in the 3D world.,"Cuando insertas un recurso, se selecciona automáticamente en el Explorador.<br/><br/>Tu selección actual también está resaltada en el mundo 3D.","Lorsque tu insères un contenu, il est automatiquement sélectionné dans Explorer.<br/><br/>Ta sélection actuelle est également mise en évidence dans le monde 3D.","Quando inserisci una risorsa, viene automaticamente selezionata in Explorer.",アセットを挿入すると、エクスプローラで自動的に選択されます。,애셋을 삽입하면 탐색기에서 자동으로 선택됩니다.<br/><br/>현재 선택 항목도 3D 월드에서 강조 표시됩니다.,"Quando você insere um ativo, ele é automaticamente selecionado no Explorador.<br/><br/>Sua seleção atual também é destacada no mundo 3D.",当你插入一个素材后，素材将自动在浏览器中选中。<br/><br/>你当前的选择也将在3D世界中高亮显示。,当你插入一个素材后，素材将自动在浏览器中选中。<br/><br/>你当前的选择也将在3D世界中高亮显示。,您插入素材之後，它會自動在總管中呈現選定狀態。<br/><br/>您目前的選擇也會在 3D 世界中標記出來。
Studio.Tutorials.StudioTour2.color_Title,Change the color of the ramp,Farbe der Rampe ändern,Change the color of the ramp,Cambia el color de la rampa,Changer la couleur de la rampe,Cambia il colore della rampa,傾斜路の色を変更,경사로 색상 변경,Mudando a cor da rampa,调整斜坡颜色,调整斜坡颜色,變更斜坡顏色
Studio.Tutorials.StudioTour2.wedge_Title,Insert a Wedge,Keil einfügen,Insert a Wedge,Inserta una Cuña,Insérer un coin,Inserisci un wedge,三角柱を挿入,쐐기 삽입,Inserir uma cunha,插入一个楔形,插入一个楔形,插入楔形
Studio.Tutorials.StudioTour2.move_Description,Use the Move tool to move the ramp in front of the car.<br/><br/>Click and drag the handles to move the ramp.,"Verwende das Verschiebungswerkzeug, um die Rampe vor das Auto zu schieben.<br/><br/>Klicke und ziehe die Ziehpunkte, um die Rampe zu verschieben.",Use the Move tool to move the ramp in front of the car.<br/><br/>Click and drag the handles to move the ramp.,Usa la herramienta de movimiento para mover la rampa delante del coche.<br/><br/>Haz clic y arrastra las manijas para mover la rampa.,Utiliser l'outil Déplacer pour déplacer la rampe devant la voiture.<br/><br/>Cliquer et faire glisser les poignées pour déplacer la rampe.,Usa lo strumento di spostamento per posizionare la rampa di fronte alla macchina.,移動ツールを使用して車の前にある傾斜路を動かします。<br/><br/>ハンドルをクリックしてからドラッグして傾斜路を動かします。,이동 도구를 사용해 차량 앞쪽으로 경사로를 이동하세요.<br/><br/>경사로를 옮기려면 핸들을 클릭하고 드래그하세요.,Use a ferramenta Mover para mover a rampa na frente do carro.<br/><br/>Clique e arraste as alças para mover a rampa.,使用移动工具来移动汽车前面的斜坡。<br/><br/>点击并拖动手柄来移动斜坡。,使用移动工具来移动汽车前面的斜坡。<br/><br/>点击并拖动手柄来移动斜坡。,使用移動工具將斜坡移至車子前面。<br/><br/>按下並拖曳手把以移動斜坡。
Studio.Tutorials.StudioTour2.rotate_Description,Use the rotate tool to turn the wedge around so it faces the car.<br/><br/>Click and drag the handles to rotate.,"Verwende das Drehwerkzeug, um den Keil so zu drehen, dass er dem Auto zugewandt ist.<br/><br/>Klicke und ziehe die Ziehpunkte, um ihn zu drehen.",Use the rotate tool to turn the wedge around so it faces the car.<br/><br/>Click and drag the handles to rotate.,Usa la herramienta de rotación para girar la cuña para que esté orientada hacia el coche.<br/><br/>Haz clic y arrastra los manijas para girarla.,Utiliser l'outil de rotation pour faire tourner le coin de sorte qu'il fasse face à la voiture.<br/><br/>Cliquer et faire glisser les poignées pour les faire pivoter.,Usa lo strumento di rotazione per ruotare il cuneo in modo che sia rivolto verso l'auto.,回転ツールを使用して三角柱を回し、車のほうに向けます。,회전 도구를 사용해 쐐기가 자동차를 향하도록 회전합니다.<br/><br/>회전하려면 핸들을 클릭하고 드래그하세요.,Use a ferramenta de rotação para girar a cunha para que ela fique de frente para o carro.<br/><br/>Clique e arraste as alças para girar.,使用旋转工具来旋转楔形使其面对汽车<br/><br/>点击并拖动手柄来旋转。,使用旋转工具来旋转楔形使其面对汽车<br/><br/>点击并拖动手柄来旋转。,使用旋轉工具將楔形轉向面向車子。<br/><br/>按下並拖曳手把以旋轉。
Studio.Tutorials.StudioTour2.scale_Description,Use the Scale tool to make the ramp big enough for the car to drive over.<br/><br/>Click and drag the handles to change its size.,"Verwende das Skalierungswerkzeug, um die Rampe so groß zu machen, dass das Auto darüber fahren kann.<br/><br/>Klicke und ziehe die Ziehpunkte, um die Größe zu ändern.",Use the Scale tool to make the ramp big enough for the car to drive over.<br/><br/>Click and drag the handles to change its size.,Usa la herramienta de escalado para hacer que la rampa sea lo suficientemente grande para que el coche pueda pasar encima.<br/><br/>Haz clic y arrastra las manijas para cambiar su tamaño.,Utiliser l'outil Échelle pour rendre la rampe assez grande pour que la voiture puisse passer.<br/><br/>Cliquer et faire glisser les poignées pour changer sa taille.,Usa lo strumento scala per ingrandire il cuneo.,拡大/縮小ツールを使用して三角柱を大きくします。,스케일 도구를 사용해 자동차가 지나갈 수 있을 만큼 경사로를 만드세요.<br/><br/>크기를 변경하려면 핸들을 클릭하고 드래그하세요.,Use a ferramenta Escala para fazer a rampa grande o suficiente para o carro passar.<br/><br/>Clique e arraste as alças para alterar seu tamanho.,使用比例工具来加大斜坡直至可以让汽车通过。<br/><br/>点击并拖动手柄来调整其尺寸。,使用比例工具来加大斜坡直至可以让汽车通过。<br/><br/>点击并拖动手柄来调整其尺寸。,使用縮放工具讓斜坡大到能讓車子開過去。<br/><br/>按下並拖曳手把以變更其大小。
Studio.Tutorials.StudioTour2.anchor_Description,"If the ramp isn't Anchored, it will move when you try to drive over it. With the ramp selected, click Anchor to make it anchored.","Wenn die Rampe nicht verankert ist, bewegt sie sich, wenn du versuchst, über sie zu fahren. Klicke bei ausgewählter Rampe auf \"Verankern\", um sie zu verankern.","If the ramp isn't Anchored, it will move when you try to drive over it. With the ramp selected, click Anchor to make it anchored.","Si la rampa no está Anclada, se moverá cuando conduzcas sobre ella. Con la rampa seleccionada, haz clic en Anclar para anclarla.","Si la rampe n'est pas ancrée, elle se déplacera lorsque tu tenteras de la survoler. Avec la rampe sélectionnée, cliquer sur Ancre pour l'ancre.",Ora ancoriamo la rampa in modo che rimanga posizionata quando la guidi.,傾斜路を固定して、車を乗り越えるときに動かないようにしましょう。,경사로가 고정되어 있지 않으면 그 위로 주행하려고 할 때 경사로가 움직이게 됩니다. 경사로를 선택한 상태에서 '앵커'를 클릭해 고정하세요.,"Se a rampa não estiver ancorada, ela se moverá quando você tentar saltá-la. Com a rampa selecionada, clique em Âncora para torná-la ancorada.",如果斜坡未被锚固，当你尝试通过斜坡时斜坡会移动。选中斜坡后，点击“锚固”以锚固斜坡。,如果斜坡未被锚固，当你尝试通过斜坡时斜坡会移动。选中斜坡后，点击“锚固”以锚固斜坡。,若斜坡並未固定，在您嘗試開過去的時候它會跟著移動。請選擇斜坡，按下固定使其固定。
