Key,Source,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,zh-cjv,zh-cn,zh-tw
Studio.AssetImporter.Statuses.MeshScaleWarning,One of the objects dimensions are larger than can be imported.,One of the objects dimensions are larger than can be imported.,Una de las dimensiones de los objetos es mayor de lo que se puede importar.,Une des dimensions des objets est plus grande que ce qui peut être importé.,Uno degli oggetti è più grande di quello che può essere importato.,オブジェクトのうち一つの大きさがインポート可能なサイズを超えています,개체 중 하나의 크기가 가져올 수 있는 크기를 초과합니다.,Uma das dimensões dos objetos é maior do que pode ser importada.,其中一个对象尺寸大于可导入上限。,其中一个对象尺寸大于可导入上限。,其中一個物件的尺寸大於可匯入上限。
Studio.AssetImporter.Statuses.CageHasMaterialWarning,Material(s) found under this cage mesh will be ignored. Materials cannot be applied to CageWrap instances.,Material(s) found under this cage mesh will be ignored. Materials cannot be applied to CageWrap instances.,Los materiales encontrados en esta malla de jaula se omitirán. Los materiales no se pueden aplicar a instancias de CageWrap.,Les matériaux trouvés sous cette cage seront ignorés. Les matériaux ne peuvent pas être appliqués aux instances CageWrap .,I materiali trovati sotto questa rete di gabbia verranno ignorati. I materiali non possono essere applicati alle istanze di CageWrap,このケージメッシュの下にある素材は無視されます。素材は CageWrap インスタンスには適用できません。,이 케이지 메시 아래의 재질은 무시됩니다. 재질은 CageWrap 인스턴스에 적용할 수 없습니다.,Materiais encontrados sob esta malha de gaiola serão ignorados. Materiais não podem ser aplicados a instâncias de CageWrap.,于此围笼网格下找到的材质将被忽略。材质无法应用于 CageWrap 实例。,于此围笼网格下找到的材质将被忽略。材质无法应用于 CageWrap 实例。,此圍籠網格底下找到的材質將被忽略。材質無法套用到 CageWrap 個體。
Studio.AssetImporter.Statuses.MeshSizeWarning,The number of triangles is greater than is supported. Object will be simplified.,The number of triangles is greater than is supported. Object will be simplified.,El número de triángulos es mayor que la cantidad compatible. El objeto será simplificado.,Le nombre de triangles est plus grand que celui supporté. L'objet sera simplifié.,Il numero di triangoli è maggiore di quello supportato. L'oggetto sarà semplificato.,三角形の数が対応可能な数を超えています。オブジェクトは簡素化されます。,삼각형의 수가 지원되는 개수를 초과합니다. 개체가 단순화됩니다.,O número de triângulos é maior do que o suportado. O objeto será simplificado.,三角形的数量大于支持上限。对象将被简化。,三角形的数量大于支持上限。对象将被简化。,三角形數量大於可支援上限。物件將被簡化。
Studio.AssetImporter.PropertiesTooltip.ImportName,The name of the object,The name of the object,El nombre del objeto,Le nom de l'objet,Il nome dell'oggetto,オブジェクトの名前,개체의 이름,O nome do objeto,对象名称,对象名称,物件名稱
Studio.AssetImporter.PropertiesTooltip.InsertInWorkspace,If this object should be inserted into the workspace after import,If this object should be inserted into the workspace after import,Si este objeto debe insertarse en el área de trabajo después de importarlo,Si cet objet doit être inséré dans l'espace de travail après importation,Se questo oggetto deve essere inserito nello spazio di lavoro dopo l'importazione,インポート後にこのオブジェクトをワークスペースに挿入する場合,개체를 가져온 다음 작업 공간에 삽입해야 하는지 여부,Se este objeto deve ser inserido na área de trabalho após a importação,导入后对象是否应插入工作区,导入后对象是否应插入工作区,匯入後物件是否應插入到工作區
Studio.AssetImporter.Statuses.FacsMax3CorrectivesError3,Correctives can be for at most 3 control names.  Found {Size} for attribute "{FrameAttr}": "{FacsControlName}",Correctives can be for at most 3 control names.  Found {Size} for attribute "{FrameAttr}": "{FacsControlName}",Las correcciones pueden ser como máximo 3 nombres de control. Se encontró {Size} para el atributo "{FrameAttr}": "{FacsControlName}",Les correctifs peuvent contenir au maximum 3 noms de contrôle. Trouvé {Size} pour l'attribut "{FrameAttr}": "{FacsControlName}",I corretti possono essere per al massimo 3 nomi di controllo. Trovato {Size} per l'attributo "{FrameAttr}": "{FacsControlName}",矯正は3つのコントロール名に対して行うことができます。属性「{FrameAttr}」の 「{Size}」を見つけました:「{FacsControlName}」,보정은 최대 3개의 컨트롤 이름으로 사용할 수 있습니다. '{FrameAttr}' 속성에 대한 {Size} 발견: '{FacsControlName}',Corretivos podem ser no máximo 3 nomes de controle. Encontrado {Size} para o atributo "{FrameAttr}": "{FacsControlName}",校正器最多可以是 3 个控制名称。已找到 {Size} 的属性“{FrameAttr}”：“{FacsControlName}”,校正器最多可以是 3 个控制名称。已找到 {Size} 的属性“{FrameAttr}”：“{FacsControlName}”,校正最多可以由 3 個控制名稱使用。已為特性「{FrameAttr}」找到 {Size}：「{FacsControlName}」
Studio.AssetImporter.PropertiesTooltip.InvertNegativeFaces,Whether or not to flip negative faces,Whether or not to flip negative faces,Si se voltean las caras negativas o no,Retourner ou non des faces négatives,Indica se capovolgere o meno le facce negative,マイナス面を反転するかどうか,음의 면 뒤집기 여부,Girar ou não as faces negativas,是否翻转负面表面,是否翻转负面表面,是否翻轉負面表面
Studio.AssetImporter.PropertiesTooltip.PolygonCount,The total count of polygons in this object,The total count of polygons in this object,El recuento total de polígonos en este objeto,Le nombre total de polygones dans cet objet,Il conteggio totale dei poligoni in questo oggetto,このオブジェクト内の多角形の合計数,이 개체의 총 다각형 수,A contagem total de polígonos neste objeto,此对象中的多边形总数,此对象中的多边形总数,此物件中的多邊形總數
Studio.AssetImporter.PropertiesTooltip.RigType,The type of Rig to import,The type of Rig to import,El tipo de rig a importar,Le type de Rig à importer,Il tipo di Rig da importare,インポートするリグの種類,가져올 리그 유형,O tipo de rig a importar,要导入的骨架类型,要导入的骨架类型,要匯入的骨架類型
Studio.AssetImporter.Statuses.CouldNotReadRoughnessError,Could not read the roughness texture file associated with this object.,Could not read the roughness texture file associated with this object.,No se pudo leer el archivo de textura de rugosidad asociado con este objeto.,Impossible de lire le fichier de texture de rugosité associé à cet objet.,Impossibile leggere il file di texture ruvidità associato a questo oggetto.,このオブジェクトと関連した粗さテクスチャファイルを読み取れませんでした。,이 개체와 연결된 거칠기 텍스처 파일을 읽을 수 없습니다.,Não foi possível ler o arquivo de textura ríspida associado a este objeto.,无法读取与此对象关联的粗糙度纹理文件。,无法读取与此对象关联的粗糙度纹理文件。,無法讀取此物件相關的粗糙度紋理檔案。
Studio.AssetImporter.PropertiesTooltip.WorldForward,The file's forward vector,The file's forward vector,El vector de reenvío del archivo,Le vecteur du fichier vers l'avant,Il vettore di inoltro del file,ファイルの前方ベクトル,파일의 전방 벡터,O vetor à frente do arquivo,文件的前进向量,文件的前进向量,檔案的前進向量
Studio.AssetImporter.PropertiesTooltip.WorldUp,The file's up vector,The file's up vector,Vector de carga del archivo,Le fichier du vecteur vers le haut,Il vettore del file in alto,ファイルの上方ベクトル,파일의 상향 벡터,O vetor acima do arquivo,文件的上升向量,文件的上升向量,檔案的上升向量
Studio.AssetImporter.Plugin.Close,Close,Close,Cerrar,Fermer,Chiudi,閉じる,닫기,Fechar,关闭,关闭,關閉
Studio.AssetImporter.Error.DefaultNoStatus,Import failed,Import failed,Error al importar,L'importation a échoué,Importazione non riuscita,インポートできませんでした,가져오기 실패,Falha ao importar,导入失败,导入失败,匯入失敗
Studio.AssetImporter.Upload.Failure,Import failed,Import failed,Error al importar,L'importation a échoué,Importazione non riuscita,インポートできませんでした,가져오기 실패,Falha ao importar,导入失败,导入失败,匯入失敗
Studio.AssetImporter.Statuses.FacsNoRootFaceJoint1,No joint named "{JointName}" found as specified by extra attribute "RootFaceJoint".,No joint named "{JointName}" found as specified by extra attribute "RootFaceJoint".,No se encontró ningún conjunto llamado "{JointName}" como especificado por el atributo extra "RootFaceJoint".,Aucun joint nommé "{JointName}" trouvé comme spécifié par l'attribut supplémentaire "RootFaceJoint".,Nessun congiunto chiamato "{JointName}" trovato come specificato dall'attributo extra "RootFaceJoint".,追加属性「RootFaceJoint」で指定されているように、「{JointName}」という名前のジョイントが見つかりません。,추가 속성 'RootFaceJoint'에 의해 지정된 '{JointName}' 조인트를 찾을 수 없습니다.,Nenhuma articulação de nome "{JointName}" encontrada como especificada pelo atributo extra "RootFaceJoint".,未找到根据额外属性“RootFaceJoint”所指定名为“{JointName}”的关节。,未找到根据额外属性“RootFaceJoint”所指定名为“{JointName}”的关节。,指定的額外屬性「RootFaceJoint」找不到名稱為「{JointName}」的接合。
Studio.AssetImporter.Upload.Uploading,Uploading,Uploading,Cargando,Téléchargement en cours,Caricamento,アップロード中,업로드 중,Enviando,正在上传,正在上传,正在上傳
Studio.AssetImporter.Error.WindowTitle,Error,Error,Error,Erreur,Errore,エラー,오류,Erro,错误,错误,錯誤
Studio.AssetImporter.Error.Header,Failed to open the selected file.,Failed to open the selected file.,Error al abrir el archivo seleccionado.,Impossible d'ouvrir le fichier sélectionné.,Impossibile importare i file selezionati.,選択済みファイルを開けませんでした。,선택한 파일을 열지 못했습니다.,Falha ao abrir o arquivo selecionado.,无法开启所选文件。,无法开启所选文件。,無法開啟選擇的檔案。
Studio.AssetImporter.Error.OK,OK,OK,Aceptar,Ok,OK,了解,확인,OK,确认,确认,確定
Studio.AssetImporter.HttpError.OK,OK,OK,Aceptar,Ok,OK,了解,확인,OK,确认,确认,確定
Studio.AssetImporter.EnumItem.R15,R15,R15,R15,R15,R15,15才以上,R15,R15,R15,R15,R15
Studio.AssetImporter.EnumItem.Rthro,Rthro,Rthro,Rthro,Rthro,Rthro,Rthro,Rthro,Rthro,Rthro,Rthro,Rthro
Studio.AssetImporter.EnumItem.Custom,Custom,Custom,Personalizar,Personnaliser,Personalizzato,カスタム,사용자 정의,Personalizar,自定义,自定义,自訂
Studio.AssetImporter.EnumItem.None,No Rig,No Rig,Sin Rig,Pas de rig,Nessun Rig,リグなし,리그 없음,Sem rig,无骨架,无骨架,沒有骨架
Studio.AssetImporter.PropertiesTooltip.UseSceneOriginAsCFrame,If the model's CFrame should be set at the imported scene's origin,If the model's CFrame should be set at the imported scene's origin,Si el CFrame del modelo debe establecerse en el origen de la escena importada,Si le CFrame du modèle doit être défini à l'origine de la scène importée,Se il punto di perno del modello deve essere impostato all'origine della scena importata,モデルの CFrame をインポートされたシーン起源に設定する必要がある場合,가져오기한 장면의 원점에 모델의 CFrame이 설정될지 여부,Se o modelo CFrame deve ser colocado na origem da cena importada,如果模型的 CFrame 应设在导入场景的原点,如果模型的 CFrame 应设在导入场景的原点,模型的 CFrame 是否設在匯入場景的原點
Studio.AssetImporter.Statuses.RoughnessBadFileFormatError,Unsupported roughness texture file format.,Unsupported roughness texture file format.,Formato de archivo de textura de rugosidad no compatible.,Format de fichier de texture de rugosité non pris en charge.,Formato di file di texture ruvidità non supportato.,対応していない粗さのテクスチャファイル形式です。,지원되지 않는 거칠기 텍스처 파일 형식입니다.,Formato de textura ríspida não suportado.,不支持的粗糙度纹理文件格式。,不支持的粗糙度纹理文件格式。,未支援的粗糙度紋理檔案格式。
Studio.AssetImporter.EnumItem.Meter,Meter,Meter,Medidor,Compteur,Contatore,メートル,미터,Medidor,米,米,公尺
Studio.AssetImporter.EnumItem.Back,Back,Back,Trasero,Arrière,Schiena,背面,후면,Costas,背面,背面,後
Studio.AssetImporter.EnumItem.Front,Front,Front,Frontal,Avant,Davanti,正面,전면,Frente,正面,正面,前
Studio.AssetImporter.EnumItem.Left,Left,Left,Izquierdo,Gauche,Sinistra,左,왼쪽,Esquerda,左,左,左
Studio.AssetImporter.EnumItem.Top,Top,Top,Superior,Haut,Top,上,상단,Superior,顶部,顶部,上
Studio.AssetImporter.EnumItem.Bottom,Bottom,Bottom,Inferior,Bas,In basso,下,하단,Inferior,底部,底部,下
Studio.AssetImporter.EnumItem.Stud,Stud,Stud,Stud,Stud,Stud,スタッド,스터드,Quadrícula,格,格,磚塊
Studio.AssetImporter.Sections.AnimationGeneral,Animation General,Animation General,General de animación,Animation générale,Animazione generale,アニメーション全般,애니메이션 일반,Animação geral,动画通用,动画通用,動畫一般
Studio.AssetImporter.EnumItem.CM,CM,CM,CM,CM,CM,CM,CM,CM,厘米,厘米,CM
Studio.AssetImporter.EnumItem.MM,MM,MM,MM,MM,MM,MM,MM,MM,毫米,毫米,MM
Studio.AssetImporter.EnumItem.Foot,Foot,Foot,Pie,Pied,Piede,フィート,피트,Pé,英尺,英尺,英尺
Studio.AssetImporter.EnumItem.Inch,Inch,Inch,Pulgada,Pouce,Pollici,インチ,인치,Polegada,英寸,英寸,英吋
Studio.AssetImporter.Statuses.TextureBadFileFormatError,Unsupported texture file format.,Unsupported texture file format.,Formato de archivo de textura no compatible.,Format de fichier de texture non pris en charge.,Formato di texture non supportato.,テクスチャのファイル形式に対応していません。,지원되지 않는 텍스처 파일 형식입니다.,Formato de textura não suportado.,不支持的纹理文件格式。,不支持的纹理文件格式。,未支援的紋理檔案格式。
Studio.AssetImporter.Upload.FailureDescriptionNoError,Something went wrong. Please try again.,Something went wrong. Please try again.,Algo salió mal. Inténtalo de nuevo.,Une erreur s'est produite. Réessayer.,Qualcosa è andato storto. Riprova.,問題が発生しました。もう一度やり直してください。,문제가 발생했습니다. 다시 시도하세요.,Algo deu errado. Tente novamente.,发生错误。请再试一次。,发生错误。请再试一次。,發生錯誤，請重新嘗試。
Studio.AssetImporter.PropertiesTooltip.CageManifoldPreview,"This cage has non-manifold geometry, which can cause deformation issues. Non-manifold area is marked in the preview render","This cage has non-manifold geometry, which can cause deformation issues. Non-manifold area is marked in the preview render",Esta jaula tiene geometría no múltiple que puede causar problemas de deformación. El área no múltiple está marcada en la vista previa,"Cette cage a une géométrie non-maniforme, ce qui peut causer des problèmes de déformation. La zone non-maniforme est marquée dans le rendu de l'aperçu","Questa gabbia ha una geometria non manifold, che può causare problemi di deformazione. L'area non manifold è contrassegnata nel rendering di anteprima",このゲージには、変形の問題を起こす可能性のある非多様体ジオメトリがあります。非多様体エリアは、プレビューのレンダリングでマークされています,이 케이지에는 변형 문제를 일으킬 수 있는 비다양체 지오메트리가 있습니다. 비다양체 영역은 미리 보기 렌더링에 표시됩니다.,"Esta gaiola tem geometria não múltipla, o que pode causar problemas de deformação. A área não múltipla é marcada na prévia de renderização",此围笼具有非流形几何，可能会导致变形问题。非流形区域已于预览渲染中标记出来。,此围笼具有非流形几何，可能会导致变形问题。非流形区域已于预览渲染中标记出来。,此圍籠使用非流形幾何，可能會造成變形問題。非流形區域已在預覽成像標出
Studio.AssetImporter.PropertiesTooltip.CageNonManifoldPreview,"This cage has non-manifold geometry, which can cause deformation issues. Non-manifold area is marked in the preview render","This cage has non-manifold geometry, which can cause deformation issues. Non-manifold area is marked in the preview render",Esta jaula tiene geometría no múltiple que puede causar problemas de deformación. El área no múltiple está marcada en la vista de renderizado,"Cette cage a une géométrie non-maniforme, ce qui peut causer des problèmes de déformation. La zone non-maniforme est marquée dans le rendu de l'aperçu","Questa gabbia ha una geometria non manifold, che può causare problemi di deformazione. L'area non manifold è contrassegnata nel rendering di anteprima",このゲージには、変形の問題を起こす可能性のある非多様体ジオメトリがあります。非多様体エリアは、プレビューのレンダリングでマークされています,이 케이지에는 변형 문제를 일으킬 수 있는 비다양체 지오메트리가 있습니다. 비다양체 영역은 미리 보기 렌더링에 표시됩니다.,"Esta gaiola tem geometria não múltipla, o que pode causar problemas de deformação. A área não múltipla é marcada na prévia de renderização",此围笼具有非流形几何，可能会导致变形问题。非流形区域已于预览渲染中标记出来。,此围笼具有非流形几何，可能会导致变形问题。非流形区域已于预览渲染中标记出来。,此圍籠使用非流形幾何，可能會造成變形問題。非流形區域已在預覽成像標出
Studio.AssetImporter.HttpError.422,Name was moderated. Please rename and try again.,Name was moderated. Please rename and try again.,Se moderó el nombre. Renómbralo e inténtalo otra vez.,Le nom a été modéré. Renommer et réessayer.,Nome moderato. Rinominare e riprovare.,名前が内容規制されました。名前を変更してもう一度お試し下さい。,이름이 검열되었습니다. 이름을 변경하고 다시 시도하세요.,O nome foi moderado. Renomeie e tente novamente.,名称已被过滤。请重命名并重试。,名称已被过滤。请重命名并重试。,名稱遭到過濾，請變更名稱並重新嘗試。
Studio.AssetImporter.PropertiesTooltip.MetalnessFilePath,The file path of the metalness map. The metalness map is a grayscale image used to determine how metallic a surface should look,The file path of the metalness map. The metalness map is a grayscale image used to determine how metallic a surface should look,La ruta del archivo del mapa de metalidad. El mapa de metalidad es una imagen de escala de grises usada para determinar cómo debe verse una superficie metálica,Le chemin du fichier de la carte métallisée. La carte des métaux est une image en niveaux de gris utilisée pour déterminer à quel point une surface métallique doit être métallisée,Il percorso del file della mappa di metalness. La mappa di metalness è un'immagine in scala di grigi usata per determinare come dovrebbe apparire una superficie metallica,金属度マップのファイルパス。金属度マップは、表面がどの程度メタリックに見えるかを決めるのに使われるグレースケール画像。,금속성 맵의 파일 경로입니다. 금속성 맵은 표면의 금속성 정도를 결정하는 데 사용되는 회색조 이미지입니다.,O caminho do arquivo do mapa metálico. O mapa metálico é uma imagem cinza usada para determinar quão metálica a superfície deve parecer.,金属贴图的文件路径。金属贴图是一种灰度图像，用于决定表面呈现的金属度,金属贴图的文件路径。金属贴图是一种灰度图像，用于决定表面呈现的金属度,金屬性圖的檔案路徑。金屬性圖是決定表面外觀金屬性的灰階圖像
Studio.AssetImporter.HttpError.429,Upload failed. Endpoint has too many requests - please try again later.,Upload failed. Endpoint has too many requests - please try again later.,Error al cargar. Endpoint tiene demasiadas solicitudes. Inténtalo otra vez más tarde.,Échec du téléchargement. Le point de terminaison a trop de requêtes - Réessayer plus tard.,Caricamento fallito. Il punto finale ha troppe richieste - si prega di riprovare più tardi.,アップロードできませんでした。エンドポイントにリクエストが多すぎます。後でもう一度お試しください。,업로드 실패. 끝점에 요청이 너무 많습니다. 나중에 다시 시도하세요.,Falha no upload. O Endpoint tem muitas solicitações - tente novamente mais tarde.,上传失败。端点有太多请求，请稍后重试。,上传失败。端点有太多请求，请稍后重试。,上傳失敗。終點請求過多，請稍後再試。
Studio.AssetImporter.HttpError.UnknownStatusCode,Upload failed. Status Code:,Upload failed. Status Code:,Error al cargar. Código de estado:,Le téléchargement a échoué. Statut code :,Caricamento fallito. Codice di stato:,アップロードできませんでした。状況コード:,업로드하지 못했습니다. 상태 코드:,Falha no upload. Código de status:,上传失败。状态代码：,上传失败。状态代码：,上傳失敗。狀態碼：
Studio.AssetImporter.HttpError.UploadResultBadIdParse,Could not upload. Asset name may have been rejected by moderation.,Could not upload. Asset name may have been rejected by moderation.,No se pudo cargar. Es posible que el nombre del recurso se haya rechazado por la moderación.,Impossible de télécharger. Le nom du contenu a peut-être été rejeté par modération.,Impossibile caricare. Il nome dell'asset potrebbe essere stato rifiutato dalla moderazione.,アップロードできませんでした。アセット名が内容審査によって却下された可能性があります。,업로드할 수 없습니다. 애셋 이름이 검열되었을 수 있습니다.,Não foi possível enviar. O nome do ativo pode ter sido rejeitado pela moderação.,无法上传。素材名称可能已被审核团队拒绝。,无法上传。素材名称可能已被审核团队拒绝。,無法上傳。素材名稱可能遭到過濾。
Studio.AssetImporter.Statuses.IncorrectR15Warning,This rig does not follow the guidelines of chosen rig type.,This rig does not follow the guidelines of chosen rig type.,Este rig no sigue las pautas del tipo de rig elegido.,Cette rig ne suit pas les directives du type de rig choisi.,Questo impianto non segue le linee guida del tipo di impianto scelto.,このリグは、選択されたリグタイプのガイドラインに従っていません。,이 리그는 선택한 리그 유형의 가이드라인을 따르고 있지 않습니다.,Esta rig não segue as diretrizes do tipo de rig escolhida.,此骨架未遵循所选骨架类型的准则。,此骨架未遵循所选骨架类型的准则。,此骨架未遵守指定骨架類型的準則。
Studio.AssetImporter.Statuses.CouldNotReadDiffuseError,Could not read the diffuse texture file associated with this object.,Could not read the diffuse texture file associated with this object.,No se pudo leer el archivo de textura de difusión asociado con este objeto.,Impossible de lire le fichier de texture diffuse associé à cet objet.,Impossibile leggere il file di texture diffusa associato a questo oggetto.,このオブジェクトと関連した拡散テクスチャファイルを読み取れませんでした。,이 개체와 연결된 확산 텍스처 파일을 읽을 수 없습니다.,Não foi possível ler o arquivo de textura difusa associado a este objeto.,无法读取与此对象关联的扩散纹理文件。,无法读取与此对象关联的扩散纹理文件。,無法讀取此物件相關的漫射紋理檔案。
Studio.AssetImporter.Statuses.DiffuseBadFileFormatError,Unsupported diffuse texture file format.,Unsupported diffuse texture file format.,Formato de archivo de textura de difusión no compatible.,Format de fichier de texture diffuse non pris en charge.,Formato di texture diffuso non supportato.,対応していない拡散テクスチャファイル形式です。,지원되지 않는 확산 텍스처 파일 형식입니다.,Formato de textura difusa não suportado.,不支持的扩散纹理文件格式。,不支持的扩散纹理文件格式。,未支援的漫射紋理檔案格式。
Studio.AssetImporter.Statuses.CouldNotReadMetalnessError,Could not read the metalness texture file associated with this object.,Could not read the metalness texture file associated with this object.,No se pudo leer el archivo de textura de metalidad asociado con este objeto.,Impossible de lire le fichier de texture métallisation associé à cet objet.,Impossibile leggere il file di texture diffusa associato a questo oggetto.,このオブジェクトと関連した金属度テクスチャファイルを読み取れませんでした。,이 개체와 연결된 금속성 텍스처 파일을 읽을 수 없습니다.,Não foi possível ler o arquivo de textura metálica associado a este objeto.,无法读取与此对象关联的金属纹理文件。,无法读取与此对象关联的金属纹理文件。,無法讀取此物件相關的金屬性紋理檔案。
Studio.AssetImporter.Statuses.MetalnessBadFileFormatError,Unsupported metalness texture file format.,Unsupported metalness texture file format.,Formato de archivo de textura de metalidad no compatible.,Format de texture de métaux non pris en charge.,Formato di file di texture metalness non supportato.,対応していない金属度テクスチャのファイル形式です。,지원되지 않는 금속성 텍스처 파일 형식입니다.,Formato de textura metálica não suportado.,不支持的金属纹理文件格式。,不支持的金属纹理文件格式。,未支援的金屬性紋理檔案格式。
Studio.AssetImporter.Statuses.CouldNotReadNormalError,Could not read the normal texture file associated with this object.,Could not read the normal texture file associated with this object.,No se pudo leer el archivo de textura normal asociado con este objeto.,Impossible de lire le fichier de texture normale associé à cet objet.,Impossibile leggere il file di texture normale associato a questo oggetto.,このオブジェクトと関連した標準テクスチャファイルを読み取れませんでした。,이 개체와 연결된 일반 텍스처 파일을 읽을 수 없습니다.,Não foi possível ler o arquivo de textura normal associado a este objeto.,无法读取与此对象关联的法线纹理文件。,无法读取与此对象关联的法线纹理文件。,無法讀取此物件相關的法線紋理檔案。
Studio.AssetImporter.Statuses.NormalBadFileFormatError,Unsupported normal texture file format.,Unsupported normal texture file format.,Formato del archivo de textura normal no compatible.,Format de fichier de texture normale non pris en charge.,Formato di file di texture normale non supportato.,対応していない通常テクスチャファイル形式です。,지원되지 않는 일반 텍스처 파일 형식입니다.,Formato de textura normal não suportado.,不支持的法线纹理文件格式。,不支持的法线纹理文件格式。,未支援的法線紋理檔案格式。
Studio.AssetImporter.Properties.DiffuseFilePath,Diffuse File Path,Diffuse File Path,Ruta de archivo difusión,Chemin du fichier de diffusion,Percorso file diffuso,拡散ファイルパス,확산 파일 경로,Caminho do arquivo difuso,扩散文件路径,扩散文件路径,漫射檔案路徑
Studio.AssetImporter.Properties.NormalFilePath,Normal File Path,Normal File Path,Ruta de archivo normal,Chemin de fichier normal,Percorso file normale,通常のファイルパス,일반 파일 경로,Caminho do arquivo normal,法线文件路径,法线文件路径,法線檔案路徑
Studio.AssetImporter.Properties.MetalnessFilePath,Metalness File Path,Metalness File Path,Ruta de archivo de metalidad,Chemin du fichier de métallisation,Percorso file metalness,金属度ファイルパス,금속성 파일 경로,Caminho do arquivo metálico,金属文件路径,金属文件路径,金屬性檔案路徑
Studio.AssetImporter.Properties.RoughnessFilePath,Roughness File Path,Roughness File Path,Ruta de archivo de rugosidad,Chemin du fichier de rugosité,Percorso file ruvidità,粗さファイルパス,거칠기 파일 경로,Caminho do arquivo ríspido,粗糙度文件路径,粗糙度文件路径,粗糙度檔案路徑
Studio.AssetImporter.Properties.NoFilePath,No file provided,No file provided,Ningún archivo proporcionado,Aucun fichier fourni,Nessun file fornito,ファイルが提供されていません,제공된 파일이 없습니다,Nenhum arquivo fornecido,未提供文件,未提供文件,未提供檔案
Studio.AssetImporter.PropertiesTooltip.DiffuseFilePath,The file path of the diffuse map. The diffuse map is an RGB[A] image used to determine the base color of the surface,The file path of the diffuse map. The diffuse map is an RGB[A] image used to determine the base color of the surface,La ruta del archivo del mapa de difusión. El mapa de difusión es una imagen[A] RGB usada para determinar el color base de la superficie,Le chemin du fichier de la carte de diffusion. La carte de diffusion est une image RVB[A] utilisée pour déterminer la couleur de base de la surface,Il percorso del file della mappa diffusa. La mappa diffusa è un'immagine RGB[A] usata per determinare il colore di base della superficie,拡散マップのファイルパス。拡散マップは、表面のベースカラーを決定するために使用される RGB[A] 画像,확산 맵의 파일 경로입니다. 확산 맵은 표면의 기본 색상을 결정하는 데 사용되는 RGB[A] 이미지입니다.,O caminho de arquivo do mapa difuso. O mapa difuso é uma imagem RGB[A] usada para determinar a cor base da superfície,扩散贴图的文件路径。扩散贴图是用于决定表面基色的 RGB[A] 图像,扩散贴图的文件路径。扩散贴图是用于决定表面基色的 RGB[A] 图像,漫射圖的檔案路徑。漫射圖是決定表面基本顏色的 RGB[A] 圖像
Studio.AssetImporter.PropertiesTooltip.NormalFilePath,The file path of the normal map. The normal map is an RGB image used to enhance surface details for lighting,The file path of the normal map. The normal map is an RGB image used to enhance surface details for lighting,La ruta del archivo del mapa normal. El mapa normal es una imagen RGB usada para mejorar los detalles de la superficie para la iluminación,Le chemin du fichier de la carte normale. La carte normale est une image RVB utilisée pour améliorer les détails de la surface pour l'éclairage,Il percorso del file della mappa normale. La mappa normale è un'immagine RGB usata per migliorare i dettagli della superficie per l'illuminazione,標準マップのファイルパス。標準マップは、照明用に表面の細部を強化するのに使用されるRGB画像,일반 맵의 파일 경로입니다. 일반 맵은 조명의 표면 세부 사항을 향상시키는 데 사용되는 RGB 이미지입니다.,O caminho de arquivo do mapa normal. O mapa normal é uma imagem RGB usada para melhorar os detalhes de superfície para iluminação,法线贴图的文件路径。法线贴图是用于增强照明表面细节的 RGB 图像,法线贴图的文件路径。法线贴图是用于增强照明表面细节的 RGB 图像,法線圖的檔案路徑。法線圖是為了燈光效果而加強表面精細度的 RGB 圖像
Studio.AssetImporter.PropertiesTooltip.RoughnessFilePath,The file path of the roughness map. The roughness map is a grayscale image used to determine how light should be reflected off a surface,The file path of the roughness map. The roughness map is a grayscale image used to determine how light should be reflected off a surface,La ruta del archivo del mapa de rugosidad. El mapa de rugosidad es una imagen de escala de grises usada para determinar cómo la luz debe reflejarse en una superficie,Le chemin du fichier de la carte de rugosité. La carte de rugosité est une image en niveaux de gris utilisée pour déterminer comment la lumière doit être reflétée sur une surface,Il percorso del file della mappa di ruvidità. La mappa di ruvidità è un'immagine in scala di grigi usata per determinare come la luce dovrebbe essere riflessa da una superficie,粗さマップのファイルパス。粗さマップは、表面から光がどのように反射するかを決定するのに使用されるグレースケールの画像です。,거칠기 맵의 파일 경로입니다. 거칠기 맵은 빛이 표면에서 반사되는 방식을 결정하는 데 사용되는 회색조 이미지입니다.,O caminho do arquivo do mapa ríspido. O mapa ríspido é uma imagem cinza usada para determinar como a luz deve ser refletida em uma superfície,粗糙度贴图的文件路径。粗糙度贴图是一种灰度图像，用于决定光会如何从表面反射,粗糙度贴图的文件路径。粗糙度贴图是一种灰度图像，用于决定光会如何从表面反射,粗糙度圖的檔案路徑。粗糙度圖是決定表面反射光的方式的灰階圖像
Studio.AssetImporter.PreviewTooltip.ResetCam,Reset camera,Reset camera,Restablecer cámara,Réinitialiser la caméra,Reimposta fotocamera,カメラをリセット,카메라 재설정,Reiniciar câmera,重置视角,重置视角,重置攝影機
Studio.AssetImporter.Properties.Manifold,Manifold,Manifold,Múltiples,Manifold,Manifold,多様体,다양체,Múltipla,流形,流形,流形
Studio.AssetImporter.Properties.InsertWithScenePosition,Insert Using Scene Position,Insert Using Scene Position,Insertar usando la posición de escena,Insérer à l'aide de la position de la scène,Inserisci la posizione della scena,シーン位置を使用して挿入,장면 위치를 사용해 삽입,Inserir usando a posição da cena,使用场景位置插入,使用场景位置插入,使用場景位置插入
